blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,233,0,325,601,101,4,2759,796,276,620,120,6,1277,128,113,563,63,2,840,0,113,523,23,0,327,294,185,563,63,2,292,8,325,601,101,4,1605,415,276,619,119,5,739,156,113,584,84,3,1000,55,113,523,23,0,327,42
798,874,374,13,2173,236,739,911,411,12,6387,1336,924,953,453,16,4214,410,459,839,339,11,3354,449,225,737,237,0,654,1187,585,811,311,9,1610,547,490,822,247,6,3338,964,924,1025,525,17,3770,361,428,1253,753,11,3537,450,447,861,361,0,1186,748
1324,1141,641,19,4049,303,841,1119,194,12,6814,1672,1477,1261,761,27,7498,578,866,1528,1028,22,5817,676,632,998,498,0,944,1504,1386,1165,665,23,3287,1098,871,1147,572,12,6639,1602,1477,1340,840,26,7226,471,578,1460,960,16,5308,1025,596,995,195,0,1611,1159
1910,1410,910,28,6098,692,1276,1743,818,21,9678,1672,2123,1700,100,35,11004,884,1415,2447,1947,34,9826,1450,1151,1636,1136,0,2072,1901,2033,1511,1011,33,7592,1612,1196,1435,860,20,12909,2604,2092,1740,390,39,12003,1436,852,1708,183,20,6044,1552,714,1190,40,0,2026,1956
2586,1673,1173,36,9301,1157,1598,2225,1300,25,16721,2147,2569,2097,422,41,13439,948,1689,2851,401,37,11858,1851,1426,1940,290,0,2542,2750,2617,1774,1274,41,10740,2864,1565,1723,273,28,18367,3085,2278,1924,174,41,13883,2605,1427,2048,523,33,9899,1638,921,1384,234,0,3427,2915
3111,1966,1466,44,13239,1914,1986,2584,1654,34,22294,3214,2998,2377,702,51,18182,1488,2090,3281,831,43,16672,1950,1767,2164,514,0,3706,3203,3146,1973,1473,45,12952,3320,1661,2165,715,28,18553,3180,2822,2367,617,50,18128,2848,1880,2390,865,43,12852,1797,1128,1579,429,0,4091,3817
3570,2200,415,51,15031,1950,2617,3061,2131,43,27201,3908,3701,3000,1325,62,24127,1981,2612,3808,1358,54,19482,2219,1956,2428,353,0,4242,3866,3548,2241,66,51,16074,3360,2198,2469,1019,36,28529,4000,3408,2751,1001,60,22975,4415,2175,2603,1078,48,14743,1797,1455,1773,623,0,4961,4873
3962,2447,662,57,17936,2317,2640,3213,428,44,30624,4386,4225,3513,353,72,27851,2006,3065,4155,1705,67,22799,2348,2161,2623,548,0,4744,4639,4410,2707,532,67,21705,4495,2728,2741,116,44,34895,4880,3780,3077,477,67,26377,4415,2213,2726,201,48,15143,2539,1619,2002,412,1,5560,5285
