blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,542,42,1,524,148,310,597,147,4,4827,791,276,620,120,6,1147,378,168,556,56,2,832,120,168,584,84,1,471,107,185,521,21,0,479,441,478,665,165,7,4431,813,246,581,81,3,1504,106,37,552,52,1,519,84,37,544,44,1,256,314
924,955,455,16,2751,203,835,954,504,16,12137,1816,833,914,414,13,2650,512,337,783,283,8,2009,874,586,839,339,2,2992,616,553,713,213,4,1266,513,1036,1057,557,20,14522,1960,924,927,427,14,5816,127,375,1270,770,8,2824,752,375,869,369,2,1266,895
1416,1211,711,23,10213,1313,1353,1666,1216,28,17254,2514,1454,1318,818,21,5315,1569,383,906,406,8,2476,874,924,1097,162,5,4188,1203,1293,1001,501,12,4450,1608,1270,1338,838,24,16206,2462,1200,1129,69,19,8144,1195,1072,2135,1635,25,7444,1060,765,1157,657,4,2860,1314
2064,1571,1071,34,14991,2068,1755,1970,1520,38,24268,3311,1992,1627,152,30,8263,1591,890,1287,787,20,3581,874,1339,1251,316,5,4347,1203,1850,1277,327,18,13134,2186,1631,1663,378,32,24428,2921,1847,1497,437,32,12034,1195,1243,2390,290,30,8177,1060,936,1375,225,6,3564,1353
2773,1942,1442,46,20402,3369,2263,2331,1881,48,33057,4388,2640,1987,512,41,12060,1956,1164,1557,1057,29,4652,874,1739,1406,471,5,4551,1203,2373,1554,604,27,16403,3041,2040,1931,646,40,30982,3986,2495,1883,823,45,15964,1586,1522,2686,586,40,9696,1131,1155,1536,386,7,4354,1520
2977,2384,234,46,20933,4249,2366,2453,53,48,33070,4388,3192,2254,779,50,17796,2663,1301,1770,170,34,6271,874,1907,1674,264,6,5458,1631,3039,2140,390,34,18127,3582,2191,2059,39,40,31877,4088,3048,2203,1143,57,19218,2101,1986,3175,1075,58,14300,1623,1618,1797,647,11,6161,1855
3523,2747,597,51,24231,6123,2944,3131,731,58,39100,5737,3840,2629,1154,62,21513,3115,1640,2078,478,42,8537,1078,2246,1808,398,6,5903,1832,3767,2600,850,42,21940,5795,2558,2578,558,44,34938,4088,3635,2532,1472,66,21806,2365,2081,3371,471,59,14755,1623,1664,1961,456,13,6477,2377
4108,3068,318,60,28037,6480,3243,3415,515,66,47022,6820,4209,2864,314,69,23990,3164,2054,2600,1000,55,12679,1078,2660,2310,900,7,8881,2167,3942,2840,190,44,23179,5933,3263,3373,1353,61,49160,5047,3972,2780,195,74,24318,2365,2831,3784,884,75,18721,2260,2011,2217,237,15,7743,2747
