blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,1,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,41,0,20,520,20,0,125,666,5,525,25,0,120,41,5,545,45,0,153,64,5,550,0,0,106,60,5,970,45,0,107,0,5,585,85,0,177,0
185,563,63,2,606,9,478,660,160,7,4051,685,185,580,80,1,897,276,0,526,26,0,735,100,20,603,103,0,491,965,190,588,88,2,430,501,305,631,131,4,5278,833,282,630,80,4,1177,431,141,1064,134,4,433,54,141,678,103,0,352,240
584,818,318,8,1587,367,1036,1388,888,16,9965,1278,669,1192,192,6,2086,1552,430,711,211,3,2293,296,346,832,327,1,818,1114,929,1008,508,17,3153,644,518,950,100,8,7846,1725,658,1171,196,10,5347,1295,604,1442,512,17,2216,278,574,892,317,0,1700,447
1262,1152,652,16,4245,1088,1475,1773,1273,28,15701,2742,1131,1447,447,13,6441,2298,826,946,446,10,4687,967,629,1047,542,1,1083,1757,1176,1215,715,21,4669,1597,1157,1404,554,24,15196,2497,1459,1577,602,25,10303,2237,942,1740,810,27,5075,976,912,1127,552,0,3187,613
1842,1446,116,26,6145,1505,1573,1900,50,28,16906,2826,1689,1753,3,21,9550,2743,1077,1180,30,14,5872,976,898,1181,151,1,1083,1757,2008,1526,1026,32,7531,1705,1233,1544,689,25,18994,2927,2071,1887,912,33,14793,2906,1192,2109,79,33,6886,994,1138,1423,48,1,4659,668
2488,1785,455,34,10924,2615,2172,2559,709,34,20879,4060,2214,2098,348,32,12407,3397,1657,1800,650,18,9305,1531,1107,1806,96,2,1521,2705,2620,1782,1282,40,11316,2831,1491,1744,89,29,20160,3389,2503,2180,280,41,17787,3524,1390,2387,207,34,8231,1936,1338,1933,208,1,5486,1692
3319,2301,971,52,15657,2884,2497,3061,1211,40,28534,5274,2767,2418,668,44,16033,4405,2214,2612,1462,26,13651,2118,1432,2265,555,2,2315,3819,2743,1946,96,42,12929,2948,1957,2069,414,37,28040,3762,3056,2487,587,52,24002,4182,1784,2715,530,46,12828,3040,1547,2133,8,1,5833,2636
3630,2565,1235,56,17990,3641,2817,3537,462,41,29368,5419,3288,2649,114,46,16687,5630,2226,2734,109,26,13651,2240,1657,2515,430,3,2316,3829,3667,2371,521,57,18221,3639,2366,2702,1047,43,32714,4537,3691,3047,922,60,28524,5257,2083,3025,440,54,15383,3040,1970,2384,254,5,6417,2646
4925,3314,1384,68,24649,4520,3610,4170,1095,53,42412,6934,3936,3070,535,59,21154,5658,2668,3119,269,33,18325,3379,2145,3123,53,5,2807,5223,3728,2522,237,59,20827,4737,2731,3391,236,47,36093,5671,4215,3358,313,69,32538,5562,2568,3673,1088,66,21161,4049,2455,2841,711,6,10031,3443
