blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,223,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,540,40,0,223,0
153,563,63,2,626,206,327,676,176,4,1382,496,246,607,107,5,559,347,194,651,151,0,388,208,9,1003,503,0,417,71,185,563,63,2,598,88,0,521,21,0,855,812,185,581,81,3,329,0,113,584,84,3,945,275,113,623,123,0,563,6
768,895,395,14,2633,647,667,963,463,12,8666,1374,986,1019,519,20,3746,626,447,1678,78,6,2141,474,261,1389,89,1,1661,700,614,853,353,12,2734,524,465,818,318,8,7950,1941,707,842,342,11,1578,241,366,797,297,8,6319,794,244,797,297,0,781,540
955,1099,14,16,3197,1007,1162,1352,852,24,15859,1949,1479,1521,1021,27,6003,766,748,1959,359,13,5298,1109,563,1629,329,1,1991,1155,1200,1204,704,23,4241,849,707,1044,69,12,9683,2613,1324,1162,662,21,3564,286,686,1134,634,18,20609,1538,564,992,492,0,1053,721
1328,1347,262,20,4502,1119,1609,1711,1211,36,21203,2475,2157,1891,1391,39,10372,1402,1129,2312,57,23,7658,1542,944,1868,93,1,3237,1238,1971,1613,1113,37,5935,985,880,1357,377,14,9861,3371,2033,1502,1002,32,5902,843,1061,1480,980,27,25455,1953,940,1636,1136,0,1314,1050
1665,1533,148,24,7352,2279,1884,2109,1609,41,26165,3548,2539,2471,1971,47,13064,2008,1445,2567,312,30,9034,1715,1075,2063,288,1,3465,1382,2782,2204,1704,46,9207,2475,1076,1540,185,16,11935,4399,2218,1645,45,33,7411,1585,1137,1624,124,28,25798,2319,1015,1791,266,0,1600,1123
2243,1865,480,36,11145,2288,2286,2455,355,49,33223,3730,3153,2785,185,59,17115,2043,1893,3005,225,38,11548,2362,1523,2526,61,2,5285,1918,2969,2413,113,48,9415,2516,1570,1870,515,24,18584,5496,2862,2004,4,48,10754,1647,1356,1767,267,29,26389,3234,1418,1985,60,0,1731,1731
2861,2168,783,43,13665,3771,2714,2730,630,57,41117,4620,3769,3301,701,70,26286,3294,2307,3406,626,51,14456,2999,1937,2766,301,2,7196,2368,4019,3075,775,60,14135,4191,2098,2258,898,33,25905,6361,3448,2279,279,55,13711,3343,1697,2022,522,37,28448,4327,1605,2164,239,0,1886,1731
3322,2445,260,51,15129,3781,3124,3226,26,66,44772,4806,4017,3554,203,75,28695,4470,2647,3930,275,61,19246,3505,2668,3402,87,3,11431,2934,4509,3393,43,72,18351,4369,2216,2396,231,34,29741,7492,4406,3058,208,62,16450,3784,2021,2259,159,41,29518,4869,1743,2363,363,0,2100,1946
3970,2791,606,61,20205,3781,3679,3755,555,74,57850,5939,4596,3894,544,88,32536,4791,3076,4199,544,70,23044,3610,2823,3598,273,5,11550,3151,5118,3763,413,83,21680,5005,2902,2836,666,47,39494,8619,4843,3319,469,70,18726,3884,2641,2671,561,56,37432,5021,1940,2558,558,0,2320,1946
4928,3451,466,61,21858,5288,3813,4172,172,74,63215,7517,5182,4423,1073,99,40592,6090,3606,4727,1072,79,29343,5000,3352,4199,874,6,14446,4211,6105,5139,1789,96,30484,7514,3388,3238,243,47,41034,10873,5552,3701,851,82,24012,5176,2785,2850,240,60,38821,6366,2322,2774,769,1,2762,2873
5820,4106,71,79,30571,5496,4604,4657,207,90,75175,8058,5830,4956,1606,110,48182,6738,3902,5020,140,80,30032,5337,3593,4979,55,6,15523,4812,6476,5424,224,102,33065,7536,4046,4341,1346,53,47667,12020,6077,3999,299,89,28267,5653,3060,3382,417,61,40062,7568,2652,3112,707,3,3670,3337
6373,4419,384,87,34059,5823,5016,5166,716,96,80229,8851,6482,5361,281,124,56958,6909,4619,5942,1062,100,38860,5344,3970,5590,660,9,18661,4812,6938,5714,514,111,37787,8361,4523,4619,374,61,54413,12484,6630,4324,624,101,31720,5726,3598,3712,747,72,43956,8205,3135,3292,887,3,3904,3646
7059,4927,887,99,40069,7814,5633,5912,1462,104,94867,10763,7010,6243,1163,134,68392,8320,4863,6762,42,103,41411,5799,4357,6409,229,10,21379,5543,7819,6201,1001,120,41951,10543,5261,5313,1067,68,60227,13324,7133,4592,192,110,35484,7187,4162,4049,434,81,49658,9287,3334,3501,271,5,4747,4582
7089,5063,1023,100,40658,7814,6219,6315,1865,112,104602,11697,7662,7137,2057,142,73978,10207,5790,7286,566,117,51302,7177,5478,6884,699,11,24302,5558,8105,6421,21,126,44620,10705,5485,5525,80,72,64407,15219,7350,4802,402,116,38640,9164,4625,4409,194,91,55739,9640,3504,3701,221,5,5377,5847
7862,5523,1483,113,46706,7974,6468,6558,358,116,110802,12341,8125,7528,223,151,77275,10245,6315,7963,293,128,62554,7273,5478,7075,890,11,24302,5558,8928,6967,117,143,54300,11147,5925,5853,408,80,73855,16112,7937,5180,380,127,44248,9181,5044,4823,3,104,61889,9651,4029,3872,392,5,5377,5847
8201,5819,1779,120,48817,7974,6772,6938,588,122,126873,15212,8698,7863,553,158,82461,10780,6607,8169,499,133,68545,8791,5516,7245,155,12,25588,7100,9130,7453,253,144,57929,13508,6727,6524,1069,86,79057,17116,8748,6296,1496,137,51519,10976,5855,5227,407,114,65635,9651,4627,4182,77,5,5837,6009
8940,6235,480,133,56403,8143,7372,7311,961,134,146267,15513,8983,8105,794,163,89553,12591,7083,8571,901,145,75931,8899,5778,7436,346,14,28676,7243,9777,7947,747,156,66180,14849,7157,6905,275,90,81983,17285,9025,6873,273,143,59345,12302,6369,5658,163,122,70967,9901,4627,4462,282,5,6132,6158
9290,6406,201,136,58012,8143,8010,7667,1317,146,160319,16657,9692,8520,1210,176,97248,14157,7292,8825,455,148,82021,9123,6005,7727,617,19,30329,7252,10069,8175,75,162,69762,15015,7735,7274,633,100,92379,18636,9996,7258,658,158,70330,12573,7143,6086,586,138,86994,10123,4665,4603,423,5,6132,6158
