blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,414,60,310,597,147,4,4944,776,246,574,74,3,956,58,168,626,126,6,1190,0,168,543,43,0,528,38,185,584,84,3,880,200,325,601,101,4,3593,852,276,580,80,4,1263,133,113,563,63,2,695,204,113,544,44,1,223,0
893,948,448,15,3101,432,835,954,504,16,12780,1748,863,894,394,12,2702,434,469,909,409,15,2934,121,469,722,222,0,1273,66,615,818,318,9,4843,552,1011,1062,562,20,14390,2049,771,880,380,11,2655,306,469,858,358,11,2684,297,469,713,213,3,543,28
1262,1197,697,22,4460,549,1239,1255,80,24,15956,2679,1477,1156,656,20,4904,911,663,1106,156,17,4323,1007,791,992,192,2,2194,878,1355,1162,662,19,6694,924,1344,1575,1075,24,18623,2644,1416,1214,714,24,6037,1019,902,1870,70,23,5751,1001,902,1144,644,5,1626,351
1927,1772,1272,29,8535,1741,1556,1868,693,32,22337,3297,2057,1377,177,26,6298,1542,1040,1383,433,25,5354,1381,1350,1161,361,4,2785,888,1880,1382,282,25,9187,2656,1618,1783,108,28,19762,3696,1980,1523,3,33,9132,1228,940,1992,117,23,6079,1055,940,1279,179,5,2034,368
2421,2007,182,33,10166,1848,2045,2211,1036,43,34507,4374,2456,1591,166,31,7498,1542,1171,1580,180,29,6627,1869,1728,1463,663,6,4565,1116,2065,1526,276,26,9851,2710,1794,2007,332,32,25576,4467,2350,1789,269,39,10491,1228,1515,2698,823,38,13979,1627,1424,1607,502,8,2711,993
3160,2447,622,49,12846,1894,2207,2692,1517,44,36351,5248,3103,1956,531,43,10221,1581,1442,2085,30,37,9477,2949,1998,1825,225,6,5426,2094,2622,1739,489,31,10711,2816,2197,2345,195,36,28303,5611,3135,2498,113,50,14646,2010,1936,3391,1511,50,18107,1771,1749,1904,799,10,3539,1333
3808,2820,995,60,19794,3769,2830,3081,1906,56,45398,6036,3751,2311,886,54,14431,1816,1815,2396,341,44,11340,3133,2130,2054,449,7,6638,2279,3377,2342,1092,41,16997,4031,2931,2809,659,52,42198,6957,3708,2869,484,55,17846,3114,2091,3597,67,55,20465,1853,1842,2039,59,10,3844,1591
3931,2985,160,62,20312,3778,3582,3530,2355,71,61110,7612,4399,2703,1278,67,18795,1820,2340,2747,692,56,14889,3566,2224,2188,183,7,7112,3249,3771,2808,108,51,22283,4259,3425,3146,996,63,53628,8695,3979,3071,221,60,19680,3553,2640,4457,927,68,25610,2185,2267,2429,449,13,5835,1743
