blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,88,68,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,1,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,1,0,40,540,40,0,68,88
215,598,98,4,626,9,325,601,101,4,1915,447,276,620,120,6,1179,110,113,584,84,3,792,57,113,568,68,0,322,73,123,542,42,1,208,102,325,601,101,4,4558,771,215,594,94,4,958,94,159,578,73,3,436,12,219,608,103,1,136,199
924,976,476,17,2853,191,860,969,469,16,9208,1557,738,828,328,11,2759,512,437,867,367,12,3179,887,375,822,322,0,1179,833,646,804,304,9,2062,223,726,1328,828,12,9005,1571,924,960,460,16,3398,538,506,840,335,12,2281,809,463,1057,552,2,985,596
1258,1844,594,23,7096,1180,1022,1409,184,16,9577,2533,1477,1194,44,24,7307,806,894,1326,176,16,3527,887,648,1557,132,0,1354,1015,1219,1270,70,17,3679,1169,1087,1997,322,20,14758,3204,1309,1492,242,20,4794,1354,1057,1237,82,19,3879,836,526,1272,287,3,988,1162
1721,2162,312,32,10290,1555,1234,1654,424,22,11103,2589,1847,1454,304,33,10646,1581,1501,1691,541,28,5402,1107,856,1771,346,0,1527,1319,1928,1651,451,29,7035,1839,1360,2250,575,28,20386,4175,1895,1826,576,30,8378,2010,1198,1418,258,23,5921,1032,668,1502,517,3,1255,1455
2407,2555,700,45,14140,1686,1291,2246,141,22,11686,3717,2306,1732,582,40,12983,1661,1921,1964,809,37,9093,1509,1021,2146,721,0,1993,1648,2205,1879,144,35,8707,1950,1464,2538,78,28,21355,5058,2518,2200,950,43,12427,2035,1804,2184,1024,37,12078,1450,1151,1791,806,3,1768,1868
2714,2761,206,50,15960,1989,1781,2555,450,30,18114,4739,2437,1854,704,40,13096,1950,2299,2233,1078,45,12034,2423,1096,2354,169,1,2386,2553,2882,2183,448,46,11787,2294,2089,2946,486,39,32886,6023,2752,2843,488,45,14139,2219,2277,2629,1469,48,17084,2453,1443,2106,1121,3,2473,2177
3270,3114,559,61,17789,2176,2195,2874,769,38,23327,5406,2815,2414,1264,44,15613,2088,2913,2971,566,55,16492,2589,1360,2524,334,3,2503,2553,3598,2535,800,57,16217,2354,2298,3138,678,43,38466,7077,3491,3276,921,62,20716,2350,2591,3232,247,53,18652,2919,1614,2510,220,4,2706,2672
3891,3955,1400,69,22008,2408,2350,3171,556,38,25310,6611,3086,3273,148,49,16775,2365,3498,3651,1246,70,22208,2622,1979,2981,226,4,3717,3233,3932,3014,179,60,17642,2357,2378,3281,131,43,44000,8508,3886,3679,74,71,26965,3896,2744,3418,133,57,19955,4067,1820,2800,505,5,3241,2676
4199,4229,249,73,25966,3696,2689,3714,1099,42,33329,7384,3681,3808,33,57,21935,4085,4051,3962,332,81,27231,2793,2086,3256,501,4,4311,3683,4354,3351,511,67,21338,2659,2630,3748,163,47,48180,10140,4231,5240,1635,74,30871,4282,3546,3785,500,71,25664,4113,2168,3036,441,5,3271,3955
4739,4614,634,84,31671,3772,3094,4014,1399,46,38541,8195,4142,4136,361,66,27079,4800,4422,4223,218,86,36748,4309,2236,3397,642,4,4370,3738,4940,3857,1017,76,26015,3293,3442,4484,894,60,59969,11630,4878,5595,165,85,36707,4574,4186,4207,922,85,32756,4934,2676,3421,371,6,3744,4956
4908,4841,61,90,34292,4631,3712,4464,1849,52,43605,10139,4492,4678,903,71,32956,5173,4925,4841,836,95,41789,5721,2794,3827,1072,4,5374,4595,5588,4204,1364,86,31767,3815,3678,4705,1115,66,65070,13039,4999,6017,587,85,38816,5427,4524,4455,155,92,37856,6360,2917,3696,637,8,4064,5077
5437,5146,361,100,41046,5449,3906,4687,532,56,46858,10442,4583,4827,302,73,34151,6595,5093,5310,80,100,45414,5728,2962,4075,420,4,5687,4595,6246,4548,368,95,36545,3988,3678,4828,338,66,70780,13582,6002,7054,1624,103,48866,5548,4677,4595,295,93,38776,6360,3162,3932,347,8,4205,5077
5491,5641,206,100,44061,6631,4328,5119,964,60,53104,11184,4799,5025,200,75,35481,8210,6018,6628,1398,119,57081,6052,3049,4383,723,8,6435,4595,6997,5209,1024,104,41398,5203,4182,5546,241,70,76837,15278,6339,7307,422,110,51879,5564,4879,5313,463,93,40701,8134,3468,4232,142,9,4642,6152
6120,5954,509,110,50975,8608,4428,5241,651,60,54008,12727,5289,5373,548,84,43240,9162,6141,6793,213,121,60250,7395,3193,4584,274,8,7176,5976,7645,5598,1413,115,49671,7233,4932,6491,1186,75,88885,18010,7027,7890,1005,120,61186,5803,5729,6015,1165,106,49212,8719,3955,4509,419,10,5559,6205
6243,6118,323,112,53106,9538,4428,5364,774,60,55865,14340,6185,5817,992,99,53680,9998,7136,7770,1190,132,69225,8474,3193,4749,439,8,7556,7378,8152,6167,82,117,51765,8109,5363,6733,178,79,91816,20247,7661,8821,946,129,71545,6315,6434,6644,1789,116,54483,9504,4677,4928,38,10,7092,6812
6243,6240,95,112,53106,10713,5562,5901,1311,76,69467,15523,6718,6160,160,110,59998,10359,7575,8130,225,142,74766,8872,3414,4964,249,9,7608,8901,8689,6582,497,128,62817,8751,5713,6975,345,83,95947,20816,8347,9369,194,132,74703,6745,7358,6990,2135,130,63695,9504,4936,5328,433,11,7420,6861
6792,6889,339,114,56383,12672,6178,6339,1749,76,71292,17120,7395,7038,1038,111,61896,11424,8641,9355,1450,157,89970,10250,3414,5155,365,9,8621,8901,9305,7081,996,133,68864,10858,6484,7523,888,88,109205,23775,8627,9624,449,136,78382,7582,7607,7238,83,133,67023,11408,5051,5468,173,11,8309,8758
