blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,313,102,475,666,166,8,5341,784,276,607,107,5,944,114,131,584,84,3,1151,0,131,543,43,0,804,0,123,542,42,1,453,0,325,601,101,4,4004,838,153,574,74,3,773,105,113,563,63,2,694,101,113,523,23,0,0,0
666,839,189,11,1511,1197,851,986,486,16,11249,1598,636,1285,135,10,2570,1086,583,1032,532,14,4544,379,583,1117,617,0,2233,181,437,990,55,2,1280,1171,783,1009,509,12,9165,1420,545,1036,86,5,2314,914,337,832,332,11,4202,787,337,697,197,0,163,725
1467,1239,589,25,3949,1956,1105,1303,453,22,15270,2692,1159,1508,358,15,3516,1416,796,1692,17,18,6686,401,796,1385,150,0,2861,1098,1239,1274,339,11,5023,1676,1093,1608,1108,20,13435,1634,1254,1383,433,16,5653,1021,704,1336,36,13,4550,1405,722,1023,448,1,276,859
1778,1382,732,26,5007,2474,1410,1580,730,28,19636,3764,1403,1702,252,20,4951,2297,1191,2067,392,30,9720,585,1283,1627,392,2,4074,1355,1948,1648,713,23,8953,2073,1351,1941,1441,24,15136,1897,1660,1992,167,24,7736,1060,1024,1626,326,20,5502,1791,1104,1218,643,2,498,921
2701,1858,1208,44,10412,3098,1776,1911,1061,36,28194,4192,2051,2088,638,33,9878,2733,1586,2640,965,43,14765,763,1679,1842,607,2,5518,1807,2195,1792,422,24,10954,2567,1506,2148,448,28,19781,2191,2246,2293,468,35,12014,1790,1437,1933,633,29,8040,2521,1517,1373,798,2,655,921
2916,2008,1358,46,11732,3991,1996,2403,63,37,31368,5179,2315,2509,184,37,11610,2897,2023,2858,1183,52,18817,834,2076,2039,804,5,6806,1817,3025,2260,890,42,17525,3295,1830,2361,226,32,24709,3596,2737,2573,148,45,15655,1837,1719,2263,63,38,11907,2530,1800,1507,247,2,655,921
3192,2193,393,50,14083,4256,2372,2692,352,45,38581,5562,2963,2864,539,48,15558,4166,2287,3175,200,60,21269,1101,2402,2194,94,5,7925,1901,3149,2424,189,44,18116,3574,2417,2777,642,44,33559,4623,3558,3208,783,54,19291,3030,2246,2832,632,55,19407,2954,2364,1844,579,3,1078,921
3441,2444,244,54,15573,5713,3126,3425,1085,59,52984,6680,3488,3196,321,58,20912,4175,2905,4021,1046,72,28644,2166,2756,2766,16,5,8796,3280,4131,3211,976,62,29384,4250,2943,3374,1239,54,44313,5290,4205,3600,425,67,26200,3330,2493,3306,1106,58,22358,4883,2673,2208,943,3,1895,1829
