blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,542,42,1,630,0,340,601,101,4,1629,341,215,581,81,3,400,128,128,594,89,4,817,141,128,538,38,0,260,0,215,598,98,4,659,43,300,586,86,4,4725,893,246,607,107,5,914,42,149,584,84,3,348,36,149,543,43,0,141,0
798,825,325,10,1827,16,491,1193,693,4,2818,1258,738,815,315,10,2556,1099,592,1120,615,18,3472,465,592,1093,593,4,1752,344,676,895,395,14,1865,210,475,788,288,8,6222,1560,1110,1286,786,17,5324,894,528,1166,666,7,1346,784,353,797,17,0,798,744
1477,1102,602,19,4720,1176,619,1559,274,8,4108,1258,1166,1076,276,19,3856,1099,821,1424,14,25,7572,503,791,1538,1038,4,2280,488,987,1113,613,17,4761,1432,950,1101,601,16,10782,2863,1386,1475,75,21,7049,902,807,1380,180,12,2617,1026,907,953,173,1,1341,852
1757,1355,5,23,5983,1893,922,1799,514,12,6951,1775,1538,1359,559,26,5746,1829,1191,1799,389,37,9995,508,1130,1777,302,7,3665,547,1625,1679,1179,22,6908,2460,1253,1380,880,24,14825,3137,2091,1877,477,35,11366,1298,1106,1670,70,19,4872,1026,1207,1107,77,1,1857,884
2297,1681,331,35,8246,1953,1351,2056,156,18,10050,2254,1909,1606,306,31,7922,2354,1613,2358,943,42,11647,1081,1429,2159,684,9,4878,1127,1656,1802,52,22,6908,2460,1465,1587,62,28,19374,3613,3010,2712,162,47,18210,1975,1507,1905,5,26,7829,1962,1486,1323,293,2,2836,903
3036,2086,736,49,12382,2207,1553,2308,408,23,14543,3566,2338,1886,586,41,11315,2537,1850,2586,1171,48,14264,1271,1635,2307,32,10,5621,1745,1932,1957,207,24,7621,3106,1465,1709,184,28,21339,4612,3473,3487,937,57,23063,2264,2250,2419,519,41,12243,1970,1766,1632,602,2,4145,1749
3469,2536,1186,55,17012,3504,2023,2890,555,27,16602,4163,2864,2383,1083,50,15693,2610,2002,2727,112,49,14972,2157,2166,2595,315,16,6191,1807,2856,2428,678,41,13948,4384,1775,1923,398,32,25934,5404,4015,4110,1560,68,29096,2462,2536,2870,195,42,14318,2975,1905,1766,86,2,4841,2226
4332,3179,1829,72,24635,3741,2576,3561,1221,36,23926,5240,3554,2775,325,63,21793,3165,2471,3378,463,58,17913,3321,2673,3018,738,19,8236,2791,3503,2756,1006,50,17154,4707,2230,2231,181,40,34691,6175,4547,4486,636,80,39923,2767,2864,3334,259,43,16798,4238,2295,2111,431,2,5301,3326
