blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,710,110,325,601,101,4,1700,215,215,574,74,3,547,84,0,521,21,0,496,0,0,523,23,0,328,66,61,542,42,1,507,481,325,601,101,4,3788,889,246,607,107,5,562,97,150,596,96,4,1119,33,150,523,23,0,0,43
924,941,441,14,3687,444,700,873,373,12,6507,1402,802,801,301,7,1855,112,412,825,325,10,1917,95,412,699,199,2,823,179,462,727,177,4,3620,1106,836,982,482,16,12219,1857,924,999,499,19,2544,578,413,856,356,11,2216,165,413,677,177,0,373,156
1232,1568,43,19,5808,1060,1001,1378,878,20,10668,1874,1324,1015,165,14,3698,159,818,1134,634,18,2974,253,695,915,415,4,1956,323,677,892,192,6,4006,1611,1315,1341,841,28,16958,2747,1385,1247,397,27,3800,784,882,1172,672,20,4351,373,789,832,332,0,435,660
1634,1872,347,27,8812,1686,1302,1513,288,21,11528,2567,2179,1817,967,16,8014,1256,1254,1459,959,27,4142,482,922,1162,657,8,2891,588,1417,1294,594,19,5816,2582,1517,1788,1288,28,18789,3564,1965,1664,114,35,6998,2840,1333,1609,1109,36,8128,511,1241,1026,526,0,633,714
2463,2289,764,44,14169,2177,1486,1955,730,21,13057,3630,2657,2150,425,26,10414,1260,1698,1776,1276,34,5997,1532,1152,1387,102,9,3616,1574,1939,1550,850,26,7364,3183,1881,2665,865,29,22571,4032,2551,2380,830,47,12029,2969,1858,2183,1683,41,10010,1741,1431,1596,71,0,1093,1487
2895,2743,93,51,16261,2194,2005,2259,524,29,17620,4018,3210,2430,705,36,14648,1584,2035,2094,544,46,8329,1532,1489,1582,297,12,5656,1603,2245,1770,370,32,8078,3196,2169,2832,1032,33,28286,5719,2965,2654,1104,56,16125,3932,2229,2476,101,48,12196,1759,1600,1730,205,0,1503,1487
3634,3109,459,62,21379,2413,2326,2550,815,34,22974,4859,3655,2730,180,47,19008,1619,2247,2314,364,52,10045,2518,2007,1812,527,15,7328,1799,2894,2164,764,44,9854,3730,2490,3072,327,37,32798,5978,3257,2968,218,64,20149,4566,3301,3287,912,63,19942,2830,1795,2107,577,1,1892,1886
3696,3232,582,62,25081,2413,3009,3092,1357,42,29904,5659,4303,3082,532,58,24566,2486,2339,2451,501,53,10477,3534,2407,2018,8,20,8649,2041,3647,2625,1225,61,14301,3763,2961,3395,645,46,41568,7292,3728,3210,160,71,23337,5712,3555,3842,42,69,24460,3313,2073,2519,114,1,2509,2503
