blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
215,598,98,4,2383,90,468,655,155,6,3878,482,185,581,81,3,941,64,75,565,65,2,457,79,75,543,43,0,639,0,185,584,84,3,317,14,300,586,86,4,5210,830,276,620,120,6,1267,59,131,598,98,4,615,96,131,523,23,0,79,0
924,1004,504,18,9689,147,703,1349,849,11,10557,1422,839,887,387,12,2020,79,375,887,387,13,2793,234,375,757,257,0,1833,248,707,790,290,8,1471,206,676,891,391,12,9687,1419,593,822,97,10,2628,916,499,888,388,14,2351,318,469,720,220,3,1078,423
1233,1211,711,22,11107,748,1238,1718,1218,23,17967,2407,1453,1208,708,24,3873,397,808,1315,815,27,5041,450,808,992,492,0,2968,433,1446,1155,655,20,4188,325,1313,1340,840,28,17082,2449,1302,1188,463,23,6280,996,858,1218,718,23,4283,579,827,915,415,4,1768,802
1702,1780,130,28,16189,1220,1638,2219,69,33,21191,2536,2039,1544,1044,34,7606,1014,1259,1724,1224,41,7800,1024,1259,1206,706,0,5706,601,1848,1417,67,26,7070,1771,1426,1468,193,28,17390,2593,1949,1510,785,33,10496,1460,1064,1473,23,29,5358,1072,1034,1112,87,5,3408,1517
2164,2036,386,35,20680,1799,2010,2544,394,41,32258,3398,2571,1886,511,43,10903,1356,1321,1847,147,41,8313,1585,1259,1401,176,0,6150,681,2524,1736,386,38,11280,2363,1967,1869,594,40,29943,3659,2586,2103,203,41,13172,1524,1525,1781,331,37,7117,1487,1280,1313,288,6,4200,1866
3137,2732,1082,47,29554,2664,2311,2898,748,48,36095,4066,2848,2107,732,49,13075,1429,1994,2523,823,52,12605,1833,1481,1670,220,0,7316,1537,3110,1998,648,46,15749,3554,2449,2163,888,48,35214,4423,2892,2337,87,48,15962,2716,1788,2301,51,43,9447,2017,1543,1597,272,6,4600,2818
3661,3080,530,57,35528,3200,2583,3439,189,52,43482,4985,3323,2444,129,55,16072,1429,2426,2841,91,60,15819,1833,1535,1957,502,1,7924,1644,3451,2197,222,50,17832,4401,2643,2366,41,52,36054,5320,3693,2784,534,65,24021,3261,2313,2653,403,53,11738,2057,1543,1731,106,6,4709,3802
4402,3581,1031,69,45622,3696,2818,3786,536,56,52721,5083,3880,2737,422,62,19227,2030,2877,3274,524,74,20823,1853,2048,2152,697,2,9619,1958,3911,2502,127,61,20854,4421,3225,2771,446,64,49526,6407,4218,3291,291,75,27945,4009,2808,3107,857,69,15668,2457,1975,1980,355,9,6956,3846
