blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,209,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,209,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0
185,563,63,2,731,284,325,601,101,4,3507,863,246,607,107,5,1037,91,131,563,63,2,1201,436,131,544,44,1,550,35,123,542,42,1,491,405,525,671,171,8,3418,700,246,594,94,4,670,224,37,542,42,1,1140,420,37,528,28,0,416,400
893,906,406,13,2402,577,860,969,469,16,9628,1711,924,900,400,13,2852,226,443,1041,541,5,3130,1474,298,692,192,2,1630,836,646,811,311,9,2054,463,636,1371,871,10,7628,1492,768,881,381,14,2312,757,509,956,456,13,3498,1147,604,1093,593,3,2912,934
1222,1145,645,20,4728,713,1071,1202,702,22,13411,2073,1416,1155,655,21,3986,394,800,1385,100,16,6170,1631,593,929,429,5,2565,909,1324,1148,648,19,3672,820,1114,1743,378,21,13789,2009,1446,1238,738,25,4298,924,694,1134,284,16,3817,1147,641,1227,202,3,3085,1159
1564,1373,873,23,5545,1267,1412,1778,1278,28,18154,2530,2125,1523,1023,34,6442,649,1225,1813,528,27,10433,1739,926,1152,652,6,3258,1201,2005,1499,999,30,6595,1012,1458,1963,598,25,16990,2156,2033,1561,1061,34,6444,924,1173,1516,666,28,5840,1803,968,1425,400,4,3777,2174
2085,1593,43,29,6819,1967,1435,1935,380,29,19496,2993,2773,1818,1318,44,8410,685,1455,2069,49,35,14415,2748,1118,1329,129,8,3903,1837,2361,1929,204,36,8860,1424,1660,2432,217,27,20738,2282,2772,1925,1425,46,9481,933,1440,2259,184,29,6596,2215,1233,1709,284,4,3844,2348
2702,1928,378,38,8134,2711,2000,2348,793,42,29317,3877,2890,1960,160,45,8818,1683,1946,2324,304,43,18432,3894,1550,1549,349,13,4911,1925,3129,2506,781,52,15831,1436,2077,2884,669,33,26376,2711,3212,2530,30,56,12065,998,2152,2905,830,42,10244,2862,1630,2046,621,7,5854,2650
3319,2323,323,51,11880,3336,2345,2614,309,50,34016,4834,3538,2333,533,57,11208,1800,2266,2674,654,53,20258,3894,1993,1773,573,15,5428,2087,3685,2998,1273,60,21371,1849,2512,3192,977,41,37249,3620,3736,2866,366,66,14250,998,2214,3028,353,42,10396,2862,1630,2181,106,7,7071,2835
3565,2522,522,55,13408,4633,2667,2816,511,54,37931,5365,4162,2672,872,67,15599,3125,2470,2881,431,58,23983,5019,2106,1908,258,15,5865,3299,4280,3620,1895,76,27811,2496,2935,3573,1358,46,43882,4028,4100,3135,635,72,17345,1781,2917,3991,86,56,16670,3739,2333,2740,215,11,10575,3870
