blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,574,74,2,236,0,320,601,101,4,3693,641,276,587,87,4,1012,60,113,584,84,3,498,29,113,543,43,0,53,4,185,563,63,2,177,76,320,601,151,4,3613,909,123,541,41,1,93,99,37,521,21,0,679,57,37,528,28,0,159,53
738,865,365,11,2004,123,661,916,416,12,10927,1445,832,874,374,14,3471,646,564,992,492,16,2458,51,564,797,297,0,435,237,738,860,360,12,1643,267,1051,1054,599,21,13211,2009,805,874,374,14,2848,981,319,734,234,5,1758,455,319,662,162,0,159,279
1233,1156,101,17,4424,1575,1108,1275,775,24,16593,2445,1292,1148,123,24,6795,802,808,1276,776,24,3825,370,808,1032,532,0,828,442,1336,1362,462,20,3843,991,1548,1766,1311,30,19332,2916,1020,1070,220,18,3455,1188,752,1043,543,13,2877,796,814,899,399,3,1330,547
2033,1548,493,30,7867,2042,1306,1478,203,28,17238,2628,1915,1490,465,35,9805,1176,959,1459,109,26,4535,1004,1269,1366,866,5,1359,726,1582,1519,219,22,4735,1755,1887,2094,534,39,23240,3529,1729,1393,543,27,5362,1730,1222,1403,903,24,5096,1002,1284,1117,92,5,3382,1038
2248,1730,165,32,9682,2957,1831,1908,633,38,26111,3340,2131,1673,73,38,10542,2019,1850,1955,605,46,8302,1008,1269,1501,166,5,1359,726,2900,2262,962,37,14627,2905,2440,2503,943,52,36797,4583,2319,2033,33,36,8381,2189,1284,1526,91,24,5096,1002,1642,1497,397,7,4410,1038
3079,2226,661,49,16414,3400,2382,2239,964,48,34240,4438,3147,2319,719,52,16440,3346,2019,2201,176,51,11018,2211,1438,1715,380,5,1741,1719,3176,2468,368,42,16900,3678,2588,2960,650,54,38702,5142,2441,2181,181,38,10418,3408,1871,2111,676,40,8689,1204,2253,1793,693,9,6075,1976
3846,3009,1444,60,22478,3622,2945,2766,1091,52,37516,5539,3647,2616,261,60,18834,3413,2612,2702,677,65,15831,2219,1630,2007,267,6,2211,1719,3392,2633,33,44,17702,5168,2738,3138,828,58,46198,6503,2942,2714,559,49,14838,3447,2145,2582,297,47,11435,1241,2479,2001,901,10,7705,2021
4061,3219,559,63,24881,4293,3186,3017,267,56,41535,5880,4265,2975,620,71,22540,3956,2807,3179,279,66,18134,3575,2216,2393,648,8,2745,1819,3916,2946,346,52,21885,5694,3523,3892,1582,72,55785,8010,3372,2956,801,56,19297,4239,2575,2782,492,51,12292,1241,2644,2297,247,10,8645,2959
