blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,767,383,325,601,101,4,3495,936,215,574,74,3,920,60,113,584,84,3,772,114,113,523,23,0,140,9,246,591,91,4,1522,111,0,521,21,0,0,0,276,620,120,6,1227,110,113,584,84,3,245,0,113,543,43,0,114,63
724,984,484,8,3603,864,733,1372,872,12,7997,1453,863,828,328,11,3016,96,564,976,476,17,2995,575,564,759,259,3,1262,93,738,860,360,12,3251,909,1010,1034,534,20,60000,0,924,986,486,18,4166,181,414,850,350,9,1737,169,414,697,197,0,555,162
1211,1300,800,20,6339,906,917,1676,1176,12,8788,1994,1348,1409,909,21,5485,595,564,1099,149,17,2995,575,758,989,489,4,2006,351,1416,1232,432,24,4768,1186,1323,1308,-192,26,100273,376,1171,1169,269,21,5375,1759,925,1260,760,26,3717,169,864,853,353,1,1198,209
1981,1590,1090,30,11168,1664,917,1798,123,12,10511,2067,1574,1646,236,25,6778,638,1307,1537,587,32,6699,1006,1290,1281,781,11,3918,762,2125,1578,778,34,9404,2064,1486,1470,-30,28,100462,376,1630,1415,515,30,7518,1773,1227,1564,1064,34,5816,967,1165,1107,607,1,2363,209
2288,1811,86,36,13948,2132,1192,2021,346,16,14014,2469,2375,2071,661,41,12080,1027,1602,1749,74,37,8247,1777,1309,1415,115,11,4003,1133,2186,1701,51,34,9404,2143,2030,2097,597,37,117123,1085,2278,1817,917,43,11977,1798,1441,1874,24,40,7162,1455,1379,1418,788,2,3919,1185
2966,2167,442,47,16885,2252,1870,2364,689,26,22095,3086,2624,2272,112,46,13666,1985,2032,1989,314,43,9383,2006,1365,1550,250,11,4934,2186,2773,2057,407,45,16192,2234,2654,2810,75,45,163377,1212,2814,2574,224,52,18179,2818,1703,2010,160,41,7391,1748,1454,1613,248,3,4158,1336
3675,2505,780,57,20942,4164,2064,2586,-189,30,27868,4149,3310,2655,490,59,17726,2272,2436,2324,644,52,11081,2006,1615,1779,479,13,6037,2278,3420,2367,717,53,20044,3448,3027,3079,344,53,170589,1212,3165,2866,511,59,20546,2828,2238,2404,554,54,11371,1886,1824,1793,428,4,5176,1336
4365,3085,1360,70,27359,4303,2830,3340,565,34,37024,5006,3835,2916,176,68,20119,2976,2831,2690,1010,62,13688,2592,2010,2027,727,16,7514,2356,3543,2518,68,55,21125,3842,3221,3302,567,57,175589,1212,3874,3438,1083,73,27654,3018,2751,2760,910,65,16271,2012,2314,2012,642,6,6383,1481
