blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,505,5,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,568,68,2,624,24,325,601,101,4,3886,881,185,561,61,2,727,8,113,584,84,3,542,127,173,523,23,0,106,51,185,584,84,3,731,25,325,601,101,4,4748,766,276,620,120,6,1056,4,131,598,98,4,759,68,131,544,44,1,206,38
768,879,379,13,2790,360,1010,1034,534,20,12881,1971,924,861,361,13,3428,654,412,846,346,11,1784,850,472,720,220,3,1203,378,646,832,332,10,4257,609,850,958,458,16,9959,1470,798,894,394,15,3901,434,375,874,374,13,2987,204,375,699,199,2,802,366
1477,1265,765,26,8420,478,1315,1341,841,28,16872,2411,1200,1037,62,16,4523,1347,632,1011,161,13,1960,1315,936,897,97,6,1645,932,1477,1218,718,23,6483,959,1025,1282,7,20,12265,1759,1477,1221,371,25,7767,849,727,1541,206,19,4646,437,727,1005,505,4,2020,493
2094,1646,1146,38,12542,560,1524,1553,268,32,19913,2877,1786,1326,351,24,6098,1445,1167,1448,598,29,5345,1531,1376,1136,336,9,2696,1101,1941,1501,1001,29,7876,1104,1341,1565,290,28,20179,2265,1879,1451,251,29,9106,1144,1202,1934,599,32,7105,741,1140,1245,370,7,3019,604
2401,1874,74,44,14499,827,2064,1935,650,44,31577,4024,2325,1660,685,33,9754,2137,1742,1669,819,35,7945,1717,1608,1357,557,11,3425,1436,2401,1757,157,37,10049,1241,1659,1758,483,32,23658,2820,2466,1764,564,38,12285,1921,1625,2190,855,39,8624,976,1213,1389,509,8,3245,604
3110,2370,570,53,18292,1444,2585,2575,1290,51,35803,4312,2873,2569,144,40,12577,2914,2174,1931,1081,42,9737,2141,1823,1661,136,11,4191,2297,3110,2066,466,48,13466,1875,1795,2035,285,32,23896,3668,2903,1985,385,44,15296,2326,2396,2602,1267,53,12068,1006,1281,1823,218,8,4005,1603
3758,2776,976,66,21831,1731,3215,2943,1658,63,46670,5852,3160,2779,304,42,14440,3968,2696,2283,1433,52,11023,2870,2186,1842,317,13,5237,2963,3911,2530,930,65,20974,2219,2465,2461,711,44,36190,4493,3551,2327,727,54,19023,3330,2791,2940,1605,63,17278,1287,1677,2069,464,11,5246,1603
4282,3018,1218,73,26806,1947,3764,3901,2616,69,57100,6616,3647,3372,197,44,15639,4583,3261,2897,572,60,15280,3367,2486,2219,694,14,6264,3244,4425,2875,1275,73,25422,3195,2579,2671,121,45,36886,5558,3798,2470,120,55,19632,3843,2960,3343,43,69,21700,2334,1960,2653,123,11,5671,2686
4835,3308,208,83,29685,2127,4190,4202,352,77,62511,7055,3862,3560,385,48,17202,5957,3661,3124,224,66,17541,4501,2573,2373,73,15,6649,4654,5073,3258,158,85,31781,3712,2888,2873,318,50,42854,6921,4501,3612,1262,70,26046,4736,3690,3612,312,78,26722,2655,2529,2998,468,14,7529,2771
5483,3702,602,95,37512,2706,5064,4822,972,89,80187,8218,4357,3856,681,55,20173,5957,3792,3331,431,71,18378,4608,3076,2550,250,18,7878,5861,5721,3624,524,96,37550,4378,3655,3506,951,58,50020,7943,4964,3927,377,79,29393,4772,4430,4375,1070,92,34301,3152,2529,3142,162,14,7529,2771
5854,3929,54,101,40877,2802,5891,5657,1807,100,91677,8600,5306,4391,1216,72,27700,6327,4333,4091,1191,84,26195,5236,3372,2747,372,21,9286,5861,6521,4482,1382,113,50142,5210,4370,3925,1370,71,62431,8283,5279,4165,610,85,30806,6769,4832,4680,345,99,38424,3366,2774,3308,328,16,7948,3304
6560,4268,393,114,46810,3281,6403,6050,465,104,98150,9204,5679,4886,461,77,29939,6333,4733,4360,235,92,29211,5631,3450,2917,137,22,9288,5861,7043,4800,250,124,54828,5741,4520,4122,287,76,63908,8465,5531,4381,396,90,32872,8290,5408,5012,677,111,42717,3380,2991,3448,-107,16,7948,3304
7208,4938,1063,124,56054,4362,6807,7022,1432,113,105814,9574,6182,5794,1369,83,35762,6751,5030,4631,156,98,34214,6843,3685,3150,295,24,9928,7473,7415,5124,224,129,58001,7889,4874,4886,101,77,65745,9276,5899,4659,249,97,37665,8318,5743,6073,338,116,51520,4569,3340,4123,168,19,10220,4024
7549,5215,240,129,58566,4362,7768,7644,2049,126,119993,10704,6182,5917,142,83,37733,8141,5576,4984,504,107,40563,6956,4169,3409,554,26,11308,7567,7927,5400,500,138,63895,8687,5510,5534,749,85,79832,9934,6714,5115,705,108,44765,8495,5957,6234,99,119,53528,6670,3706,4339,-166,19,10988,5371
8131,5727,752,136,63145,6844,8365,8724,529,127,123831,12546,7037,6610,835,91,45255,9752,6178,5242,762,113,44429,8328,4754,4252,1397,27,12998,10134,8992,6218,1318,153,74546,9265,5940,5883,1093,90,83970,12023,7270,5583,1173,114,47798,10666,6927,7752,1617,130,64282,8578,4268,4623,118,19,12067,7116
