blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,542,42,1,71,0,310,591,91,4,5992,803,215,594,94,4,337,68,113,584,84,3,440,54,113,544,44,1,131,42,185,584,84,3,550,76,430,621,121,6,4273,687,246,615,115,5,566,78,75,563,63,2,523,0,75,523,23,0,0,0
707,839,339,11,1025,7,676,886,386,12,9240,1337,863,940,440,15,2452,576,564,997,497,18,3095,148,564,720,220,3,1633,393,738,916,416,15,1682,107,836,982,482,16,12321,1622,833,998,498,16,2351,255,450,888,388,13,3014,252,450,699,199,2,835,177
1477,1218,718,24,4336,976,851,1109,184,16,11231,2352,1292,1207,707,25,3756,685,832,1253,753,25,4895,255,771,897,397,5,2290,439,1355,1267,767,25,4001,1136,1075,1320,820,20,15717,2740,1439,1316,816,22,3766,750,735,1578,1073,20,4530,536,735,915,415,4,1677,352
1882,1745,1245,27,6841,1747,1514,1673,748,29,17137,3263,1939,1536,1036,35,6943,786,1287,1906,1406,36,7351,680,1196,1244,744,6,3285,849,2053,1669,1169,39,7513,2127,1159,1447,247,20,16239,3426,2087,1685,250,34,11529,828,999,1896,16,29,6104,720,999,1133,258,6,2491,1218
2311,2172,72,36,9531,2331,2026,2457,1532,32,21612,4404,2587,1830,1330,42,9105,914,1776,2347,1847,52,12286,825,1685,1459,959,8,3825,990,2249,2023,423,44,8212,2468,1411,2210,1010,20,17544,3426,2735,2065,630,46,15408,828,1184,2082,202,32,7016,1034,1476,1599,724,9,5471,2456
3112,2693,593,49,18500,2846,2342,2760,335,40,30162,4827,3140,2137,1637,53,11555,1014,2007,2640,165,57,14572,1032,1854,1695,95,9,4554,1702,2741,2306,706,53,10578,3117,1883,2535,1335,28,27340,4353,3288,2387,952,57,18640,1025,2029,2473,593,45,10922,1611,1645,1775,250,11,6017,2458
3343,2926,826,52,21329,3459,2791,3086,661,52,38770,6066,3746,2525,75,66,14876,1173,2637,3000,525,68,18969,1032,2009,1829,229,9,4795,2050,3450,2735,1135,68,14283,3193,2201,2847,372,38,33005,4729,3659,2676,291,64,19978,1510,2494,2797,467,53,14224,1611,1825,1929,254,12,6372,2458
4049,3189,1089,61,25390,4439,2985,3289,864,56,44704,6699,4332,2857,407,76,18455,1353,2805,3227,102,74,20455,1299,2178,2026,126,12,6420,2065,3850,3005,1405,76,17659,4245,2868,3210,735,48,42179,5805,4307,3061,676,76,23975,1510,2874,3102,772,63,16259,1872,2144,2106,431,14,7060,2676
