blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,505,5,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0
185,563,63,2,503,9,455,657,157,7,5208,697,276,587,87,4,2995,92,113,584,84,3,761,0,113,523,23,0,488,65,123,563,63,2,892,136,325,606,106,4,3661,848,246,594,94,4,723,63,113,584,84,3,833,55,113,528,28,0,214,72
738,839,339,10,2897,567,855,1055,555,12,8375,1243,838,1296,796,12,4812,636,508,948,448,14,3124,520,508,738,238,2,1381,528,798,874,374,13,3389,676,707,874,374,12,6914,1247,676,828,28,11,2275,952,432,867,367,12,3543,413,432,704,204,2,999,665
1324,1141,641,18,5578,1195,1070,1666,1166,18,10495,1334,1534,1832,32,20,6807,758,934,1542,17,23,6462,980,934,1325,175,6,2877,687,1477,1253,753,25,6296,1234,998,1161,661,19,12709,1757,984,1004,204,14,4008,1868,677,1155,205,19,4798,1324,677,920,70,4,1630,1427
1723,1326,26,22,6296,1458,1430,1992,442,26,18150,2153,2059,2092,292,29,8472,826,1030,1748,223,25,7196,993,1030,1459,309,6,2877,687,1972,1555,1055,32,7267,1258,1348,1463,263,27,16452,2465,1507,1306,506,23,5922,1868,1073,1550,600,32,5707,1324,1103,1138,288,6,2081,1427
2245,1526,226,26,8022,2458,1706,2263,713,32,23796,3396,2746,2457,657,41,11292,1370,1428,2319,794,35,11733,1177,1428,1683,533,7,3594,1006,2678,1860,1360,43,11208,2162,1723,1752,552,35,23008,3279,2216,1678,878,36,9544,1868,1244,1802,502,36,6388,2273,1550,1378,528,12,3219,1787
2942,2147,47,35,11695,3266,2016,2477,252,36,27432,3587,3137,2953,1153,47,14098,1872,1849,2806,1281,49,16189,2057,1911,1994,844,10,5577,1489,2862,2052,152,47,12757,3323,1922,1954,749,40,28427,3621,2583,1859,224,40,12552,1868,1562,2113,813,47,9419,3010,1869,1533,383,13,4560,2910
3374,2373,273,38,14018,3843,2732,2910,685,52,39357,4802,3845,3355,55,61,19359,2017,2114,3190,65,56,18511,2091,2176,2285,35,11,6825,1498,3724,2523,623,64,18497,3923,2116,2176,971,44,33401,4594,3231,2201,566,50,15535,1868,1957,2500,550,60,12334,3050,2326,1757,607,15,5472,2914
3961,2896,796,45,18349,5234,3247,3470,1245,56,47278,5806,4603,3780,480,71,25169,4086,2603,3903,778,66,22715,3210,2483,2462,212,13,8166,1777,3970,2723,823,69,22328,5783,2616,2465,1260,52,38358,5778,3693,2383,748,54,19079,3240,2070,2686,436,63,12602,3050,2653,1927,277,17,5883,2928
4333,3546,1446,52,22090,5436,3526,3870,845,60,50017,5806,4762,4157,72,76,26713,4086,2837,4300,1175,72,26491,3300,3058,2959,709,16,9887,2194,4583,3041,341,81,25892,5926,2722,2637,257,54,44932,6658,4061,2564,494,58,21717,3481,2567,3384,1134,74,17993,3099,2936,2163,513,19,6569,2928
5104,3961,1861,62,25958,6010,4426,4930,1905,74,66174,6515,5327,4998,913,86,31266,6725,3608,5332,2207,86,33441,3420,3715,3954,1704,18,13158,3482,5170,3400,700,91,28535,6083,3307,2976,596,59,46352,7905,4787,2965,30,64,25980,4639,3077,4240,1115,81,24140,4789,3011,2303,253,19,8152,4293
5750,4314,2214,76,31702,6682,4690,5102,77,78,71864,8019,5736,5511,621,92,33846,6725,4071,5630,130,93,39544,3596,3809,4094,194,18,13158,3482,5879,3768,1068,102,33569,6494,3638,3266,486,65,52537,8328,4976,3100,165,65,27589,4639,3391,4601,876,91,31852,5364,3394,2594,544,24,9735,4360
6361,4676,301,87,35479,7518,5411,5684,659,86,80997,8847,6566,6935,2045,109,45845,7692,4984,6533,1033,108,48787,4361,4297,4639,734,21,15447,4503,6432,4058,1358,112,39259,6990,3762,3423,243,67,56348,9815,4976,3227,292,65,28117,5909,3670,4819,469,97,35704,5964,3394,2734,209,24,9735,4360
7280,5504,1128,98,45052,7986,5918,6020,95,90,86176,9053,6875,7215,460,115,48843,7743,5489,6854,1354,120,54499,4521,4373,4780,150,21,15447,4503,6524,4216,116,114,41350,9086,4311,3729,549,75,62985,10810,5516,3549,614,73,32559,5924,4146,5187,337,108,40696,5988,3564,2955,130,25,10529,4477
7721,5879,504,108,52989,8446,6095,6297,372,94,103431,9628,7224,7450,695,118,50537,8032,5937,7443,1938,132,63311,5110,4546,5155,520,22,15604,5289,6709,4380,280,116,42074,9086,5141,4119,939,87,76310,12235,6006,3867,932,81,38355,5924,4467,5362,512,111,42614,6957,3782,3115,215,26,11685,5513
8675,6482,1107,127,63577,8482,7193,7395,1470,108,113581,9712,7596,7967,1212,125,57377,10506,6427,8386,2881,146,76356,6191,4652,5395,410,22,15604,5289,7099,4713,613,125,46436,9101,5804,4459,1274,97,85801,13244,6382,4196,796,84,41170,6375,5067,5991,41,119,48289,7828,4492,3429,524,30,12833,5513
9238,6756,1381,129,70366,11760,7193,7517,92,108,113779,12047,8160,8466,1011,129,60128,10506,6708,8704,3199,153,84374,6506,4841,5647,662,24,17128,5457,7747,5010,110,135,55708,13668,6345,4745,410,104,97876,13776,6998,5016,181,94,48876,6744,6056,6587,627,135,62666,8498,5020,3675,320,30,13057,6367
9514,6914,139,131,72485,11760,7942,7886,461,119,128731,14185,8803,8889,1434,142,68716,10756,7225,9074,169,166,94638,6623,5025,5822,82,25,17131,5457,7747,5132,232,135,55708,13668,6425,4903,218,107,99137,13836,7797,5521,686,107,57139,6744,6412,6911,351,144,67632,8703,5224,3815,460,30,13057,6367
10469,7388,613,146,84667,11760,8818,8687,1262,121,133774,18278,8963,9061,356,142,69001,13350,7930,9991,97,172,110040,9242,5845,6243,503,25,18739,7626,8217,6874,1974,138,60170,17871,7229,5615,925,109,102524,16565,8209,5858,223,111,61145,8990,6955,7252,692,154,75344,10645,6242,4081,726,30,14879,8081
10840,7806,231,153,92918,17217,9920,9806,2381,133,146190,19098,9333,9676,971,149,76942,14103,8260,10399,504,182,119305,9370,6359,6654,214,26,19147,7626,8217,7016,1016,138,60564,18533,7789,5821,331,114,105403,17338,9112,6901,101,126,72681,10440,7688,7635,1075,156,80673,11134,6486,4226,421,30,15033,8081
11406,8252,677,159,100202,23467,9920,9929,504,133,156509,21881,10282,10363,1659,158,85308,16190,8653,11141,46,182,122890,11390,7391,7265,825,27,21546,9305,8527,7292,272,143,64326,18560,8002,6414,224,114,108655,19632,10059,7328,528,135,81222,12604,8601,8288,1728,165,88382,12604,7092,4516,211,30,15550,10339
12006,8674,299,159,100202,23467,11953,10661,1226,146,165981,22568,11530,10975,1180,169,94417,16297,9950,11942,848,203,149862,12309,8119,7706,866,27,21547,9810,8789,7463,443,146,67676,18829,8892,6925,335,130,120993,20894,10231,7486,681,137,83052,12854,9419,8793,533,179,102564,12952,7700,4678,373,31,17334,10430
13078,9508,1134,163,106471,33093,12971,11391,1956,154,176306,26783,11763,11537,1743,170,98521,19575,10741,13295,2201,209,164366,14996,8928,8696,1856,27,22856,11762,9370,7818,448,153,72941,23474,9460,7281,341,131,123242,24087,11246,8338,443,141,90666,14975,10561,9564,1304,182,107714,15122,8206,4856,551,31,18119,12497
13078,9577,1202,163,106471,33093,13129,11534,2100,154,177563,28419,12102,11723,828,170,101865,22653,10741,13364,314,209,164366,14996,9990,9074,2235,27,23560,12899,9781,7886,516,153,72941,23474,10138,7854,914,132,127063,24907,11246,8406,511,141,90666,14975,11690,10749,2489,187,121246,16807,9305,5234,929,31,19516,14669
