blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,690,211,6,630,130,0,1575,407,191,534,34,1,559,297,130,821,321,0,664,76,46,643,68,0,498,734,123,521,21,0,157,256,20,951,446,1,889,578,165,534,34,1,489,208,20,579,29,0,336,729,20,576,76,0,159,365
893,1014,514,18,3095,480,681,988,488,12,8598,1136,774,867,367,14,2349,593,579,1199,699,13,2406,236,424,817,242,0,617,938,646,734,234,5,2273,528,575,1249,744,11,7526,1458,748,867,367,14,1868,233,246,813,263,6,1437,790,276,731,231,1,482,430
1416,1299,799,26,5272,771,691,1117,117,12,9237,2057,1331,1168,668,22,4326,1599,1049,1507,1002,24,6682,668,750,1046,471,0,1204,1159,1324,1092,592,16,5346,1013,1068,1766,1261,20,15377,2545,1475,1480,980,24,4853,968,735,1212,662,19,4194,1017,765,988,488,5,1884,1026
2064,1676,1176,37,12119,990,857,1493,193,13,10342,2975,1583,1648,48,25,5790,2041,1295,1783,53,30,9269,1606,1027,1301,201,0,2488,2027,2003,1410,910,24,7267,1121,1609,2660,2155,29,19754,3402,1807,1902,142,24,5281,1484,1222,1974,1424,27,7131,1870,1191,1657,1157,7,3268,2001
2773,2062,1562,49,15952,1315,1321,1823,523,21,17821,3730,2415,1974,374,35,8290,3247,1563,2025,295,37,10431,1720,1338,1495,395,0,2673,2194,2525,1652,27,31,9388,1521,1920,2958,278,37,22786,3790,2207,2144,384,31,8686,1816,1526,2202,202,34,8740,2055,1342,1791,166,7,3268,2001
3002,2326,26,51,16550,1315,2025,2901,1601,33,26915,4835,2614,2196,161,36,9717,4173,1921,2360,630,46,19211,2185,1718,1691,591,0,2853,2706,3202,1994,369,42,13812,1899,2154,3401,321,37,23465,4879,3041,2518,758,44,16354,2416,1977,2622,622,49,13855,2379,1793,2034,409,10,4636,2222
3524,2591,291,59,18330,2182,2363,3144,1844,37,32039,5707,3047,2697,662,41,12429,4726,2382,2747,1017,59,23340,2359,2163,1846,741,1,3315,2716,3697,2290,665,49,17085,2278,2343,3608,528,41,29605,5644,3570,2980,355,54,19632,3030,2335,2934,929,56,15645,2404,2058,2252,622,12,5462,2381
3923,2806,506,63,19963,2810,2583,3343,143,41,32596,6693,3357,2930,280,45,13820,6110,2845,3047,342,67,26987,2430,2211,2046,141,1,3625,3759,4482,2741,1116,65,25498,3187,2610,4166,1086,46,36733,6350,4183,3862,1237,64,25228,3514,3142,3818,1813,72,20510,2492,2482,2666,1031,15,7743,3722
