blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0
123,542,42,1,619,251,325,601,101,4,3570,830,215,581,81,3,1047,584,136,594,89,4,359,0,136,578,78,0,135,0,246,591,91,4,1497,233,325,601,101,4,2785,852,215,594,94,4,1013,535,0,521,21,0,377,69,61,528,28,0,258,64
614,832,332,11,2417,1005,676,886,386,12,8855,1783,676,782,57,8,2632,795,587,965,460,16,2279,326,587,832,332,0,1081,627,718,1245,95,10,3967,1258,835,954,454,16,12473,2238,614,861,211,13,3054,1107,341,720,220,4,1970,681,249,683,183,1,495,197
1104,1193,693,18,4444,1693,943,1289,314,16,10098,1983,1101,1400,675,16,4077,805,781,1642,37,20,3501,377,781,1174,24,1,2144,627,1181,1540,390,18,6969,2045,1211,1255,30,24,17258,3846,1013,1109,109,21,5685,1162,566,976,476,12,3389,873,1060,902,402,6,2019,300
1537,1441,91,23,6392,2024,1269,1588,613,24,15659,2679,1687,1676,91,23,6662,1920,1093,1933,328,27,4866,1268,1124,1409,259,2,2937,1542,1890,1830,680,27,9517,2387,1380,2017,792,24,21602,4500,2072,1857,857,37,11139,2480,702,1203,403,16,4300,1458,1251,1336,461,6,2677,772
2430,1927,577,27,10155,3662,1823,1956,981,28,19691,3356,2206,2384,799,32,10854,2339,1565,2216,311,37,7561,1315,1351,1545,245,3,3962,1542,2629,2184,1034,41,16283,4077,1891,2408,1183,35,26972,5896,2287,2239,139,42,13612,3131,1168,1550,400,28,7463,1478,1783,1639,254,12,5354,881
3016,2283,63,38,13349,3676,2325,2312,1337,40,29778,4273,3137,2979,1389,43,17081,3113,2062,2808,903,47,12361,2288,1787,1896,596,3,5437,2058,2967,2383,383,45,18348,4099,2073,2590,115,38,30235,6127,2791,2564,464,54,18076,4877,1539,1829,79,34,8737,2533,2048,1830,440,15,6481,1436
3848,2656,436,50,17576,3917,2659,2584,334,46,36634,5118,3785,3347,657,55,20770,3132,2195,3048,293,51,14666,2352,1919,2031,381,3,5437,2058,3492,2735,735,55,22971,4722,2745,2976,496,50,40619,7136,3339,2854,449,64,21717,4889,1849,2083,333,39,10638,2548,2214,2002,132,18,7387,1436
4099,3156,61,52,20462,5470,2910,2890,640,46,40888,6270,3976,3894,354,56,22415,4535,2757,3712,957,69,22048,2563,2451,2476,821,4,7795,2078,4092,3902,1902,67,28339,5584,2943,3204,219,51,43973,9118,4129,3328,373,77,27826,6431,2197,2363,33,43,13024,2548,2617,2324,449,20,8528,2248
4999,3635,535,71,27309,5808,3687,3402,327,58,49876,7363,4467,4581,1041,65,28855,4546,3437,4326,1566,76,28632,2855,2830,2784,1129,5,9017,2303,4645,4234,134,79,34280,5685,3479,3592,602,62,51260,9971,4682,4010,190,89,36513,6773,2566,2539,209,46,16128,3708,2730,2458,108,20,8804,2438
