blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,100,0,0,0
215,598,98,4,961,17,300,586,86,4,5154,838,123,541,41,1,1023,771,113,563,63,2,146,18,113,523,23,0,0,0,185,584,84,3,721,131,445,645,145,6,5612,791,176,702,202,3,861,168,0,521,21,0,0,0,145,1033,533,0,509,533
707,839,339,11,2138,269,851,986,486,16,11351,1671,618,795,295,6,2775,1041,506,916,416,16,1636,259,506,678,178,1,273,248,893,983,483,17,2920,334,676,906,406,12,8827,1276,854,1074,574,16,2939,192,174,685,185,2,842,98,258,1227,302,0,666,761
1232,1106,606,17,3876,711,851,1109,184,16,11684,2284,1262,1049,549,15,6247,1283,733,1249,49,21,4094,1394,733,981,106,3,1213,1105,1324,1232,732,24,5109,708,1153,1259,759,24,14504,2110,1284,1330,830,23,4622,316,845,1814,1314,15,3706,781,928,2339,1414,2,2574,1220
1692,1375,125,25,5500,2085,1224,1737,812,24,20270,3783,1617,1319,19,21,8068,2166,1441,1596,396,32,6926,1417,896,1286,411,4,1729,2100,2299,1896,1396,35,8983,1293,1244,1485,210,24,15162,3124,1879,1721,1221,31,7073,845,1126,1999,269,18,4409,960,1181,2851,586,4,4754,1408
2432,1722,472,36,7328,3289,1262,2180,430,24,21172,4354,1655,1517,217,21,8717,3182,1619,2978,1773,33,9764,2325,1035,1720,120,4,1993,2493,2605,2089,239,39,11512,1912,1283,1683,33,24,16197,4058,1945,2002,52,31,7495,1611,1464,2478,398,22,6300,1829,1290,3415,145,5,5236,2253
3080,2057,807,46,10903,3690,1530,2590,840,28,27721,5331,1871,1700,400,25,12146,3182,2142,3233,328,41,11970,2385,1438,2264,664,8,2802,2595,3314,2690,840,54,18106,2819,1545,1992,342,32,22068,4519,2650,2334,384,44,10560,1673,1595,2628,548,24,7352,1829,1707,3742,467,10,8486,3233
3758,2409,359,57,15936,3720,2183,2897,1142,38,38863,6354,2275,1987,252,37,17142,4421,2818,4476,1571,53,20645,3067,1870,2785,385,8,4453,3826,3871,3203,203,63,22282,2946,2214,2397,747,44,33292,5390,3322,2848,33,56,13416,2197,1813,2792,312,26,9018,3027,2010,4274,59,11,10195,4529
4221,2702,652,64,18411,4217,2653,3196,1441,46,44470,7072,2923,2248,513,46,21643,4997,3176,4839,359,64,25889,3229,2228,3034,284,11,5949,3826,4442,3622,622,77,28180,3302,2692,2682,1032,53,40625,6147,3898,3181,366,65,17822,2615,2213,3041,561,33,12390,3038,2274,4414,199,11,10195,4529
4864,3213,1163,75,21839,6158,3175,3530,1775,55,49066,7191,3434,2804,1069,51,24386,5343,3457,5670,45,75,31480,3353,2509,3527,92,12,7071,4300,5042,4407,1407,86,34351,3984,3305,3115,1465,61,48624,7128,4652,3569,754,76,22998,2636,2428,3233,753,37,14871,3384,2424,4940,10,11,13926,5757
5327,3558,433,85,26775,6256,3693,4192,87,61,56625,7810,3805,3072,62,56,27593,6271,4049,6701,1076,89,40945,4278,3192,4168,733,14,10392,4508,5936,5289,2289,98,42554,5347,3753,3403,253,69,56597,7729,4812,3717,437,78,24185,4087,2891,3571,51,46,19014,3413,2492,5153,148,12,14901,7057
5951,3982,852,98,32396,6388,4276,4539,434,71,65861,9081,4271,3470,460,64,36139,6430,4257,7106,206,92,43784,5488,3307,4608,83,14,11086,5987,6646,6186,778,111,51711,5440,4086,4031,876,76,64817,8006,5521,4190,910,92,31347,4439,3354,4651,131,48,21164,5354,2971,5669,664,14,17773,7388
6292,4264,1134,108,36679,7386,4687,5050,145,72,68541,11017,4594,3841,215,68,38701,7606,4600,7840,939,99,51922,6620,3649,5150,625,17,12567,6251,7503,7220,1807,124,62716,6798,4345,4303,78,76,67341,9647,5928,4481,201,102,35924,4804,3844,4899,379,56,24933,5758,3202,5905,820,15,19959,7735
7223,4768,1638,122,44695,8087,5386,5461,556,79,76877,12957,5247,5324,1699,77,47225,7994,5702,8928,2028,119,63123,6880,4671,5578,1053,20,15257,6673,7594,7385,1972,127,66977,8576,4888,4742,517,84,78198,10553,6794,5077,797,119,47245,5319,4124,5313,43,61,28903,7037,3292,6262,1177,17,21428,9114
7656,5046,41,128,48310,8087,6046,5918,1008,92,93209,13959,5562,5636,316,84,50738,8320,6010,9454,2554,127,70351,7295,4917,6023,1498,22,16833,6844,8227,7839,421,139,77866,8855,5694,5145,915,97,91660,11780,7294,5376,216,128,52464,5327,4375,5582,312,66,33123,7037,3548,6403,98,17,21494,9130
8413,5557,552,140,54638,11174,6741,6191,181,96,95990,14213,6058,5941,621,91,55943,10001,6452,10134,759,128,73963,7459,5360,6642,1317,22,17893,7629,8716,8189,771,148,86225,11984,6131,5522,1287,102,101665,12080,7817,5824,664,140,58956,6032,4893,6081,811,78,42109,8652,3947,6641,331,20,24709,10497
8835,5871,866,147,59700,11842,6911,6614,604,98,98774,14918,6644,6378,623,102,63678,10262,6992,10846,21,137,84459,8213,5550,7077,1752,25,19040,8759,8943,8429,211,151,90479,12453,6327,5741,331,106,109516,12717,8591,6313,1153,153,69030,6540,5148,6280,660,82,44427,8652,4126,6796,411,21,26543,11934
9340,6173,468,153,65880,12339,7762,7116,1106,114,118508,15907,7384,7165,1410,113,73260,12010,8083,11730,896,154,97775,9779,6511,7478,903,25,19273,9008,9444,8747,529,162,100122,14158,6631,5933,523,110,113173,15037,8875,6562,152,160,73502,7817,5475,6508,888,88,50088,9702,4195,6936,551,21,27215,13335
9777,6633,928,155,67020,12339,7946,7377,1367,114,128854,18867,7514,7373,368,113,74480,12328,9102,12910,2075,169,111760,9779,7155,8131,56,25,20434,10103,9539,8960,142,163,101865,16129,6848,6156,346,114,117791,15370,9212,6782,372,166,77703,7879,5754,6693,1073,92,52534,10192,4327,7076,691,21,27533,14806
10524,7067,1362,164,75381,16128,8820,7780,1770,127,144589,20554,8117,7953,948,118,79569,12422,9102,13032,237,169,114642,11711,7772,8376,296,26,20727,10103,11090,9830,1012,174,116602,20261,7434,7404,394,118,126689,16482,9810,7121,711,173,83874,8863,6260,6905,235,93,53756,10192,4831,7377,992,26,29302,14827
11496,7685,740,171,81067,16146,9463,8228,143,129,150547,21774,9316,8480,385,125,85445,13213,10462,13788,994,186,134827,12762,8977,8816,737,26,21930,10352,11090,10077,460,174,116602,20261,8493,7972,962,130,142523,17210,10688,8032,17,186,92568,9004,6788,7293,623,98,61880,10461,5318,7993,353,28,32190,14827
12335,8130,1185,187,94537,16733,9998,8628,168,133,153704,24878,9961,9114,1019,128,95349,15484,11105,14883,2088,193,150513,14938,9726,9222,1142,28,24596,12701,11318,10264,146,175,118087,23528,8870,8165,730,130,144291,21453,11062,8528,508,187,94323,11456,7185,7512,842,100,67327,12294,5587,8223,583,29,33631,17092
12883,8483,1538,187,95453,21215,10771,9571,1111,137,161058,25900,10090,9342,72,128,96537,15484,11723,15682,2888,197,161369,17782,10527,9725,1645,28,25360,13968,11659,10494,376,175,121286,25904,9494,8418,133,134,147491,23557,11582,9713,38,187,97685,13491,7964,7877,1207,106,74128,14243,6230,8379,739,29,35793,19506
