blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
122,556,56,2,1192,500,335,606,106,4,3447,830,276,607,107,5,582,136,0,521,21,0,699,626,0,523,23,0,603,95,185,584,84,3,1192,523,300,586,86,4,5221,916,123,541,41,1,111,118,113,542,42,1,731,77,113,583,83,0,376,401
399,755,105,6,2589,1747,836,982,482,16,13306,1588,893,828,328,11,3391,603,300,795,295,8,1984,626,300,697,197,2,892,195,770,1287,787,12,4468,1211,939,1085,585,15,10749,1774,863,762,262,7,1408,766,569,948,448,15,3719,90,508,717,217,0,480,401
941,983,333,13,4328,3080,1399,1383,883,30,17501,2062,1262,1030,130,16,4594,947,606,1111,611,17,3518,626,606,928,423,5,1840,294,1037,1725,475,13,7052,2186,1043,1304,379,19,13190,2061,1477,1142,-183,21,5239,928,925,1281,781,27,6840,99,864,872,372,0,834,513
1064,1275,325,14,4480,3080,1794,1958,98,35,19895,2399,1771,1205,305,19,7249,1665,1162,1642,1142,28,6432,930,1162,1467,962,8,2890,721,1838,2142,392,28,9713,2644,1218,1531,606,23,16619,2916,2040,1467,137,29,7530,1168,1214,1557,1057,33,9451,746,1090,1086,136,0,1443,1346
1803,1816,866,26,9813,3346,2202,2908,1048,39,25403,3640,2295,1499,299,27,10489,1784,1484,2365,115,33,8584,1450,1389,1745,65,8,3549,1520,2486,2505,755,39,12574,3113,1650,2133,108,32,20516,4157,2981,1995,665,48,14880,2379,1392,2483,83,34,10412,1485,1210,1431,81,0,1785,2078
2265,2062,237,33,12849,3601,2757,3281,1421,51,37517,4183,2663,1747,72,35,12888,1794,1905,2713,458,46,10448,1450,1964,1958,273,12,4082,1625,2947,2802,1052,49,14401,3170,2124,2500,475,42,32227,5019,2981,2117,-113,48,14880,2436,1679,2689,289,38,12225,1665,1650,1618,268,1,2583,2109
2913,2404,254,43,15791,4569,2989,3539,249,56,40903,4569,3280,2057,382,42,17507,2773,2459,3290,1035,53,16485,1770,2190,2092,17,12,4872,2614,3748,3190,1440,61,18793,4079,2448,2753,728,48,36518,5994,3696,2499,269,59,19973,2528,2191,3084,684,52,18167,2389,2101,1832,482,1,3470,3390
3733,3371,1221,53,22492,5903,3167,3716,421,61,45880,5607,3772,2363,338,51,22050,3406,2889,3581,151,63,20274,1943,2289,2226,151,12,4872,2728,4024,3600,295,66,22199,4857,3051,3493,1468,54,45399,8304,4399,2843,213,68,24348,2616,2562,3362,412,58,20832,2389,2254,1995,145,3,3786,3390
