blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,343,172,300,586,86,4,5196,869,276,620,120,6,1113,9,113,563,63,2,834,174,113,523,23,0,0,53,123,521,21,0,482,60,335,606,106,4,4088,864,276,620,120,6,1612,165,131,577,77,3,1000,18,131,543,43,0,131,0
924,990,490,17,4893,1165,743,1016,91,13,9317,1906,924,933,433,15,3090,250,461,926,426,8,2392,693,281,999,99,2,616,877,646,734,234,5,5014,919,1011,1062,562,20,14111,2089,924,920,420,14,10639,486,722,1154,654,18,4299,64,351,1187,212,0,1214,886
1220,1211,711,22,6271,1551,932,1238,313,17,11636,2455,1353,1186,686,23,4730,280,922,1269,769,19,4121,717,524,1155,255,3,974,917,1324,1141,641,19,9271,1110,1313,1335,835,28,18056,2419,1477,1221,721,25,13572,623,1168,1486,986,30,6838,78,520,1322,347,0,1747,886
1838,1828,1328,32,8807,1952,1420,1751,826,25,15855,2995,1816,1475,225,31,7413,1225,1430,1637,1137,31,6374,825,1033,1373,473,5,2161,1378,1538,1277,177,20,9549,1775,1673,1641,41,36,25524,3396,2022,1784,134,31,17191,1307,1563,1839,1339,40,9687,543,915,1576,601,0,3517,1021
2639,2273,1773,48,13327,2931,1647,1960,1030,30,18359,3934,2223,1711,461,37,9486,2125,1806,1993,1493,42,8556,1185,1409,1635,735,9,5109,1738,1938,1505,405,26,12715,2331,1885,1848,248,40,33065,4236,2745,2104,454,40,22755,2146,1625,1983,83,41,10196,1145,1193,1827,852,3,4743,1909
3195,2734,2234,54,16565,4004,2087,2245,215,40,25674,4279,2472,1892,132,41,10978,2531,1991,2158,208,44,9299,1185,1502,1769,94,9,5109,1738,2623,1791,691,32,17210,2627,2306,2164,564,48,39459,4879,3133,2513,78,41,23737,2555,2268,2388,488,55,12625,1166,1406,1982,232,4,4841,2120
3720,3065,2565,63,20348,4956,2424,2889,859,45,30810,5081,3120,2139,379,49,13476,3397,2512,2662,712,57,14116,2517,1964,2103,428,13,8198,3049,3086,2087,337,40,20127,3106,2500,2372,772,52,42776,6125,4118,2967,532,59,33283,3394,2531,2678,28,62,15847,2393,1793,2256,506,4,8593,3042
4490,3477,2977,76,24170,6024,2686,3112,32,49,34234,5762,3429,2392,232,54,15003,3800,2772,3209,359,63,16704,2758,2095,2243,118,13,8516,3049,3642,2329,579,47,26095,3779,3111,2760,1160,64,54347,7531,4625,3601,366,63,36094,3666,3217,3117,462,76,20154,2393,1793,2391,341,4,10635,3767
