blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,505,5,0,0,0,0,500,0,0,0,0,0,500,0,0,94,0,0,500,0,0,128,630,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,13,905,55,0,621,58,13,665,165,0,347,300
185,563,63,2,1069,199,320,606,106,4,2717,580,276,620,120,6,3963,51,136,552,47,2,465,249,136,655,155,2,884,1027,215,598,98,4,936,46,320,601,101,4,3701,926,276,580,80,4,703,205,127,999,149,3,2421,140,127,786,286,0,1014,442
614,783,283,7,2508,301,685,908,408,12,6097,1146,924,979,479,18,5838,190,510,842,337,12,3317,684,510,870,370,3,1701,1224,924,1018,518,19,3170,265,1085,1064,564,22,15505,2053,676,841,341,12,1882,371,464,1301,451,13,5061,487,464,1041,541,0,1650,844
1200,1106,206,16,4134,1098,931,1573,1073,19,9681,1723,1324,1202,252,24,7240,263,699,1210,80,16,4401,726,823,1025,150,3,2161,1608,1539,1435,10,27,8039,559,1381,1658,1158,27,19493,2363,1477,1220,720,26,4653,547,616,1443,93,14,6305,1122,892,1320,820,4,2796,1017
1481,1296,396,19,5200,2646,1421,1975,1475,29,15459,2266,1728,1457,157,33,9986,1374,1100,1672,542,25,7988,1432,1223,1610,585,4,3510,1776,2383,2019,594,34,13020,1355,1806,2009,59,32,22160,2363,1945,1911,1411,35,7485,1205,973,1713,63,22,8586,1984,1250,1556,1056,5,3662,1518
2391,1939,639,24,6621,2655,1676,2124,174,31,17163,3182,2335,2008,58,39,12540,3010,1495,2028,898,36,12239,1800,1619,1866,841,5,4658,2104,2882,2723,193,40,16386,2060,2293,2527,227,36,29307,3641,2346,2308,408,41,10677,1220,1316,1945,295,28,12203,2564,1715,1806,1306,8,4600,2040
2886,2274,974,33,9354,3742,2258,2518,568,44,26947,3996,2611,2193,243,43,14781,3043,1613,2193,193,38,12371,1800,1798,2042,167,8,4902,2104,3591,3127,597,53,22528,2571,2668,2855,555,44,40279,5295,2869,2615,715,52,14852,1648,1580,2253,253,36,14498,2564,1979,1977,202,8,5393,2040
3039,2431,131,35,10623,5940,2562,2882,82,48,29158,5168,2915,2473,123,47,16622,4496,2112,2567,567,53,16279,2269,2342,2681,801,9,6434,2707,4671,4206,1676,67,32430,3352,3472,3520,270,49,44375,6324,3705,3446,1546,62,22308,2779,1994,2541,541,45,18681,2943,2393,2176,401,8,6260,2824
4346,3115,815,47,17542,7562,3132,3308,508,60,42610,6169,3532,3025,675,59,20525,4547,2507,2945,945,63,22133,2537,2737,3048,1168,11,8463,3312,4918,4395,215,70,34676,3898,3850,3867,617,58,55992,7497,4076,3739,339,69,25460,2791,2313,2849,849,54,23024,3979,2712,2406,631,8,8002,3393
4531,3258,238,48,18649,8843,3272,3890,1090,61,43301,6795,4084,3532,1182,71,25411,4793,2893,3655,325,66,25126,3739,3123,3613,398,14,10114,3664,5894,5836,1656,87,46413,4738,4570,4682,1432,63,65002,8592,4924,4509,1109,80,31485,3318,2446,3109,234,56,24367,4500,2826,2693,218,8,8566,4248
4684,3430,110,51,21524,10068,3451,4149,249,65,49965,7394,4208,3655,205,71,25411,6453,3337,3978,648,75,30847,4079,3443,3853,638,14,11186,3923,7075,7302,3122,103,58630,4812,5400,5563,2313,76,79441,10642,5295,5138,113,88,37097,4493,3146,4229,1354,69,31127,4674,3456,3741,1266,9,10516,4700
5677,4214,889,72,32305,10297,4272,4576,326,78,60948,9257,4822,3953,503,78,30420,7062,3605,4685,355,83,40742,5279,3650,4511,81,14,13331,5408,7368,8345,1020,108,65001,4817,5739,5842,292,82,84990,11436,5649,5599,574,91,42171,5001,3610,4570,495,78,37272,4846,3876,4318,1843,9,12247,4997
6076,4665,240,81,35850,12066,4501,4814,564,83,66205,9809,4990,4124,274,81,32073,7340,3783,4870,140,87,43843,6598,4121,4804,374,23,17963,5567,8212,9518,2193,131,84983,5405,7046,6597,1047,98,104026,12873,6169,5960,935,101,50140,5352,3968,5193,493,83,39842,4861,4721,5325,2850,9,15214,5956
6754,5079,654,94,43469,12259,5126,5172,372,93,71622,9809,4990,4247,397,81,35852,8163,4157,5092,362,93,47757,6770,4584,5125,695,30,22422,5690,8626,10501,3176,141,93282,5943,7976,7051,1501,114,119663,14015,6769,6361,236,111,57434,5828,4489,5541,841,93,47502,5078,4890,5856,306,12,16352,5956
7031,5306,81,100,46369,14531,5359,5389,164,97,78997,12036,5164,4439,589,85,36135,8716,4412,5334,204,100,52740,8618,4839,5368,938,32,23988,7499,9708,11497,1152,160,112426,6629,8750,7694,2144,134,135141,14865,7259,6880,755,113,62370,6608,5113,5892,1192,101,54441,5416,5841,6594,1044,13,20231,6402
7122,5401,176,102,47201,14990,5359,5456,231,97,78997,12036,5261,4571,721,89,43621,9359,4627,5457,327,103,55521,10154,4839,5445,1015,32,23988,7499,10057,11924,1579,165,119518,7217,9024,8017,2467,138,140294,15437,7486,7230,1105,119,68164,6855,5596,6283,1583,106,58811,5416,6106,6808,1258,13,22855,6485
