blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,23,510,5,1,1,0,23,515,15,0,2,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
215,577,77,3,750,87,430,621,121,6,3650,655,246,587,87,4,796,0,87,542,42,1,483,94,87,523,23,0,419,16,146,563,58,2,771,70,443,631,131,6,3946,768,215,581,81,3,602,0,131,598,98,4,669,16,131,523,23,0,62,0
676,849,349,11,2972,805,836,982,482,16,12157,1635,986,979,479,18,2961,0,546,832,332,11,1577,189,546,699,199,2,977,129,699,821,316,9,2076,673,859,997,497,16,12326,1577,707,862,362,12,2143,9,564,983,483,17,4910,25,564,759,259,3,1482,48
1332,1330,830,23,8676,1658,1307,1580,1080,22,15256,2015,1294,1296,796,24,6439,1145,853,1505,1005,16,4004,1266,884,1036,536,5,2413,1210,1368,1374,169,14,3616,1431,1282,1320,820,24,15908,3122,1312,1745,1245,20,3413,320,826,1879,1379,22,8201,1198,826,1115,615,4,2392,950
1455,1473,123,24,9269,1891,1567,1873,173,30,22071,2342,1819,1628,328,34,10143,1292,1196,1802,302,23,4872,1276,1227,1212,187,7,2873,1210,1831,1731,526,24,6726,1431,1588,1610,410,30,23065,3722,1806,2021,21,27,4989,320,1146,2197,297,31,10885,1203,1146,1333,58,6,3986,1036
2256,1819,469,34,14413,2841,1957,2374,674,35,26158,2826,2342,2213,913,41,14586,1969,1653,2483,983,33,7142,1276,1438,1447,422,7,3309,2144,2357,2024,819,28,9089,2454,1746,1839,239,36,25228,4814,2363,2283,283,35,7335,856,1885,2624,724,46,16079,1340,1146,1468,118,6,4305,2089
2702,2210,60,41,16934,3541,2060,2796,46,35,26704,3878,2895,2503,253,51,18287,2072,2438,2951,1451,50,9955,1526,1887,1673,223,9,4031,2293,2880,2558,-47,33,11986,3272,1911,2295,695,37,25612,4867,3007,2622,187,49,11190,932,2307,2987,1087,55,21104,1636,1352,1753,403,9,5418,2123
3503,2590,440,53,22905,3985,2416,3108,358,43,36094,5194,3266,2778,28,57,21863,3425,2984,3345,1845,63,12769,1853,2410,1928,473,13,5423,2409,3619,3006,401,46,16413,4482,2231,2535,235,41,29489,5344,3593,2990,555,61,16489,932,2665,3361,1461,66,25058,1636,1711,1977,627,11,6479,2368
3906,2954,4,58,25645,5485,2730,3627,877,47,44585,6270,3790,3085,335,65,26280,3425,3345,3753,503,72,16625,1857,2771,2223,293,14,6675,2409,3807,3294,-211,46,17352,5254,2781,3083,783,45,37240,6114,4117,3322,887,71,21037,932,2684,3497,97,67,26598,1641,1752,2121,116,12,6850,2380
