blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0,0,500,0,0,0,0
185,584,84,3,470,143,325,601,101,4,3065,791,215,593,93,3,502,70,131,610,110,5,1657,394,131,603,103,0,659,480,185,584,84,3,741,76,325,601,101,4,3547,674,246,607,107,5,591,162,154,613,113,4,1409,388,154,613,108,1,892,594
738,895,395,14,3149,943,810,964,464,16,11175,1711,924,951,451,14,2444,308,461,893,393,14,3871,1167,431,858,358,1,1897,788,833,920,420,13,3057,479,676,886,386,12,8412,1398,924,959,459,17,4115,607,347,749,249,5,2673,1129,285,807,302,1,1175,877
1477,1207,707,25,6689,1116,1088,2073,1573,16,11819,2411,1354,1726,146,20,4715,390,717,1149,649,22,5687,1218,748,1165,665,1,3335,1117,1200,1162,662,20,4188,606,773,1385,460,12,8825,1960,1015,1108,108,19,4515,1445,869,1085,585,10,4318,1349,732,1117,612,1,1849,1184
2033,1504,1004,32,8683,1705,1500,2504,229,22,15437,2821,1967,2350,620,30,9135,1438,755,1292,92,23,6575,1306,786,1339,189,1,4371,1117,1972,1513,1013,30,7608,1234,1388,1831,901,27,16971,2902,1724,1490,190,32,8822,2777,1304,1389,289,18,5735,1716,881,1271,116,1,2171,1184
2555,1739,1239,38,11468,1937,2062,2867,592,33,22159,3614,2292,2641,161,37,11776,1460,1414,1859,659,37,11375,2371,1015,1853,193,1,5345,1890,2524,1818,1318,41,9708,1527,1977,2557,1627,39,25120,3322,2065,1764,464,38,9958,2907,1687,1882,782,21,8368,2545,943,1601,96,1,2449,2098
3295,2151,1651,52,15280,2185,2384,3142,867,41,28882,4212,2936,3015,535,51,16684,1578,1677,2065,215,42,13121,2392,1184,2048,388,1,6306,2093,3172,2108,1608,50,12354,1704,2349,2818,203,44,31852,3810,2648,2077,777,50,13748,3659,1894,2196,46,30,9657,2621,1156,1775,270,1,2642,2543
3544,2384,284,55,16367,2399,2891,3550,1275,48,33329,4676,3679,3618,1138,62,25072,2450,2017,2491,641,51,16812,2582,1524,2395,735,1,7677,2539,3788,2481,396,62,15475,1714,2737,3121,506,52,37526,5049,3296,2445,295,62,19245,5141,2346,2458,308,38,15639,3073,1669,2009,504,1,3578,3240
4291,2782,677,67,20748,2920,3291,4014,264,52,37798,5015,4048,3930,410,65,27622,2973,2688,3627,302,67,23504,3419,2222,2855,270,1,9641,2852,4250,2751,666,70,19156,2081,3464,3676,1056,61,46989,6060,3699,2764,214,71,22778,6924,2595,2723,223,43,19611,4271,1857,2170,265,2,3723,3464
