blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,480,0,325,601,101,4,2970,850,276,600,100,5,709,46,113,542,42,1,297,175,113,523,23,0,273,180,215,556,56,2,500,9,420,616,116,6,4236,856,185,581,81,3,586,55,0,521,21,0,231,374,61,583,83,0,249,0
676,826,326,9,2756,975,860,969,469,16,9327,1726,676,821,21,11,2687,868,469,867,367,13,2357,392,469,699,199,2,978,348,614,776,276,8,1831,1087,836,987,487,16,13175,1807,1100,1399,899,18,3782,855,431,734,234,5,1804,577,493,831,331,1,1109,0
1416,1211,711,21,5331,1105,1275,1595,1095,24,16490,2445,1539,1297,497,22,4747,1369,846,1211,711,23,4323,456,846,915,415,4,1715,542,1140,1025,175,15,5467,1209,1315,1346,846,28,18555,2584,1223,1562,137,20,5125,1488,808,1064,564,14,3643,799,870,1066,566,1,1650,385
1818,1411,326,25,6555,1776,1484,1807,207,28,21762,3157,2187,1580,780,30,7339,1403,1343,1574,1069,35,6455,978,1343,1177,672,8,3011,1109,1740,1650,800,24,7445,1827,1794,1687,1187,38,25538,3447,1962,1950,525,34,10484,1967,1035,1291,791,18,4444,1358,1158,1321,821,2,2356,474
2291,1732,647,28,10356,2923,1802,2326,726,32,23336,3981,2187,1707,122,30,7865,1869,1512,1802,47,41,8305,982,1512,1312,432,8,3483,1253,2171,1871,71,30,8998,2658,1967,1882,1382,42,32870,4114,2024,2073,648,34,12297,3249,1259,1498,123,23,5391,1376,1444,1456,71,2,2631,504
2922,2145,445,37,12787,3053,2127,2886,236,36,26899,4356,2770,2142,557,39,12036,1973,1868,2120,365,52,9357,1062,1868,1488,608,10,4070,1253,2662,2112,312,37,11159,2662,2327,2173,248,50,35434,4172,2361,2307,407,41,14974,3952,1634,1760,385,31,8044,1376,1818,1591,206,3,2632,561
3601,2419,719,44,16107,3436,2127,3013,288,36,26899,5231,3381,2518,928,50,16581,2430,2206,2577,822,59,12457,1512,2268,1765,880,13,5475,1253,2972,2359,559,41,12695,3955,2605,2396,471,54,39560,4760,2646,2568,18,49,18805,4824,2086,2070,695,39,9893,1612,1930,1848,463,3,3055,992
4248,2782,1082,54,20196,3665,2627,3322,597,44,36315,5928,3664,2816,1226,58,19294,2430,2483,2784,1029,63,13238,1512,2551,1992,1107,15,7986,1253,3432,2622,172,50,15175,4050,3157,2767,842,65,52177,6187,3232,2940,390,61,23689,4950,2794,2454,1079,51,11865,1767,1930,2010,325,4,3056,992
