blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,713,366,494,673,173,7,3791,671,246,574,74,3,658,74,0,521,21,0,654,0,0,523,23,0,249,0,123,542,42,1,1157,197,526,699,199,8,4623,728,215,554,54,2,595,87,150,612,112,5,752,9,150,523,23,0,0,0
707,874,374,12,2117,881,818,886,386,12,8137,1624,803,933,433,15,3894,713,375,853,353,12,4155,475,375,778,278,1,1054,782,924,969,469,16,9768,770,759,906,406,13,9555,1491,665,775,275,8,2879,847,587,998,493,18,4254,299,587,769,269,3,1410,564
1232,1211,711,22,4235,1522,1151,1189,689,20,11574,2062,1308,1221,721,25,7512,832,844,1225,725,24,5999,540,752,953,453,1,1237,824,1477,1251,276,25,13087,1358,1196,1285,785,25,15441,1828,1405,1057,557,14,5194,999,831,1247,742,25,6064,531,831,925,425,4,1860,723
1910,1585,285,34,6459,1630,1697,1579,1079,32,17108,2518,1842,1822,112,30,9225,1590,1226,1578,1078,35,7733,545,1072,1087,587,1,1844,824,1848,1541,266,32,15816,1379,1632,1850,175,29,19252,2142,1659,1452,167,17,7586,1653,1223,1586,81,35,8484,570,1099,1137,32,6,2460,732
2525,1883,583,44,8965,2371,1907,1819,269,36,20456,2892,2528,2210,495,42,14892,1725,1411,1722,122,36,8473,568,1072,1222,197,1,1844,824,2649,1940,665,46,22593,2120,2040,2150,470,36,25503,2571,2283,1836,116,30,12132,2339,1946,2034,529,51,12585,630,1308,1374,264,9,2893,732
3113,2371,71,45,10520,4346,2119,2016,116,36,20849,3988,3081,2470,140,51,18085,1725,1740,2356,156,45,12229,1747,1409,1491,466,1,2537,1795,2649,2062,187,46,25408,3827,2671,2991,1311,48,34628,4160,2712,2083,363,38,15162,2351,2448,3164,1659,59,16639,1053,1824,1733,623,9,3772,1164
3945,2807,507,60,14404,5083,2568,2324,424,44,29248,5027,3667,2785,455,60,22310,1948,2040,2632,82,54,15177,1802,1709,1625,175,1,2930,1806,3020,2254,29,50,28329,4522,3085,3332,477,56,44110,4991,3237,2398,678,47,17010,2614,2788,3523,168,69,20190,1152,2164,1999,89,13,5101,1247
4536,3163,858,67,17426,5369,3022,2743,843,52,35938,5490,4267,3137,807,71,32938,1972,2596,2974,424,63,17147,1898,1784,1760,310,1,4282,1806,3760,2664,439,64,39800,5073,3583,3644,789,68,54944,6187,3885,2730,1010,57,20757,2888,3469,3898,538,83,27582,1191,2253,2134,224,13,5927,1468
