blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,570,17,525,671,171,8,4262,641,215,574,74,3,348,87,131,563,63,2,587,55,131,544,44,1,312,61,185,584,84,3,364,18,475,666,166,8,6163,850,246,602,102,4,426,0,75,563,63,2,838,0,75,543,43,0,151,0
552,811,311,9,2276,916,835,954,454,16,11089,1400,738,855,355,12,1904,125,375,797,297,8,2428,277,375,678,178,1,442,593,924,962,462,16,4135,365,693,878,378,12,8622,1616,924,908,408,13,1609,0,475,895,395,14,3179,217,475,777,277,0,452,262
1416,1227,727,22,5253,1453,987,1633,1133,20,12737,1483,1435,1248,748,26,4354,399,865,1287,787,21,3718,396,865,1005,505,4,1622,659,1477,1260,760,26,8490,910,1028,1187,687,20,14620,2188,1446,1187,687,22,3540,354,664,1120,620,17,3475,273,569,912,112,0,452,795
1848,1489,54,28,8146,1494,1245,1904,1404,28,18363,2146,2113,1643,1143,40,6609,803,1129,1535,1035,26,4645,533,1129,1203,703,5,1831,782,1819,1541,366,31,9539,921,1189,1401,901,23,18407,2444,2094,1535,1035,32,6171,665,1195,1560,1055,34,7486,385,1100,1141,341,0,882,888
2278,1748,313,35,11759,1700,1652,2240,335,37,23666,2741,2575,1925,1425,49,7897,869,1500,1728,103,30,4922,585,1354,1372,97,7,2476,819,2558,1961,786,46,13057,1670,1436,1629,249,28,21171,2888,2676,1789,1289,40,7575,665,1410,1697,317,35,7604,385,1155,1296,496,0,963,888
2987,2143,193,44,17218,3039,2133,2524,619,45,31829,3326,3069,2231,1731,57,9872,1372,1905,2059,434,39,8202,1064,1579,1521,241,8,2479,819,3451,2549,574,55,17827,2680,1712,1832,152,32,25840,3484,2892,1965,1065,42,8047,970,1860,2025,645,44,10790,528,1514,1435,635,0,1075,898
3264,2335,385,48,18190,3039,2582,2771,216,53,37925,4520,3931,2632,2132,71,12525,1575,2132,2342,367,45,9753,1064,1881,1767,187,11,4889,819,3823,3020,145,62,21832,2808,2277,2159,479,42,37920,4508,3324,2265,565,50,10358,970,2484,2442,1057,58,15219,710,1839,1579,774,1,1655,898
4065,2667,717,57,22738,3308,2990,3065,505,62,40486,4541,4303,2905,455,77,14526,1575,2703,2732,757,57,12121,1074,2145,1995,415,14,5831,895,4304,3353,478,74,25786,3575,2481,2365,685,44,39438,4508,3849,2537,402,57,12871,980,2706,2628,243,61,16444,894,1937,1749,289,2,1733,898
