blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
215,552,52,1,679,68,325,601,101,4,3793,886,215,594,94,4,375,0,113,563,63,2,687,193,113,523,23,0,0,8,123,563,63,2,710,175,325,601,101,4,3351,763,185,561,61,2,227,0,37,521,21,0,139,166,37,523,23,0,0,49
924,945,445,14,2840,499,835,954,454,16,12285,2307,986,986,486,18,5407,289,508,913,413,12,2793,224,508,773,273,4,977,13,552,804,304,9,3264,698,676,929,429,12,9656,1332,676,802,302,9,1686,238,431,783,283,8,2753,295,431,699,199,2,448,425
1262,1160,210,18,3858,821,1036,1175,250,20,15483,2516,1477,1241,741,26,10130,1053,801,1216,716,22,5141,228,771,950,450,6,1535,13,1262,1095,40,19,5828,1332,1155,1287,787,24,14123,1992,1354,1076,576,16,4245,1000,913,1211,711,23,5063,313,883,915,415,4,1110,1087
2002,1522,572,28,6636,1579,1493,1593,668,25,20571,3106,1930,1990,40,36,12850,1557,1422,1611,1111,38,8904,305,1149,1215,710,8,2288,93,1849,1405,350,26,9323,2326,1442,1510,310,28,17156,3523,1842,1316,166,24,5870,1082,1264,1548,1048,32,6921,451,1110,1133,108,6,2631,1147
2328,1779,129,34,8214,2256,1716,1805,55,29,22134,4092,2577,2337,387,46,15127,1813,1658,1846,246,44,9445,319,1261,1371,41,9,2499,93,2540,1992,937,35,13200,3172,1945,1962,757,37,24355,4163,2275,1623,473,32,9352,1103,1693,1839,39,42,9858,624,1189,1343,318,6,2731,1147
2957,2158,508,43,12176,2328,2287,2392,642,34,27782,5204,3010,2976,1026,54,17883,1832,2139,2295,695,54,11784,884,1720,1713,383,12,3466,1008,3002,2306,301,44,15764,3237,2107,2150,195,41,32245,4930,2919,1949,49,45,12849,1222,1860,1961,161,42,10602,1787,1264,1477,52,6,3185,2190
3605,2462,812,52,15282,3166,2704,2743,993,44,40662,6527,3597,3291,1341,63,20992,2508,2366,2679,79,61,15419,884,1946,2004,-206,13,4089,1008,3803,2626,621,53,21145,4433,2607,2438,483,49,37299,5563,3543,2269,369,57,17122,1560,2446,2341,541,54,13469,1787,1301,1611,186,6,3185,2190
4403,2955,1305,62,19722,4186,3475,3514,1764,54,47982,7237,4183,3630,445,73,25659,2732,2980,3011,411,73,22049,1955,2142,2138,-72,13,4089,1008,4080,2808,803,56,24232,5945,2938,2711,751,56,44346,6507,4129,2608,358,67,21745,1946,2914,2746,946,67,18940,2706,1665,1860,435,9,5550,2409
