blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
5,553,53,0,163,0,5,553,53,0,191,0,5,583,83,0,41,0,5,500,0,0,0,0,5,950,100,0,168,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,564
97,595,95,1,379,0,450,698,198,6,5593,789,221,677,177,4,975,179,24,535,35,1,1129,247,24,973,48,0,329,31,185,584,84,3,365,25,0,521,21,0,0,0,276,620,120,6,1107,234,150,598,98,4,762,153,150,591,91,0,255,760
776,890,390,8,2506,496,753,1015,515,12,8621,1417,929,991,491,13,3605,245,507,974,474,12,4214,678,507,1438,513,3,1835,451,523,794,294,8,1297,1015,785,889,389,12,25000,0,924,986,486,18,4290,234,337,804,304,9,2191,519,337,789,139,0,961,1601
1144,1110,260,14,4470,1183,1024,1348,68,18,11079,2278,1270,1331,181,17,6260,1272,728,1223,73,19,5283,678,832,1992,1067,5,2826,1243,1132,1299,349,12,3437,1601,1342,1757,1257,20,61503,546,1475,1489,39,22,8462,1456,893,1232,732,24,5262,780,770,964,314,0,1600,1611
1761,1428,578,23,6213,1609,1303,1661,381,26,14522,2663,1794,1614,464,24,9158,1317,1363,1816,666,30,7932,771,1065,2236,261,5,3218,1477,2053,1724,773,27,8783,1601,1646,2005,-195,24,72365,850,1835,1772,322,29,9730,1466,1074,1445,245,27,6132,905,973,1169,514,1,1891,2396
2222,1675,825,29,7991,2265,1677,1967,687,34,23152,3351,2442,1960,810,35,13497,1317,1860,2214,1064,43,10958,1100,1324,2487,507,9,4707,1495,2517,2006,1056,32,12159,1853,2046,2314,114,32,92365,850,2544,2184,734,44,14740,1630,1622,1757,107,38,7975,1391,1028,1312,307,1,1892,2396
2931,2052,1202,41,11654,2380,1701,2124,439,35,23440,4280,2718,2181,231,41,15297,2570,2045,2399,174,46,12268,1142,1347,2626,646,9,5031,2084,2977,2411,1461,38,15444,2246,2114,2532,332,32,92721,1349,2976,2758,1308,52,18760,2002,1897,2266,616,42,9750,1610,1497,1694,689,4,2747,2396
3503,2412,1562,52,17541,3225,1995,2347,512,39,27145,4964,3147,2382,357,47,18259,2570,2045,2522,297,46,13289,2247,1347,2761,81,9,5369,2884,3749,2751,1800,46,20460,3423,2547,2924,724,42,126039,2420,3432,3377,142,58,20819,2006,2264,3100,1450,52,14575,1924,1841,2059,1049,5,4216,3095
3875,2676,351,57,19783,3225,2476,2672,837,47,36538,5722,3733,2693,233,56,21832,2832,2382,2826,601,57,17553,3368,1684,2937,182,11,6436,3866,4178,3020,70,54,23820,3605,2741,3126,926,46,131039,2420,4233,3736,501,73,26814,2017,2747,4055,1005,62,19522,2112,2325,2558,648,5,4617,3303
4257,2938,613,65,25109,4829,3429,3280,1445,55,42314,6484,4286,2993,533,67,25010,2844,2757,3320,345,69,23976,3428,2134,3148,393,15,8473,3912,4918,3612,661,64,31908,6807,3335,3495,1295,58,162081,2420,5094,4217,117,91,34067,2080,3131,4426,476,71,22898,2112,2622,3191,181,5,5387,3303
4935,3360,1035,79,32191,5361,3937,3541,206,64,47098,7120,4886,3611,1151,75,28985,2884,3176,3941,91,74,27529,4663,2694,4190,235,17,10178,5422,5380,3954,604,73,38706,8363,4042,4270,2070,66,194802,2507,5843,4964,859,108,43632,2152,3415,4653,98,76,27593,3687,2622,3389,29,5,5699,4618
5151,3559,9,83,33726,6744,4540,3831,496,72,57768,8144,5467,3961,451,86,34391,2941,3630,4300,450,84,29971,4701,2857,4493,458,22,11469,5601,6266,4831,1481,84,47654,8899,4156,4793,-182,66,195119,2724,6237,5802,212,115,47538,2382,3532,4924,364,81,28847,3794,2800,3616,256,5,5786,4803
5642,4193,643,92,41825,7465,4775,4383,348,73,60043,9642,5692,4318,808,89,37075,4594,3923,5104,1254,89,35616,6180,3247,5184,1148,22,13976,7167,6451,5504,53,87,50712,11295,4785,5610,630,71,200486,4217,7037,6432,842,126,55498,3066,3730,5321,161,81,30835,5283,3358,4269,909,5,7493,6169
6014,5326,251,99,53652,9350,4798,4555,170,73,61302,9902,6030,4602,627,96,39576,4602,4415,5444,369,99,41367,6271,3270,5404,194,23,13979,7306,7277,6060,610,99,58358,14926,5015,5856,876,76,209993,5095,7606,7020,1430,139,64888,3585,4473,5649,489,90,34241,5283,3589,4695,1330,6,9321,6605
6535,5730,655,110,60033,9685,5410,5974,1589,80,69774,12205,6358,5101,1126,102,43545,4818,5095,5976,26,104,46104,7665,3983,5942,732,25,17233,7964,7925,6450,199,110,66561,15312,5574,6450,1470,85,230709,5712,7820,7274,1744,143,68945,5754,4937,5952,792,97,40716,5283,3750,4980,65,6,9927,8006
7173,6084,259,120,71245,11903,6127,6445,2060,90,84017,14587,6759,5416,351,109,48895,4960,5868,7115,1165,117,59875,8619,4235,6268,708,25,17761,8585,8978,7337,1086,118,75187,18209,5925,6702,122,89,236027,7587,8106,7596,401,148,75186,7015,5773,6839,379,116,49810,5283,4054,5226,306,7,11479,8006
7575,6380,555,126,76083,11910,6773,6831,2446,96,88860,14842,6821,5538,73,109,48895,4960,6539,7569,344,126,66930,8971,4692,6722,412,26,18316,8784,9254,7543,273,123,79375,18209,6016,6895,-95,91,236372,7587,8754,7998,803,160,83411,7572,6420,7253,788,133,64705,5314,4526,5550,630,9,12870,8208
7913,6608,183,132,82486,13554,7251,7582,447,97,91931,16823,7878,5913,448,124,59441,5313,7116,8073,848,138,76610,10593,5392,7242,927,27,19875,10245,10180,8739,1468,142,96990,21408,6905,7444,454,103,251348,7587,8754,8175,280,160,84427,9339,6983,7813,1348,147,80374,6666,4905,5907,987,9,18465,9676
8834,7190,825,146,92163,13878,7459,8166,1031,100,94725,19087,8525,6395,930,135,70491,6401,7324,8287,462,140,78369,10927,5835,7412,122,28,24754,10372,10611,9533,363,146,99973,21886,7384,7842,-48,107,266533,9445,9632,8798,903,173,94033,10176,7278,8285,405,147,82077,8095,5043,6105,195,9,18466,9676
9063,7383,193,150,94417,15719,7563,8609,524,100,97030,21590,8609,6592,252,135,73431,8188,7852,8616,791,147,87472,12821,6017,7583,293,29,25152,11035,11846,10117,946,162,113782,22411,8190,8454,564,115,277508,12189,10075,9045,1150,174,98340,12179,8259,9235,1355,158,103314,8972,5628,6489,574,10,22499,11039
9114,7506,316,150,96042,16232,7749,8849,314,103,99616,21590,8659,6757,417,137,75295,9062,8656,9142,492,162,99791,12924,6078,7723,83,29,25586,12786,13339,10764,1594,172,128012,25788,9316,9046,1156,119,283585,13017,11457,9966,2071,181,106513,12607,9303,10188,2309,159,107871,9634,6607,6945,1030,10,23317,11505
9583,7813,273,151,97319,17950,9018,9407,872,111,115185,25023,9784,8003,413,143,81865,9955,9467,10114,864,171,111367,15136,7084,8443,803,29,26577,13629,13911,11148,278,175,130470,29700,9882,9384,44,127,318999,13017,11806,10584,1434,187,113187,14985,9530,10391,536,161,110995,9885,6996,7157,492,10,24260,12973
10252,8208,668,162,111090,18087,9416,9769,309,111,117022,27996,10185,8181,591,143,84352,12666,9837,10627,577,171,115961,17274,7665,9514,1119,30,28029,13984,14305,11497,627,181,140082,31210,10925,9958,613,128,321103,16411,12216,10881,641,187,113187,14985,10725,11859,1999,172,130984,12585,7204,7480,465,10,25191,14003
10405,9068,228,165,115025,20190,9693,10378,43,112,119834,29527,10446,8606,366,147,92426,14282,10080,10985,935,172,118266,19199,8248,9896,1501,31,29189,15709,16343,12978,2108,195,159547,37058,11865,10730,635,128,321736,16411,13646,11607,267,203,127648,16990,10725,12031,321,172,130984,12585,7204,7670,256,10,25325,14639
10405,9090,251,165,115025,21985,9693,10401,66,112,119834,29527,10446,8628,389,147,92426,14282,10080,11007,958,172,118266,19199,8248,9922,1527,31,29189,15709,16343,13051,2181,195,159659,37058,11865,10752,658,128,321736,16411,13646,11629,290,203,129443,17990,10725,12054,344,172,130984,12585,7204,7696,281,10,25325,14639
