blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,73,0,0,500,0,0,0,0,0,500,0,0,63,82,0,500,0,0,48,195,0,500,0,0,0,0,0,500,0,0,120,121,0,500,0,0,97,63,0,500,0,0,0,0,0,520,20,0,59,0
215,598,98,4,1033,222,355,622,122,5,4890,759,215,594,94,4,400,38,113,589,89,3,1002,214,113,523,23,0,263,195,123,563,63,2,576,148,300,586,86,4,5003,930,246,607,107,5,798,130,113,563,63,2,381,0,113,563,63,0,304,0
893,990,490,17,3719,880,685,886,386,12,7992,1002,893,960,460,16,2895,640,406,900,400,14,3608,936,406,699,199,2,2040,891,615,832,332,10,2736,444,676,886,386,12,8950,1562,738,901,401,15,2943,399,337,804,304,9,2422,781,399,831,331,1,1650,775
1386,1211,711,22,6841,2164,685,1014,514,12,8902,1902,1489,1634,1134,26,6392,1557,911,1286,786,27,6340,1000,726,915,415,4,2867,940,1324,1176,676,21,6328,1599,676,1009,509,12,9076,1984,1170,1149,649,20,4951,1053,669,1155,655,20,4004,888,700,1031,181,1,2002,1246
1695,1466,216,27,7638,2577,1124,1418,918,24,14858,2458,1860,1923,273,34,9091,1925,1374,1569,69,34,8393,1009,726,1049,549,4,3534,1007,2125,1550,50,33,9610,1625,963,1302,802,20,15591,2457,1671,1431,281,28,6805,1319,864,1297,97,21,4208,888,1202,1305,330,6,3131,1256
2438,1865,615,41,10654,2804,1467,1887,662,30,18320,2770,2420,2563,913,44,14978,2067,1675,1860,360,43,11214,1297,1027,1226,726,6,3933,1083,2372,1757,207,37,10130,1804,1273,1543,43,24,19561,3411,2319,1817,17,41,11084,1378,1353,1689,489,34,6637,888,1691,1500,525,6,3746,1281
3051,2113,863,48,15019,4283,2170,2482,1257,40,27357,3728,2972,2836,1186,54,18732,2355,2270,2888,1388,60,17777,1893,1509,1605,1105,9,6037,2234,3049,2033,483,47,16619,2395,1730,1925,425,28,22687,4594,2872,2084,284,50,14497,1586,1617,2202,102,39,10460,1907,1859,1694,69,6,4299,2277
3514,2340,240,54,18526,5241,2421,2985,275,43,29541,3985,3095,3396,86,56,20594,3059,2680,3347,322,62,19824,2814,1663,1753,153,10,6157,2257,3759,2385,835,57,18914,3175,1856,2517,217,28,26833,5520,3305,2353,553,56,17326,1586,2170,2436,336,46,13504,1907,1968,1868,168,6,4388,3381
4255,2803,703,65,26339,6027,2875,3425,715,51,35750,4470,3402,3884,224,60,22634,4597,3110,3617,592,71,22841,4163,1971,2057,82,11,7070,3311,4250,2655,205,66,22483,3466,2473,3997,1697,34,31151,7047,3689,2836,166,60,20103,2886,2713,2916,816,59,20282,2377,2270,2159,459,6,5551,3612
4531,3002,302,69,29284,7592,3354,3596,886,56,42334,6071,3870,4167,502,69,26469,4986,3386,3844,219,77,26794,4529,2099,2226,251,13,7980,3760,5381,3576,1126,82,31873,4347,2738,4210,135,38,33437,7366,4459,3421,751,75,27198,2901,2882,3113,63,63,22635,2937,2699,2500,795,11,7503,3940
5428,3774,1074,78,35653,7989,3967,4007,1297,68,57762,7094,4784,4671,1006,80,31658,5578,3769,4426,176,90,32869,4983,2537,2482,107,16,10009,3778,5752,4054,4,89,37576,6337,3317,4528,453,46,41470,8571,5107,3743,243,84,34870,3556,3433,3500,450,75,27341,3136,2881,2640,185,11,7621,3957
5858,4232,1532,87,42898,9007,4523,4954,2239,71,62647,8723,5483,5846,2181,90,37461,6549,4037,5308,408,95,36326,6307,2901,2698,248,16,10995,5322,6277,4359,309,96,41671,6445,3453,4814,289,46,42663,11063,5878,4335,835,98,43336,3584,3719,4266,1216,79,30340,4562,3263,3100,295,14,11171,5347
6629,4699,1999,101,49445,10345,4955,5604,374,79,71490,9380,5736,6411,196,96,40004,6562,4206,5579,679,101,39451,7714,3376,3013,563,24,12645,6980,6830,4845,795,107,48496,7644,4306,5282,757,54,52819,12733,6241,4915,1410,104,47018,3590,4708,4942,662,97,37442,4703,3573,3441,336,15,12762,5347
7276,5113,2413,114,56692,12391,5551,5990,760,91,87030,10400,6421,6724,504,106,46056,7464,4706,5840,365,110,45347,7722,3414,3173,323,25,13145,6980,7478,5217,1167,118,57951,9056,4782,5607,1082,62,57865,13078,6888,5236,631,113,51621,3612,5248,5335,129,109,46069,5172,3742,3641,186,15,13795,5347
7592,5419,319,115,60654,12487,6066,6396,266,99,97822,10955,6776,6986,471,113,48731,7478,5105,6286,806,124,53135,7940,3884,3418,568,27,14837,7065,7787,5486,336,123,59986,9056,5270,5865,415,69,65563,13683,7536,5652,597,126,59572,3620,5491,5681,471,117,51417,5318,3984,3802,347,15,14550,5556
9033,6096,996,125,72342,14286,6851,7023,888,103,106435,12487,7021,7189,674,113,49480,9617,5676,7427,47,131,60788,9660,4284,3663,288,27,15304,8670,8435,6164,1014,134,68300,13130,5724,6674,424,69,68001,16530,8298,6437,127,133,65865,5165,5911,6258,298,123,53791,6824,4392,4124,169,15,15707,6776
9840,6966,291,142,88705,14722,7664,7522,1387,118,131070,13424,7456,7604,1089,116,53031,11023,6198,8281,901,142,71478,10609,4701,4229,849,30,17240,10353,8898,6481,331,142,74438,13164,6357,7046,791,78,77673,18261,9132,6953,643,148,78150,5165,6751,6785,820,132,60874,7049,4720,4348,393,20,18642,8453
11116,7886,1211,150,96733,16314,9211,8499,2364,132,148625,16447,8201,7940,175,120,55998,11891,7337,9570,2180,152,79172,10628,4928,4400,570,30,17240,10353,9331,6798,448,149,79790,13195,6432,7169,114,78,79163,21122,9361,7160,850,153,82512,7358,6794,6933,93,134,67537,10774,4929,4582,218,24,19829,10046
12234,8577,1902,174,119227,18020,9583,9092,782,136,153776,17621,8725,8314,549,128,62987,13398,7767,10156,791,158,88351,12744,5425,4940,135,33,20185,11837,10017,7228,873,161,88496,15714,6758,8311,456,78,81437,24350,9767,7552,1242,160,91521,8315,6965,7159,319,136,67937,10774,5383,4817,452,25,20566,10253
12384,8758,58,177,130195,20557,10348,9799,739,143,167220,18610,9652,8811,271,138,71929,14031,7862,10396,1031,161,92144,14152,5688,5123,393,35,21387,13940,10293,7455,1100,167,93349,20435,7083,8522,267,78,82359,26922,10147,8172,1862,168,100664,8592,7773,7550,710,151,80037,10911,6012,5104,729,27,24367,10424
13095,9832,1132,188,141533,22463,10960,10116,1056,147,173673,20538,9861,9278,333,139,75614,16744,8097,10573,1208,161,93059,14855,5768,5334,204,36,22556,15995,10991,8110,1755,168,97043,23173,8261,9138,883,84,88000,28154,10559,8967,622,173,107862,10094,7897,7877,437,152,85611,12794,6592,5757,1382,29,27508,11126
13095,9955,155,188,141533,24852,11872,10583,1518,166,200603,21156,9939,9439,489,142,76118,16763,8613,11050,440,177,111457,15044,6087,5474,344,36,23153,16103,11347,9083,128,168,99697,23173,9023,9595,1340,88,99588,29462,10931,9290,945,177,111494,10184,8456,8391,951,161,93424,12794,6677,5997,273,29,28818,11126
13641,10300,500,197,151267,25794,12531,11047,1977,177,212704,21292,10291,9747,797,149,80384,16889,8782,11277,667,183,117124,15131,6388,5616,486,37,23305,16103,11764,9405,450,175,105310,23189,9459,9835,1580,94,105140,29540,11307,9576,1226,185,118451,10222,8820,8639,299,168,98491,12871,6886,6328,593,34,31182,11436
14672,11471,1672,209,165291,28608,13097,11631,237,179,217993,23209,10915,10207,1258,162,90102,19063,9169,11756,1142,197,130702,15538,6713,5811,256,37,23461,16125,11980,9569,614,177,108657,29319,9502,9983,1728,94,106435,29540,11867,9955,356,196,129428,10575,9312,9062,722,181,106604,12976,7229,6498,8,35,32121,11745
15334,11894,94,209,166852,28690,13977,12074,604,179,225742,26633,11771,10672,237,165,96260,19271,10443,12416,1801,208,147789,15903,7513,6251,147,37,24153,19778,12333,10065,1111,177,111387,34569,10058,11224,2970,94,108109,31563,12547,10826,1227,209,146579,11422,9630,9399,154,182,108772,14846,7946,6917,422,40,33883,11745
