blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
123,563,63,2,738,105,525,671,221,8,4435,730,123,541,41,1,518,293,154,613,108,5,1316,433,154,653,153,0,1236,660,185,584,84,3,586,0,0,521,21,0,1734,557,276,600,100,5,1221,127,113,584,84,3,1094,585,113,643,143,0,1001,795
523,769,269,6,1323,743,1211,1132,-103,24,15646,1711,924,828,328,8,2738,403,343,936,31,10,2672,1061,343,1127,102,0,2069,1164,924,997,497,18,3324,288,416,828,328,5,5126,1303,738,861,361,13,2072,298,732,1001,501,11,3454,1106,281,1329,54,2,1727,1053
1416,1139,639,18,3187,752,1481,1407,122,33,18686,1711,924,951,101,8,3165,1171,889,1220,315,20,4786,1061,922,1687,662,3,3585,1407,986,1141,216,19,3872,288,849,1119,319,12,10794,1957,1220,1453,173,19,3958,1279,1009,1194,94,15,4563,1124,434,1757,82,2,2023,1784
2123,1851,1351,26,6266,1894,1978,2101,816,39,22961,2120,1481,1274,424,17,5496,1481,935,1403,498,24,5972,1164,945,1892,862,5,4402,1799,1416,1424,149,28,6714,1384,849,1241,41,12,11940,2795,1898,1796,516,29,5341,1648,1678,1491,391,23,6231,1369,678,2002,322,4,2426,2271
2526,2152,402,33,9518,2698,2155,2640,400,42,24023,2182,1926,1515,665,25,7819,2225,1574,1803,898,36,8885,1693,1350,2207,52,5,5024,2514,1938,1743,468,39,9686,1744,1249,1623,423,16,14589,4129,2236,2012,732,34,7068,1676,1951,2181,231,29,8486,2426,1188,2270,590,7,5101,2417
3109,2435,685,43,12921,3311,2703,2991,751,54,35780,3311,2141,1683,133,28,8819,2380,2043,2131,51,45,11823,1727,1425,2341,136,5,6374,2699,2545,2054,779,50,13601,2248,1586,1927,127,24,24741,5149,2637,2193,113,38,8367,1705,2157,2304,354,29,8802,2718,1497,2510,405,12,5827,2417
3634,2865,1115,51,16897,3401,3326,3365,1125,66,44768,4146,2789,2011,461,38,11380,2420,2167,2296,66,47,13507,3454,1463,2570,360,6,7119,3157,3040,2357,392,57,15070,2396,1897,2129,329,28,28274,6661,3350,2562,482,50,10349,1933,2783,3154,1204,40,13238,3750,2184,3224,1119,19,9646,3182
4434,3319,69,67,24485,4461,3805,3923,143,70,54057,4765,3283,2492,942,46,15331,3083,2393,2946,411,51,14491,3863,2122,2935,720,13,7998,3169,3717,2783,818,72,19931,2952,2320,2449,649,34,32592,7137,3914,3238,288,59,13979,2201,2971,3356,231,41,14028,4039,2298,3604,224,19,10276,3182
