blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
5,545,45,0,91,0,5,920,420,0,203,0,5,525,25,0,70,0,5,525,25,0,139,0,5,525,25,0,142,95,0,500,0,0,1,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,53,0,0,520,20,0,41,648
190,634,134,3,348,0,330,1021,121,4,2545,517,190,566,66,1,612,255,43,546,46,0,544,679,43,548,48,0,625,764,185,521,21,0,345,0,405,606,106,6,6404,823,246,574,74,3,819,315,37,521,21,0,795,618,37,623,123,0,732,980
589,871,371,9,1541,157,640,1304,404,12,10354,1574,644,1113,263,6,2154,989,286,1315,65,2,1908,878,71,881,81,0,792,1082,893,952,452,15,2302,217,954,1004,504,17,11419,1467,606,1049,199,6,1965,1019,258,1077,102,0,1202,1717,350,851,276,4,1854,1060
1306,1229,729,20,3438,506,1117,1657,757,24,14805,2061,1349,1440,590,19,5161,1029,647,1801,251,5,2745,1719,389,1123,173,3,2161,1431,1324,1217,717,21,3607,597,1275,1495,995,27,15952,1874,777,1719,869,9,3083,1067,593,1140,215,10,3487,2048,639,1507,532,0,2524,2526
1861,1536,1036,28,5143,1514,1521,1941,1041,31,22442,2683,1883,1683,833,24,7639,1459,1262,2231,681,21,4904,1719,826,1365,405,6,2375,1577,1808,1790,590,23,6492,1339,1737,1864,189,39,22489,2598,1424,1995,1145,16,5388,1806,639,1661,211,0,2591,2526,716,1284,359,11,3883,2048
2261,1771,221,34,6473,1522,1593,2098,1198,33,24269,3153,2561,2082,1232,38,11304,1532,1474,2459,34,27,6956,2729,1038,1555,595,9,4202,2617,2949,2503,1303,43,13792,1376,2404,2306,631,53,34386,3223,1533,2468,448,16,6880,2778,1066,2055,605,1,3702,3437,1300,1992,1067,19,8180,2784
3001,2169,619,47,11286,1548,1955,2466,391,37,28895,3970,2844,2859,84,41,14682,3506,1760,2735,310,37,9022,2759,1262,1725,290,11,4754,2678,3134,2694,154,46,15417,1376,2618,2671,241,59,36753,3411,1887,2985,100,17,8920,3829,1416,2394,209,3,4270,3499,1644,2578,103,22,9728,2788
3339,2382,832,52,13096,2455,2362,2734,659,45,35346,4942,3425,3161,386,49,18805,3704,2077,3080,645,45,13035,2788,1602,1928,493,12,6062,3117,3934,3116,576,57,20226,2090,3018,2985,555,67,44493,4471,2596,3279,394,28,13285,3910,1953,2553,368,3,4871,3661,2119,2994,519,36,15427,2962
4109,2652,1102,61,15625,3119,2582,2954,879,49,40290,5411,4028,3838,48,54,22544,4900,2490,3420,985,57,17009,3004,2015,2119,684,15,6847,3379,4700,3992,1452,69,33175,2335,3233,3267,827,69,47677,5062,2873,3548,13,32,15199,5204,2231,2751,566,3,5268,3936,2398,3263,788,44,18891,3122
4419,2888,338,65,16270,3131,3019,3247,1172,57,45805,6126,4457,4105,315,63,26539,4991,2921,3654,1219,63,19009,3872,2323,2253,818,15,7366,4219,5038,4257,267,76,36442,2335,4179,3960,1520,84,66350,6345,3425,3854,319,44,19540,5652,2664,3119,934,3,6874,4484,2830,3678,1203,53,24902,3809
5158,3219,669,73,19031,4050,3524,3369,1294,57,49185,7466,5013,4718,928,66,32015,5602,3219,4126,116,66,19850,4304,2587,2401,191,16,7667,4544,5686,4954,964,89,47803,3145,4363,4178,288,88,71657,7643,3572,4551,111,44,19944,6881,3053,3570,1385,3,7978,5143,3219,4210,235,58,29236,5722
