blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
123,563,63,2,548,111,325,601,151,4,3779,923,185,581,81,3,635,372,173,627,122,6,1232,54,173,533,33,0,567,204,215,584,84,3,718,84,325,601,101,4,3795,790,276,594,94,4,1170,360,191,631,131,6,1096,96,191,598,93,1,674,162
738,916,416,15,3433,584,919,954,504,16,11070,1807,852,874,374,14,3524,705,473,910,405,15,3357,517,473,709,209,2,1876,1056,798,930,430,16,3456,498,714,980,480,11,8965,1628,738,822,322,10,2402,944,537,1018,518,15,3861,564,537,1252,747,1,1888,515
1324,1225,725,23,5561,944,1198,1248,798,24,15289,2212,1190,1043,93,17,5079,947,1081,1345,840,31,5374,549,679,900,250,5,3006,1056,1200,1211,136,23,4998,873,1098,1298,798,19,14975,2596,1262,1083,233,16,3512,1445,756,1275,75,23,5659,592,756,1387,57,1,2471,568
2082,1613,1113,36,8348,1438,1548,1526,1076,32,18126,2565,1866,1669,719,30,8699,1370,1261,1502,147,33,5959,568,987,1204,554,6,3589,1056,1604,1480,405,28,9679,1273,1304,1521,246,24,18566,3053,1723,1297,147,22,5108,2256,1208,1668,468,35,8117,694,1208,1521,191,1,3022,568
2452,1799,249,39,10048,1914,1726,1752,252,36,25274,3174,2328,1898,948,36,10749,1390,1524,1758,403,40,8044,810,1281,1339,689,6,3589,1312,2488,1869,794,44,15023,1642,1744,1852,567,34,23934,3610,2370,1565,415,31,6490,2721,1659,2125,925,51,11044,881,1659,1696,366,1,3222,568
3199,2225,670,53,12812,2107,2066,2226,726,41,28888,4424,3049,2353,93,46,15724,1802,1867,2078,718,49,10677,1421,1624,1570,920,8,4720,2187,2673,2054,579,47,16046,1727,1744,1974,689,34,27315,4589,2586,1720,120,33,7715,3831,1847,2460,1260,58,14272,1419,1847,2038,708,1,4244,669
3693,2556,1001,62,16521,3640,2260,2449,199,45,32127,4916,3635,2689,429,56,17792,2475,1999,2277,217,53,11617,2170,1755,1725,375,9,5224,2714,3473,2462,987,61,22620,3057,2370,2617,1332,46,35118,5417,3093,1932,327,37,8763,4682,2348,3709,84,68,17614,1921,2256,2417,192,1,5125,679
4257,3287,1732,70,21019,4076,2993,2985,730,56,38846,5707,4222,2923,663,63,21294,2475,2280,2557,497,62,14138,2756,2037,1902,552,11,5591,3187,3780,2704,354,68,25779,3757,2865,2925,465,54,41882,6192,3832,2297,342,49,13169,4899,2800,4171,546,84,25728,2291,2707,2591,366,1,5778,858
