blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,838,77,430,621,121,6,3538,578,276,620,120,6,2904,120,113,563,63,2,728,0,113,523,23,0,390,65,123,563,63,2,154,363,325,601,101,4,4145,876,123,541,41,1,216,47,131,598,98,4,587,0,131,523,23,0,262,0
924,937,437,17,3251,377,836,982,482,16,11063,1317,768,808,308,10,4346,745,222,901,401,3,1659,914,479,1617,1117,1,1793,866,615,839,339,10,1661,692,875,960,460,15,12192,1729,876,913,413,14,2934,881,393,949,299,9,1310,772,205,1072,42,1,1164,877
1109,1060,560,17,3872,1180,879,1105,255,16,13527,2632,1286,1121,171,19,6233,825,465,1149,349,10,2917,1845,784,1794,1294,3,3324,1450,1477,1246,746,25,4741,1267,1403,1315,815,27,18537,2680,1461,1455,55,20,5358,1512,877,1507,857,19,3957,1241,537,1449,419,1,2425,1256
1607,1252,252,21,5687,1789,1432,1483,633,28,17543,3208,1874,1796,846,23,8901,1731,858,1533,383,15,4761,2049,982,1949,199,4,3846,1840,2383,1941,241,38,9289,1768,1506,1807,132,27,19335,3381,1956,1738,288,27,7264,1596,1118,1852,1197,25,6067,2039,797,1758,723,2,3379,1538
1760,1417,117,24,6458,3117,1587,1671,386,32,23116,4218,1968,1966,366,26,9510,1739,1482,1854,704,24,8526,2487,1020,2084,334,4,4292,2737,3299,2733,808,48,16006,2272,1726,2294,619,29,23182,3926,2690,2064,614,37,11470,1596,1517,2243,113,32,6971,2039,1227,2233,38,2,3957,1793
2595,1854,549,42,10113,3381,1960,1996,711,40,31571,4749,2720,2383,783,41,14309,1888,1520,2012,256,25,8694,2683,1157,2218,468,4,4604,3378,3760,3156,131,55,19281,2353,2112,2630,955,37,31021,4679,3028,2285,160,43,12807,2159,1892,2590,460,45,9946,3164,1632,2427,232,2,5265,1820
2875,2108,803,46,13613,3753,2559,2274,989,49,37183,6190,3303,3037,562,49,17828,3228,2107,2529,774,40,13791,3188,1755,2579,829,8,6748,3514,4500,3586,561,70,23303,2804,2394,2889,1214,38,35938,6115,3268,2880,755,49,16571,3081,2045,2758,228,48,12908,3416,1897,2677,482,2,6081,2056
3212,2329,224,52,15906,5275,3077,2933,1648,57,45286,7301,3703,3287,812,56,22619,3591,2227,2758,353,43,14324,3481,2070,3096,1341,10,8225,4248,5479,4385,1360,83,31314,3683,2688,3111,236,42,40922,6807,4107,3501,1371,66,23245,3184,2345,3049,519,57,16060,4220,2197,2879,684,2,7582,2384
