blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,714,0,37,583,83,0,177,13,325,601,151,4,1953,563,222,587,87,4,384,0,185,547,47,1,83,48,185,584,84,3,189,0,325,601,151,4,3516,740,185,561,61,2,293,177,113,563,63,2,623,9,113,523,23,0,0,0
522,797,297,9,3095,977,88,1147,122,0,644,804,910,1004,554,18,12903,1711,744,841,341,12,2563,151,421,782,282,1,874,1158,666,1259,259,11,2510,1069,835,959,509,16,10804,1610,893,867,367,11,3846,602,276,884,34,7,1484,853,708,1108,608,6,2277,413
924,1255,55,11,4225,1970,383,1402,377,0,1373,1194,1557,1440,990,33,19717,2303,1423,1195,695,23,6465,1091,1024,1140,640,12,2309,1755,1268,1883,883,20,4501,1482,991,1333,178,18,12444,2331,1386,1103,603,17,5662,1101,520,1139,289,15,2618,910,1137,1327,827,10,3825,1111
1111,1481,281,15,4652,1998,670,1685,60,1,2358,1478,1640,1722,-78,34,22248,2833,1947,1517,267,33,10234,1468,1246,1667,67,18,3302,2148,1638,2074,199,24,5446,1583,1133,1556,396,23,13656,2331,2322,1795,1295,27,8347,1514,845,1315,165,18,4053,1763,1156,1461,86,10,3934,1409
1387,1688,488,20,7994,3036,670,1879,254,1,2539,2368,2409,2240,440,52,37423,3883,2481,2194,944,38,13726,2950,1276,1790,190,18,3864,3122,2591,3532,1657,27,10627,4397,1747,2239,29,25,17165,3587,2724,2082,282,34,10567,1517,1325,1947,792,34,7840,1822,1613,1915,535,15,6563,1547
2126,2107,907,35,12064,3139,778,2154,129,1,3389,3299,2635,2754,54,57,39994,4438,2757,2402,352,43,16504,3535,1771,2078,478,23,5028,4068,3053,3801,251,35,12355,4717,2069,2542,332,33,26694,4404,3277,2356,556,43,17069,2466,1450,2365,60,35,10034,2900,2009,2221,841,17,8208,2063
2712,2473,398,46,15492,3540,928,2411,386,2,4917,4325,3053,3066,366,65,46664,5291,3405,2744,694,53,20122,3727,2013,2277,27,27,6519,5170,3792,4371,821,48,17524,5085,2599,3566,156,41,31750,5429,3924,2724,924,55,28015,2710,1994,2903,298,48,14222,3178,2609,2631,226,21,10735,3131
3421,2885,810,60,21115,3686,928,2557,97,2,4917,4325,3668,3612,912,74,63290,6258,3869,3030,280,60,24514,4506,2412,2505,255,33,8324,5528,4254,4619,1069,55,20244,5465,3051,3941,526,50,38940,5817,4789,3266,116,62,31660,3498,2296,3251,346,58,15891,3178,2911,2859,454,23,12512,3131
4213,4123,2048,71,27102,5098,1472,3072,612,2,5257,5434,4562,4269,494,88,74793,6971,4555,3887,737,69,30576,6041,2594,2720,120,35,8857,6569,4962,5017,1467,68,25643,7345,3689,4580,1160,59,50556,6686,5455,3765,615,73,36697,4939,2933,4036,256,65,20726,4554,3290,3241,36,23,13365,4820
4622,4447,72,79,32041,5480,1584,3312,847,3,5700,5776,5391,5052,1277,100,83823,7951,4831,4109,59,75,33606,6041,3217,3065,465,44,12121,7285,5454,5475,425,77,31151,7350,3941,4748,1328,62,58940,7519,5732,3964,64,77,41096,5409,3499,4299,514,73,26258,4770,3418,3411,206,23,13808,5260
4977,4667,292,85,35626,7225,1584,3533,218,3,6611,6746,5574,5295,285,104,92385,9050,5294,4446,396,85,38089,7037,3255,3222,217,45,12625,8302,6571,6395,1345,88,41053,9031,4290,5036,1616,70,64673,8998,6380,4352,452,87,46629,6492,4421,5197,1412,90,34163,4847,3478,3801,596,23,15010,6687
