blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,500,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,542,42,1,237,0,526,699,199,8,4123,690,246,574,74,3,725,249,37,542,42,1,1186,13,37,563,63,0,457,122,185,563,563,2,577,9,335,606,106,4,4022,807,61,521,21,0,250,336,168,605,105,5,872,147,168,523,23,0,314,45
614,811,311,10,1935,527,706,912,412,14,10758,1233,924,873,373,12,4036,397,337,790,215,8,3552,1055,337,791,66,1,1226,1028,652,818,818,10,2611,110,704,891,391,12,9018,1081,833,808,308,7,1453,925,527,1401,901,12,3435,1081,527,1225,725,2,1723,246
1168,1364,864,15,4306,1285,1241,1435,935,24,14791,1750,1262,1095,160,18,5654,1441,715,1081,506,18,5711,1055,562,926,201,1,1226,1028,1238,1155,1155,20,6160,987,1043,1514,1014,20,13034,2046,1421,1225,725,15,4345,1118,771,1657,157,20,5133,1174,771,1401,101,4,2677,255
1753,1717,67,26,6799,1292,1441,1628,28,28,16869,2093,1971,1437,502,29,7020,1441,1116,1420,845,28,8725,1257,901,1180,455,1,1574,1691,1703,1473,323,28,8952,1054,1446,1783,433,28,18152,2490,1731,1443,243,18,5591,1247,1163,2038,538,32,7368,1549,1163,1585,280,7,3501,889
2356,2198,548,31,9866,3518,1686,1873,273,30,21446,2281,2619,1803,868,41,11803,1829,1480,2011,136,38,11436,1675,1234,1470,745,1,2585,2168,2261,1928,778,39,15082,2190,1934,2493,708,32,22399,2757,2191,1644,44,23,8236,2164,1438,2265,115,38,9490,2331,1625,1821,516,10,4251,1297
2754,2425,475,37,11291,3607,2379,2217,617,42,33531,3381,3172,2063,138,50,14019,1829,1759,2210,335,42,12813,1740,1328,1624,249,1,2678,2168,2322,2050,125,39,15648,2190,2319,3169,1384,43,31308,2918,2559,1891,291,31,11404,2176,2038,2671,521,55,13404,2424,1887,1997,142,12,4540,1301
3126,2701,151,43,15089,5626,2953,2834,1234,46,39802,3901,3819,2411,486,61,19201,1829,2302,3007,1132,59,18504,2822,1719,2041,666,1,3864,3101,3059,2699,774,49,23944,3360,2831,3837,37,52,36441,3409,3207,2160,560,36,12989,3119,2174,2875,120,58,15833,3750,2023,2153,223,13,4933,2496
3774,3105,555,56,21160,5697,3557,3223,523,58,49358,4550,4467,2907,982,73,24870,1857,2487,3280,205,62,20417,2822,1719,2288,188,1,3990,3101,3428,2955,230,56,27621,3450,3227,4173,373,60,44985,3636,3516,2432,307,42,15148,3448,2702,3280,525,71,21614,3754,2365,2372,442,15,5677,2661
3928,3328,278,56,26308,7535,4021,3628,128,66,55877,5845,4966,3174,1249,82,27880,2277,3444,3959,884,76,29527,4237,1971,2503,398,2,5236,3101,4312,3952,1227,71,36492,4328,3606,4848,1048,60,47023,3945,3922,2669,539,48,17325,3813,2870,3581,276,76,23668,5257,2596,2650,720,18,7221,3884
