blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,269,396,420,616,116,6,3621,724,276,620,120,6,1155,205,113,584,84,3,771,0,113,523,23,0,234,19,185,584,84,3,670,129,525,671,171,8,3804,822,215,593,93,3,982,147,131,602,102,4,959,0,131,523,23,0,214,69
660,948,448,9,1687,1343,794,1206,706,12,8278,1061,924,927,427,17,3828,564,450,853,353,11,3085,9,450,713,213,3,840,179,852,1371,871,13,3483,1363,1010,1034,534,20,12993,1936,924,972,472,16,4541,653,587,1032,527,19,11024,25,587,774,274,3,1222,213
1075,1550,575,16,4928,2527,1131,1650,1150,16,10747,1418,1479,1470,185,24,6515,878,808,1141,641,18,4495,18,808,908,408,4,1383,403,1036,1522,47,15,5716,2407,1010,1157,307,20,14968,2930,1510,1334,434,28,8122,702,906,1332,827,28,13449,92,906,935,435,4,1839,494
1317,1790,415,18,6120,3241,1290,1928,28,20,14385,2503,1984,2046,761,31,9205,1074,1140,1459,959,27,6185,265,1110,1126,1,6,2080,457,1684,1896,421,27,10297,2588,1482,1818,263,28,17842,4087,1934,1722,822,33,10922,1341,1428,1755,1250,42,18052,117,1151,1153,278,6,3389,623
2261,2394,119,28,9220,4239,1641,2323,423,25,17413,3628,2585,2346,1061,39,13747,2402,1693,1736,101,36,8095,354,1358,1626,501,7,2524,679,2188,2409,34,31,12700,4115,1892,2848,1293,34,25579,5129,2546,2184,434,40,14097,2070,1704,1974,269,47,19755,188,1546,1483,608,8,5191,721
2538,2615,340,33,11652,5601,2005,2611,311,33,25930,4231,3073,2679,394,52,18829,2644,2125,1991,356,44,10250,354,1701,1849,719,11,3217,851,2927,2849,474,47,20201,4931,2181,3119,339,41,31338,5398,2822,2399,214,45,15447,2244,2257,2303,598,58,26481,280,1738,1647,117,9,5193,764
2783,2814,139,38,14426,5698,2416,2931,631,41,31302,4800,3445,2968,688,59,21240,3811,2653,2420,785,59,14880,468,2105,2060,925,14,3838,1026,3295,3118,268,56,23984,4931,2655,3590,810,51,38680,6043,3321,2976,791,52,19795,2702,2694,2606,901,65,29418,386,2125,1850,320,10,6440,1111
3616,3225,550,52,19513,6105,2578,3170,70,43,38336,6264,3964,3843,1048,68,27494,4376,2899,2585,515,61,15132,468,2213,2270,410,14,3994,2110,3943,3502,652,68,30094,5619,3205,4137,257,58,44143,7881,3808,3777,842,58,23162,4326,3053,2892,207,74,32235,459,2392,2030,95,13,7313,1111
