blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,520,20,0,239,0,0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,98,0,500,0,0,0,141
153,563,63,2,473,119,325,601,101,4,4916,635,215,594,94,4,502,93,113,542,42,1,624,159,113,603,103,0,570,462,123,542,42,1,439,104,525,671,221,8,4357,813,246,587,87,4,561,78,113,587,87,3,1318,293,113,603,103,0,627,439
737,895,395,14,3725,1049,850,958,458,16,10574,1660,738,862,362,12,5257,792,469,867,367,13,2779,675,469,757,257,0,1180,692,738,783,283,8,3055,952,1211,1132,682,24,15429,1841,893,887,387,12,5254,745,423,769,269,7,2440,607,299,757,257,0,1267,679
999,1599,99,14,4480,1971,1550,1622,1122,26,13492,2208,1503,1539,1039,21,7799,1616,864,1232,732,24,5661,963,864,1012,512,0,2097,973,1355,1233,283,16,4427,1548,1295,1566,246,24,16092,2509,1477,1182,32,22,7525,1408,893,973,473,11,3172,839,675,992,492,0,1651,1036
1769,1980,480,26,9244,2848,1850,1886,336,33,19035,2729,2027,1846,111,30,10314,1616,1406,1592,1092,35,8994,1500,1126,1180,130,1,2850,1325,1973,1600,650,27,7443,2685,1823,1985,665,35,25119,3384,2063,1524,374,33,11215,1470,1122,1570,70,18,4723,976,904,1201,176,0,2376,1469
2448,2497,997,36,14678,3239,2097,2131,581,38,27339,3798,2358,2065,325,36,11007,1756,1599,1799,199,40,11295,1586,1258,1355,305,1,3345,1325,2433,1828,78,34,8691,2961,2331,2340,80,45,34783,4169,2279,1700,75,36,12688,2105,1385,1856,356,27,5688,1360,1290,1396,371,0,2452,1896
3000,3159,1659,47,20669,4008,2177,2273,123,38,29835,4758,2515,2277,102,38,12083,3394,1599,1926,326,40,11806,2226,1258,1529,179,1,3577,2668,2464,1950,200,34,9284,3834,2554,2817,557,49,36845,4453,2423,2101,476,36,14200,2817,1575,2097,597,27,6525,1605,1425,1950,925,0,2870,2472
3433,3462,387,55,24756,4391,2428,2495,345,42,33056,4902,3053,2605,430,48,16985,3412,1997,2372,122,47,14066,2944,1617,2023,673,1,4600,3750,3174,2337,587,46,14037,4160,2923,3056,796,54,40698,4453,2541,2523,473,36,15325,3070,2381,2780,30,33,8275,2274,1563,2104,354,0,3060,2472
3801,3669,194,60,27833,5961,3035,2916,766,54,43521,5784,3639,2904,729,56,21166,4285,2435,2649,394,55,16446,3487,1809,2218,218,1,5551,4081,4037,2907,57,55,17915,5056,3675,3486,1226,68,52950,5759,3092,2861,811,46,19512,3558,2819,3153,403,44,13030,2774,2154,2391,636,4,3949,2773
