blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,228,154,0,500,0,0,353,49,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,100,581,0,510,10,0,103,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,131,0,325,601,101,4,3329,966,215,594,94,4,822,171,93,577,77,3,1211,385,93,563,63,0,151,235,185,584,84,3,446,17,300,586,86,4,5058,1157,215,605,105,4,2269,179,150,577,77,3,1402,184,150,583,83,0,287,201
614,776,276,7,1231,358,775,1036,536,12,7966,1424,1076,1580,1080,12,3321,1085,470,871,371,10,5059,385,532,758,258,1,658,235,893,955,455,15,2072,411,745,919,19,14,9604,2539,646,833,333,10,4765,1020,450,881,381,13,3024,193,450,717,217,0,618,274
1386,1162,662,19,3287,534,775,1158,308,12,8327,2212,1443,1841,266,21,5893,1093,733,1265,140,17,9823,575,795,1343,58,1,1464,1156,1324,1239,739,24,4807,820,1069,1608,708,22,13835,2963,1323,1166,666,21,6926,1174,626,1448,73,15,4227,1004,964,1311,811,1,1767,800
2455,1843,1343,32,7187,1693,861,1600,450,12,9385,2322,2141,2478,603,33,10754,1551,1307,1640,515,29,11747,586,1194,1867,577,6,1945,1436,1757,1445,70,29,7867,2177,1269,1801,51,26,18005,4736,1755,1416,131,26,8868,2054,909,1745,370,23,5577,1004,1246,1445,70,1,2948,849
2609,1980,230,33,7654,1693,1516,1953,803,24,19445,3508,2727,2803,553,43,13684,1689,1563,1879,754,36,17375,677,1450,2082,792,6,3647,1567,2431,1778,403,41,9745,2186,1736,2187,437,38,26968,5336,2342,1747,462,35,12036,2419,1350,2088,708,36,8665,1295,1626,1615,240,1,3370,1053
3317,2357,607,45,9790,1791,2001,2241,291,32,26193,3981,3234,3095,845,53,18258,1862,2067,2357,1227,53,21341,978,1955,2296,1006,6,5419,2042,2803,2057,82,47,10775,2307,1912,2405,655,42,32947,6203,2956,2001,201,44,14618,2419,1727,2392,1012,46,13344,1679,2003,1769,394,1,3567,1062
4180,2765,1015,59,14612,2672,2437,2575,625,41,35147,5139,3758,3356,1106,62,22402,2297,2601,2916,36,57,25714,1648,2177,2672,142,8,6281,2632,3174,2325,350,52,13542,3360,2306,2708,23,50,36397,6863,3542,2329,529,54,18218,2749,1954,2856,226,49,14467,2420,2395,2134,134,1,4389,1649
4551,3284,34,64,17568,3530,3251,3339,1389,47,44875,5876,4406,3902,1652,74,27546,4516,3139,3271,391,67,29361,1742,2254,2852,322,8,6890,2695,3788,2574,599,59,17260,4292,2574,2916,231,54,43712,7515,4129,2651,851,61,22161,3279,2621,3303,673,65,20418,2524,2509,2308,308,1,4457,1885
