blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,500,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
123,563,63,2,167,0,325,601,101,4,1807,470,185,581,81,3,632,200,113,542,42,1,904,0,113,544,44,1,112,0,185,584,84,3,694,0,325,601,101,4,2746,761,246,607,107,5,713,115,113,584,84,3,645,0,113,523,23,0,206,65
738,888,388,13,1653,250,890,1193,693,12,6584,1257,522,736,86,5,1922,1013,527,920,420,13,3265,17,527,772,272,2,1116,404,738,881,381,13,2041,62,685,889,389,12,9735,2051,977,1294,794,12,2833,1004,450,851,351,11,2518,86,450,699,199,2,972,391
1477,1239,739,24,3245,554,1156,1481,981,20,11357,1720,1249,1096,446,17,5759,1502,870,1169,669,20,5056,120,808,1008,508,3,2011,508,1109,1085,585,15,3683,389,1212,1275,775,24,15688,3243,1314,1476,191,16,4544,1265,846,1170,670,19,4539,231,846,936,436,5,2185,806
2094,1417,917,27,3604,554,1369,1924,74,20,12702,3033,1481,1458,208,19,7004,2358,1321,1536,1036,32,7336,120,1259,1303,803,4,3640,896,1942,1445,945,25,5788,548,1328,2142,292,24,16130,4240,1925,1993,708,20,7035,2116,1129,1409,909,25,6596,488,1129,1112,612,7,2505,1285
2279,1561,161,28,4119,1074,1739,2249,399,28,21560,3843,2129,1993,743,30,12310,2970,1379,1959,59,32,7723,1176,1317,1628,203,4,4738,1543,2680,1837,1337,39,8871,802,1590,2684,834,28,20962,5692,2419,2167,67,23,7654,2116,1955,2183,1683,38,9620,726,1414,1477,127,7,3066,1696
2987,1952,27,41,7799,1464,2358,2931,1081,41,29253,4982,2424,2421,671,34,14599,4323,2066,2333,433,47,12476,1214,1881,1831,406,7,6011,1582,2988,2043,193,43,10223,1003,2098,3307,1457,36,30093,6786,2975,2482,382,31,11939,3220,2079,2347,522,40,9867,726,1515,1686,336,7,3189,2076
3573,2248,323,48,9013,1467,2701,3793,1943,46,34743,5993,2660,2719,269,36,15597,4603,2547,2624,724,55,16149,2011,2138,2045,620,9,6730,1582,3361,2332,482,49,12044,1085,2467,3550,300,41,34076,8180,3432,2778,278,39,15500,3568,2880,2755,930,54,14781,1065,1615,1820,70,7,3450,2869
3759,2371,146,48,9670,2815,2805,4086,136,46,36032,6908,3713,3445,995,49,23080,5718,3280,3531,1631,66,22608,2335,2929,3509,2084,12,11617,1989,4199,2730,875,61,17144,1918,2533,4156,306,42,37391,9977,3771,3019,519,46,19088,4791,2994,2953,253,54,15406,3011,1692,2030,205,7,3963,3984
