blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,758,179,475,666,166,8,5664,488,215,594,94,4,752,200,113,584,84,3,546,56,113,544,44,1,375,55,215,598,98,4,1000,80,325,601,101,4,3751,900,276,620,120,6,1026,78,113,584,84,3,655,0,113,523,23,0,0,0
738,839,339,10,5707,727,676,886,386,12,8442,1043,924,887,387,12,2886,438,469,860,360,12,1757,177,469,725,225,3,929,250,738,825,325,10,3507,724,836,982,482,16,12013,1734,924,966,466,17,5827,155,474,846,346,11,1556,189,412,717,217,0,590,300
1047,1071,36,14,7806,1384,836,1105,605,16,11754,1676,1353,1082,582,17,4265,1015,913,1183,683,21,3690,397,883,946,446,5,1731,533,1200,1099,99,16,5364,1336,1233,1275,775,24,16508,2675,1292,1161,661,22,8167,405,851,1174,674,20,3987,630,789,952,452,0,1158,804
1786,1445,410,26,12524,2129,1313,1478,978,28,16817,2278,1630,1282,132,21,5417,1015,1381,2017,217,25,5391,927,979,1230,180,5,2260,1226,1695,1347,347,23,8406,1781,1491,1523,23,32,22395,3162,1939,1530,30,34,11198,405,1017,1696,46,20,5136,1133,893,1331,81,0,1358,1292
2063,1645,60,30,15368,2268,1313,1600,325,28,16949,2278,2278,1635,485,32,8579,1184,1494,2203,403,28,5668,1078,1276,1407,357,7,2900,1383,2401,1659,659,34,10418,2206,1892,1874,374,42,34088,4206,2526,1876,376,45,16239,425,1504,2029,379,32,7777,1142,1381,1526,276,0,1880,1505
2587,1952,367,38,18322,2368,1723,1840,565,32,20408,2774,2554,1810,225,35,10471,2250,1948,3201,1401,43,10534,2089,1730,1863,813,9,5310,2001,2833,1945,245,41,12033,2250,2409,2159,654,51,38361,5776,3036,2377,877,50,19062,949,1693,2280,280,37,9558,2037,1570,1720,70,0,2494,2326
3419,2346,761,51,22975,3682,2132,2223,948,40,29148,3794,2983,2050,465,43,14824,2254,2075,3420,145,44,11282,2291,1858,2303,78,9,5667,2045,3297,2206,506,46,15987,3191,2671,2552,297,55,41944,6517,3571,3352,562,60,22111,1047,2160,2696,691,51,11319,2083,1974,1909,254,1,2710,2420
3758,2769,119,51,24238,4617,2632,2511,386,48,36364,4510,3631,2442,857,56,20401,2644,2800,4305,1030,61,17798,2864,2521,2978,753,14,7600,3007,3608,2542,192,49,16712,4070,3209,3175,920,62,52026,7511,4219,3724,934,72,27717,1145,2367,2910,905,56,16584,3426,2181,2158,103,2,4006,3408
