blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,44,67,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,44,0,500,0,0,67,0,0,500,0,0,0,0,0,500,0,0,0,0
215,598,98,4,584,0,334,676,101,4,2396,1331,224,894,394,4,899,75,113,542,42,1,530,203,122,528,28,0,47,143,132,941,41,0,435,1029,325,601,101,4,1707,527,285,690,190,6,1113,411,37,521,21,0,500,304,47,573,73,0,587,245
893,1004,504,18,2869,31,557,975,395,5,2943,1868,903,1240,740,15,2887,359,431,1439,939,12,3185,402,384,814,314,2,1206,1007,717,1159,259,5,1580,1294,399,744,94,5,2539,1356,685,931,131,13,2672,791,269,699,199,3,1711,823,278,749,24,2,1291,1169
1511,1487,987,30,7079,1429,946,1503,573,9,5692,2289,1364,1442,942,20,5370,1054,709,1678,153,16,3899,402,540,1040,160,5,1944,1007,1210,1482,582,15,3878,2286,845,1038,388,14,5406,1517,1424,1324,524,27,7441,1833,754,962,62,11,3285,921,521,919,194,4,1737,1177
2067,1847,122,41,12272,1804,1408,1892,962,21,11858,3250,1894,1817,67,33,9038,1097,1153,1964,434,25,5423,625,1052,1282,402,8,3366,1348,1804,1829,374,25,5618,2458,1291,1276,626,20,10054,2190,1777,1620,95,35,9254,1974,1234,1294,394,21,5338,985,924,1149,424,7,3277,1257
2745,2435,710,55,19068,2433,1479,2049,1114,22,11862,3309,2603,2150,400,43,13761,2142,1626,2398,868,35,10022,1091,1415,1743,863,9,4175,2251,2295,2127,672,35,9494,3197,1484,1781,1131,22,11322,2311,2204,1836,311,40,12613,2837,1524,1578,73,25,7761,1846,1061,1359,634,7,3898,2147
3206,2711,186,64,24201,4977,1871,2431,1491,23,14201,4345,2949,2605,855,45,15837,2383,2058,3399,44,38,13019,1426,1625,2102,272,9,4494,2967,3330,2945,1490,48,14788,3938,1529,2203,453,22,12293,4140,2711,2230,705,48,14971,3384,2351,2039,534,42,12741,1912,1164,1568,243,7,4209,2316
4037,3539,1014,82,34255,6220,2215,2739,274,31,21337,4908,3126,3202,227,45,17527,2955,2581,3740,50,48,20220,2682,2089,2517,287,13,5152,3210,3821,3235,580,58,16848,4117,1689,3046,861,23,16508,5122,2926,2398,373,51,16658,3778,3131,2597,1092,55,17128,3424,1664,1801,76,13,5503,3227
4579,3865,1340,91,40717,7271,2390,3037,567,33,24423,5724,3437,3719,744,54,21213,3553,2920,3968,278,54,22569,3091,2382,2730,500,13,5303,3350,3974,3359,704,59,19484,5196,2577,3454,1269,35,23075,6349,3205,2568,193,54,20670,5117,3304,2804,199,60,18573,3496,1755,1985,255,15,6059,3676
5131,4358,1833,102,46819,8089,2818,3662,492,36,31481,6702,3959,4167,1192,66,24900,4341,3286,4245,550,59,24557,4088,2648,2955,725,13,5537,3777,3974,3486,256,59,20297,5498,2970,3643,1458,40,29967,7535,3911,2905,530,67,25112,5625,3746,3648,1043,71,23969,4797,2243,2383,653,18,7874,3825
5779,4766,591,115,53295,8614,3598,4117,947,50,42089,7371,4202,4505,255,70,28102,6314,3501,4431,356,63,26248,4667,2897,3403,123,14,5996,4690,4653,3873,643,71,28069,6321,3604,3997,1812,51,36483,8369,4912,4261,336,75,33988,7070,4060,3883,378,78,27580,5017,2290,2518,138,18,8136,4173
6427,5155,980,127,60659,9416,4202,4525,180,62,49524,7966,4727,4867,617,81,34391,7232,3559,4631,206,64,27128,5238,3393,3741,456,22,6724,5244,5301,4253,1023,82,34067,7266,4020,4304,314,58,44351,9330,5375,4558,33,83,38914,8022,4228,4110,40,84,31287,5772,2521,2687,302,19,8320,4798
6980,6091,291,138,67843,11622,4497,5019,674,64,53903,8887,5050,5437,137,84,36813,8883,3895,5424,199,73,34216,6730,3730,4129,444,23,7126,6461,6471,5034,1804,93,40993,7866,4653,4810,815,63,47151,9407,5831,5129,604,91,42874,8174,4858,4780,110,90,36866,7502,3085,2971,111,19,8567,6309
