blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
5,500,0,0,0,0,5,603,103,0,155,74,5,900,400,0,268,0,5,533,33,0,154,75,5,533,33,0,212,15,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,149,53,0,500,0,0,0,0,0,520,20,0,15,737
67,521,21,0,0,193,460,755,255,7,5264,909,251,967,117,3,644,46,118,596,96,2,748,193,118,556,56,0,580,15,123,521,21,0,68,8,525,671,171,8,4508,683,215,594,94,4,641,240,131,598,98,4,1302,0,131,583,83,0,514,921
435,741,241,5,1179,193,723,990,490,12,8463,1837,588,1089,89,3,1492,1122,268,782,152,5,1330,756,533,733,233,2,1635,755,862,864,364,11,1971,128,1000,1247,747,17,11718,1125,792,1002,502,12,4018,991,559,986,486,14,4810,449,559,1147,647,0,2164,1475
998,1015,515,12,2591,415,865,1588,663,16,11104,2389,1029,1533,533,11,3440,1958,720,1125,495,15,3304,762,984,948,448,4,2632,755,1139,1092,592,17,3799,542,1274,1470,970,21,15591,2367,984,1183,283,16,5317,1053,747,1192,217,19,6041,449,747,1282,47,0,2636,1475
1205,1470,570,14,3398,1982,920,1905,150,17,11383,3033,1083,1730,295,11,4429,2295,780,1257,627,15,4235,869,1045,1098,593,5,2697,1141,1441,2009,9,21,7294,1935,1713,1853,303,29,21944,3085,1048,1761,861,16,6651,2039,1454,1554,579,31,8379,613,992,1516,281,0,3126,1848
1792,1789,489,23,7820,2907,1291,2838,1078,18,13024,3326,1533,2192,7,14,6584,3081,1327,1642,1012,21,7592,1519,1260,1382,102,5,2988,1667,2241,2429,429,36,12249,2675,2000,2140,590,39,24870,3094,1603,1982,332,22,9789,2547,1717,2088,63,38,10312,1658,1256,1931,696,0,3845,2462
2592,2208,908,38,14543,3004,1470,3476,1716,21,16883,3495,1872,2413,228,20,8299,3133,1527,1881,226,23,9423,2061,1337,1591,311,5,3418,1667,2824,2719,719,47,18778,2684,2230,2307,757,43,31892,4629,1654,2143,58,22,10276,3897,2350,2493,463,51,14528,1932,1544,2125,40,0,5033,3240
3128,2550,50,42,17988,4637,1996,4104,2344,29,25545,4186,2361,3012,827,25,11280,3133,1955,2316,661,34,12521,2598,2010,1926,646,9,4941,2214,3429,3321,121,53,23590,4290,2792,2657,132,54,41198,5391,2424,2719,634,37,15669,3905,2809,2728,698,57,18094,2016,1600,2319,234,0,5670,4172
3281,2736,236,46,19132,4801,2456,4412,352,37,31415,4806,2637,3221,386,30,13968,3133,2392,2571,916,41,17109,2598,2086,2095,300,10,5090,2226,4045,3726,526,67,29822,4398,3212,2985,460,63,50760,7018,3072,3006,921,47,19126,4012,3525,3137,1107,71,23877,2214,1794,2492,402,1,5752,4172
3679,2991,491,54,23064,6016,3058,4989,179,41,38584,5901,2721,3618,783,30,17112,4910,2832,2926,466,51,20033,2609,2434,2469,674,11,6326,3240,4398,3967,767,74,34141,5850,3440,3353,188,67,57541,7878,3326,3917,217,48,21340,5486,3757,3921,1141,76,25974,2219,1879,2878,188,2,6747,5299
4327,3560,1060,66,29327,6094,3717,5601,791,49,47481,6972,3215,3839,1004,36,22031,6614,3479,3168,708,58,23601,2678,2434,2603,408,11,6326,3240,4831,4270,195,81,37524,5854,3971,3936,771,75,66395,8485,4068,4447,747,61,27663,6189,4012,4113,233,80,28002,3035,2443,3205,515,9,7346,6447
4603,3766,66,71,31904,6142,3928,6194,109,49,48718,7368,3587,4124,1289,42,25769,6826,3906,3907,572,66,31146,4099,2874,3000,805,12,7149,4257,5358,4625,550,89,45532,5924,4442,4376,1211,83,76343,9355,4625,4786,1085,70,32153,7723,4262,4577,697,82,29808,4421,2648,3516,426,9,8038,7657
5404,4589,889,88,42928,8902,4300,6521,436,57,59706,7731,4016,4379,204,50,29531,6841,4274,4148,813,73,32731,4099,2874,3135,350,12,7149,4257,5572,4815,740,94,50495,6571,5022,4668,128,91,88550,10436,4837,4992,192,78,35516,8208,4784,4883,353,90,34372,4476,2709,3721,631,9,9079,8255
5710,4730,430,89,47382,12082,5229,7042,952,67,68198,8094,4748,4907,727,57,32654,6864,4860,4541,1206,85,42082,4099,2898,3269,484,12,7258,4402,6125,5273,98,100,53888,8572,5190,5031,416,95,95935,10753,5144,5401,601,85,39828,9453,5585,5338,808,106,43090,4718,3262,4389,284,13,10347,8255
6230,4952,152,89,49499,13900,6183,7815,1715,79,81363,8523,4967,5130,150,57,33255,8764,5536,5447,2112,96,50199,4146,3348,3611,76,14,8329,5173,6537,5605,430,109,57480,8612,5619,5528,38,95,96908,12184,5640,6009,1209,87,44778,10243,5854,5611,381,106,44350,6386,3399,4572,27,16,10604,9730
7002,5386,586,100,56688,16932,6539,8102,47,80,82493,10197,5819,5820,840,68,44226,9051,6029,5681,421,103,53974,4215,3399,3772,237,15,8688,5173,7125,6047,872,120,66484,11216,6082,5939,449,103,107875,12825,6327,6883,2083,101,55821,10704,6426,5961,331,108,47569,8058,3917,5752,1192,19,11431,9730
7064,5579,79,101,57490,19310,6899,8448,388,87,87468,10684,6787,6631,1651,86,58701,9512,6830,6234,974,112,59337,4612,4029,4434,898,16,9844,5976,7526,6247,1072,124,69386,11258,6728,6403,163,106,109657,14363,6504,7048,498,103,56219,12319,6702,6146,516,112,51393,8058,4229,6058,133,25,15642,10500
7377,5884,384,109,62403,23546,7259,8755,695,93,99221,12817,6787,6804,234,86,60733,11942,7618,7092,832,124,68631,4966,4786,4990,355,18,10724,7471,7869,6474,99,130,72115,11998,7550,7064,824,110,116404,15331,7594,7847,1297,114,64569,15409,7401,6580,950,119,64132,9158,4813,6563,638,25,17648,10500
