blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,733,72,525,671,171,8,4010,779,276,600,100,5,2462,29,131,556,56,2,588,46,131,554,54,1,467,291,185,584,84,3,568,70,325,601,101,4,3163,521,185,581,81,3,388,146,75,563,63,2,659,186,75,523,23,0,46,7
833,962,462,15,2244,102,1249,1142,637,25,15755,1958,924,939,439,16,4537,288,412,832,332,11,2839,113,412,709,209,2,987,546,771,878,378,10,2385,187,678,899,399,12,7371,1548,707,842,342,11,2864,885,438,832,332,10,1757,348,438,699,199,2,1079,450
1262,1217,17,22,4153,816,1596,1458,953,31,19764,2382,1446,1168,233,22,6863,1264,864,1973,1473,24,6260,473,815,1286,786,5,2463,737,1369,1176,676,20,5684,881,1008,1420,145,17,11671,2167,1421,1344,844,22,5885,1450,655,983,483,12,2445,558,438,834,184,2,1127,1858
1848,1568,368,32,5768,848,1700,1647,42,35,21464,3280,2064,1489,554,31,9384,1264,1152,2263,738,31,9143,473,1041,1504,304,7,3219,839,1894,1529,29,31,8720,923,1373,2023,743,22,15913,2762,2007,1634,299,30,7850,1684,1193,1280,780,19,5131,627,650,1133,478,3,1279,2128
2216,1838,88,41,7447,2161,1931,1887,282,39,26310,3941,2742,1868,933,44,13732,1828,1591,2637,1112,46,12567,629,1480,1660,460,8,3797,1061,2461,2123,623,38,12727,1781,1931,2497,1217,30,20741,3368,2529,1901,566,39,10437,2176,1343,1494,994,24,6383,722,800,1268,613,3,1279,2128
2956,2271,521,56,10195,2170,2451,2210,605,51,36217,4993,2987,2020,1080,45,13865,1914,1966,2970,1445,58,18116,715,1855,1836,636,10,5235,1363,2585,2266,116,39,13168,1781,2244,2775,45,38,25901,3998,3208,2280,945,52,12682,2204,1889,1920,1420,39,8799,1024,1345,1524,869,7,2675,2477
3549,2598,848,64,12739,3073,2839,2488,883,59,42671,5882,3818,2401,1461,58,18535,2528,2242,3266,266,65,20526,751,2163,2060,110,12,6508,1429,3492,2678,528,53,21398,2454,2969,3238,508,54,40855,5616,3856,2648,1313,64,17120,2959,2284,2300,425,51,12895,1029,1741,1727,72,8,4255,2774
3846,2852,2,72,15473,4438,2923,2610,30,59,44675,6515,4095,2610,155,63,19646,2559,2656,3772,772,79,25066,941,2577,2354,404,13,7218,1594,4140,3083,933,66,28171,3195,3511,3950,1219,54,42534,6779,4442,2979,394,74,21562,3287,2601,2498,623,55,15228,1210,1872,1862,207,8,4255,2953
