blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
8,515,10,1,2,0,8,500,0,0,1,0,8,500,0,0,0,0,8,500,0,0,0,0,8,500,0,0,0,0,0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
131,578,73,3,188,91,308,586,86,4,4704,570,284,620,120,6,1896,260,121,542,42,1,73,27,121,583,83,0,268,0,123,547,47,1,215,0,0,521,71,0,0,0,246,581,81,3,982,298,0,521,21,0,0,0,0,523,23,0,0,268
776,924,419,16,1870,309,684,886,386,12,9166,1155,932,953,453,16,4216,362,692,874,374,14,1804,106,383,757,257,0,477,15,614,722,222,3,893,426,860,949,499,16,30081,565,738,802,302,9,2322,447,187,734,234,5,2920,192,311,671,171,1,117,343
1208,1219,714,24,3864,992,729,1498,-152,12,9600,1854,1308,1292,792,20,5768,798,800,2327,77,14,3239,1266,578,1292,492,0,1081,802,1262,1123,623,15,4176,542,1061,1594,194,16,30664,1277,993,1334,834,12,3131,1161,528,1010,210,10,4355,866,584,1547,47,1,1676,1461
1300,1661,56,24,5166,2237,1009,1929,279,19,15017,2266,1981,1641,1141,31,8809,1182,1662,2764,514,30,5322,1302,635,1426,201,0,1159,845,2168,1788,1288,25,7534,1356,1292,1801,401,20,60740,1360,1270,1542,292,17,4928,1179,691,1272,472,15,5277,903,686,1703,128,2,2823,2840
2098,1938,333,33,10132,2803,1644,2317,667,31,21780,2815,2717,2595,960,42,14011,1512,2232,3477,1227,40,8787,1986,1051,2051,471,1,1811,1768,2568,2044,319,30,9198,2077,1673,2084,684,24,66063,2007,1918,1835,585,25,8376,1235,1115,1836,1036,19,8332,2039,846,1926,276,3,3279,3293
2723,2280,675,43,12719,3301,1876,2540,885,36,24994,4045,3137,2856,196,48,16133,1703,2519,3893,68,47,10960,2065,1074,2250,270,1,2134,1768,3307,2461,736,43,14040,2550,1939,2303,468,28,81063,2007,2440,2317,1067,36,13886,1394,1393,2364,614,25,10421,2609,1180,2273,623,6,4391,3601
3586,2709,1104,57,17554,4358,2323,2997,397,44,34173,4539,3401,3653,193,48,18069,3023,2982,4723,898,59,14887,2223,1637,2629,149,1,3855,2454,3802,2871,1146,52,17582,3314,2294,2610,775,36,116143,2236,2716,2544,344,43,16917,2473,1700,2694,294,33,12767,3456,1425,2443,318,8,4981,4422
4085,3021,1411,66,25093,4440,2615,3442,842,44,35616,5642,4180,4734,1274,58,25585,3375,3409,5093,1268,67,19139,2884,2047,3144,664,1,4844,3488,4389,3231,1506,62,21194,3832,2675,3147,507,41,122347,3150,3087,2817,267,49,19445,3559,2010,2908,158,39,16714,4715,1802,2727,602,8,5513,5991
4802,3433,1818,80,30957,5880,3052,3779,349,52,41483,5921,4745,5512,2052,65,31435,3655,3925,5825,925,75,22804,4045,2244,3419,148,1,4971,4634,4942,3558,1833,71,24570,5295,2748,3420,265,41,122375,3509,3359,3401,151,54,21900,4682,2809,4195,1445,49,21666,6108,2355,3182,657,9,6648,6415
5389,3722,2107,86,34114,7013,3382,4003,573,57,48164,6067,5416,5896,2431,78,37756,3763,4212,6091,486,84,25441,4057,2531,3594,324,1,5051,4634,5681,4061,2336,87,36459,6027,3425,3813,658,53,172375,3509,4045,3798,543,66,26903,4717,2809,4317,142,49,21666,6108,2355,3317,492,9,6648,6415
6158,4510,2895,101,43539,7339,3547,4274,9,60,50190,7355,5867,6252,222,83,44391,5745,4416,6711,56,85,29047,5888,2772,4252,82,1,5975,5892,6164,4825,975,94,42435,7384,3815,4073,918,53,174110,4273,4479,4665,1405,67,32002,5517,3310,5071,296,57,25807,7409,2743,3539,264,9,7395,7907
6158,4807,72,101,44169,8632,3547,4396,131,60,50190,7355,6036,6480,450,89,47705,6049,5378,7713,1058,94,37433,6631,2940,4453,283,2,7112,6207,6740,5144,44,106,49850,8600,4370,4384,1224,62,180599,4273,4833,4874,309,72,34816,6477,3708,5362,587,67,32665,8299,3181,3687,337,10,7747,8215
6844,5285,545,114,49988,8726,4345,5207,942,65,54883,8197,6780,7486,1456,100,55282,6069,5806,9022,217,101,45079,8052,3169,4778,173,2,7711,7207,7364,5551,446,119,56822,8921,4946,4722,1562,70,201853,6012,5257,5396,831,78,39563,7024,3868,5600,825,70,34670,9626,3314,3872,72,10,7993,9757
