blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,518,330,325,601,151,4,4109,847,215,594,94,4,750,46,61,521,21,0,541,337,0,563,63,0,131,703,215,542,42,1,1410,309,420,616,116,6,4029,705,246,602,102,4,880,37,145,998,498,4,1038,361,145,675,175,2,541,364
738,902,402,14,6176,1252,1010,1045,595,20,14002,1886,885,1207,707,13,3847,786,600,892,392,12,3601,363,508,717,217,0,1057,917,738,811,311,9,4460,1231,722,906,406,13,8595,1280,697,909,184,11,2979,960,351,1253,103,12,2387,511,465,868,368,3,896,364
1510,1518,1018,23,8233,1952,1211,1285,0,24,16735,2481,987,1429,179,15,5099,1203,641,1315,65,12,4677,1055,549,985,60,0,1465,1537,1016,1057,257,14,6941,2644,850,1963,163,13,9269,2073,851,1283,83,12,4052,1204,1027,1946,796,25,4776,551,819,1255,305,5,2400,1313
2034,1871,71,34,10583,1959,1554,1584,299,34,23868,3306,1611,1772,522,26,8718,1375,1058,1605,355,19,6913,1717,878,1242,317,3,2220,1550,1633,1403,453,25,9022,2653,1487,2432,632,29,17887,2974,1412,1644,444,24,7096,1403,1321,2180,430,29,7373,944,931,1410,160,6,2742,1458
2678,2197,397,46,14825,2313,1843,1822,-28,40,28780,3576,2175,2084,834,35,11881,1642,1058,1728,128,19,7047,1717,1009,1421,496,3,2602,1899,2124,1652,702,32,11166,3114,1761,2579,779,33,24367,3662,1928,2010,810,36,9864,1945,1697,2399,649,34,9308,1195,1120,1596,341,8,3193,1616
3326,2574,774,58,18679,2388,2292,2743,893,48,35321,4793,2452,2273,148,39,14322,2681,1641,2042,442,29,11273,1901,1317,1826,901,3,3155,2079,2895,2057,1107,45,14130,3218,2236,3179,1379,41,31180,5400,2278,2319,1119,46,12472,2333,2559,2811,1061,48,16540,1410,1569,1907,652,10,4499,2495
3974,2975,1175,71,27733,3911,2706,3063,313,56,40704,5174,2976,2575,450,47,18419,2743,2277,2390,790,39,14712,2593,1336,1960,335,3,3155,2079,3543,2437,1487,57,20650,4682,2430,3402,327,45,34491,5634,2740,2633,533,55,16081,2625,3238,3149,1399,58,20751,1811,1569,2042,87,10,4499,2495
4676,3467,867,81,32108,4770,2967,3536,786,56,42400,6298,3553,3246,21,59,26961,3621,2401,2557,657,41,14970,2593,1730,2326,701,4,3739,2262,3777,2902,267,60,21277,5450,3218,4077,1002,49,45613,6778,3281,2892,792,63,20202,3087,3514,3363,38,63,22787,2038,1738,2176,71,10,5183,3897
