blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,505,5,0,0,0,0,500,0,0,0,0
215,598,98,4,1519,747,325,601,101,4,3600,662,227,981,481,3,1238,626,137,563,63,2,540,338,135,528,28,0,391,50,92,542,42,1,1161,608,325,601,101,4,2496,578,246,607,32,5,1704,800,136,599,94,4,565,18,136,573,73,0,127,9
924,976,476,16,4588,869,787,1244,744,13,9474,1150,897,1414,64,13,3759,703,399,741,241,5,2018,898,398,802,302,0,834,403,707,776,276,7,2507,850,518,823,198,8,4939,1369,276,729,154,5,2335,1569,575,991,486,17,3303,246,575,807,307,0,896,272
1057,1589,289,16,5439,909,1086,2100,1600,17,12797,1963,1234,1575,225,16,5706,1211,757,966,466,8,3037,1208,837,1037,537,0,1341,927,1137,1002,352,13,4337,1448,875,1089,464,16,7158,2244,705,1010,435,15,4505,2632,912,1289,784,27,6560,743,912,1042,542,0,2298,789
2124,2230,930,26,9964,2270,1442,2426,226,25,20021,2488,1789,1863,513,24,7595,1802,957,1402,52,9,3570,1680,933,1171,146,0,1341,1216,1507,1166,516,15,5771,2737,977,1292,192,20,8857,2277,845,1432,57,15,5763,2896,1405,1863,1358,38,10185,794,1242,1529,1024,1,3724,952
2185,2548,148,27,10721,2351,1635,2613,413,29,27900,4376,1850,2135,285,24,8501,2351,1543,1710,360,19,6459,1714,1075,1796,761,2,2429,1472,1939,1474,474,23,8404,2741,1370,1582,482,27,12455,2827,1351,2125,745,23,8222,3822,1443,2060,180,38,11053,1844,1280,1798,283,1,4224,1418
3077,3051,651,47,18053,2522,1635,2736,461,29,30566,4900,2065,2317,167,28,10571,3114,1949,2023,668,29,10741,1902,1097,1950,915,2,3243,1839,2401,1729,729,30,11475,2928,1575,1895,795,31,17510,3527,1396,2322,142,23,8313,4155,1750,2287,407,44,11882,1844,1326,2253,38,1,4805,2387
3958,3867,1467,60,26384,4049,2271,3293,1018,41,37812,5704,2567,2616,461,35,13316,3114,2547,2653,1298,39,14882,2408,1370,2215,1180,2,3668,2019,2616,1872,122,31,13001,4625,1969,2187,62,39,21293,4747,2135,2689,509,36,14647,4262,1812,2431,201,45,12450,2822,1729,2559,344,4,5675,2812
4482,4216,391,70,30564,4239,2474,3481,1206,45,50461,6828,3240,2901,746,45,14868,3124,2900,2943,418,45,17240,2889,1543,2416,256,2,3761,2077,3077,2121,371,38,15025,4629,2429,2536,411,48,32590,5588,2420,2887,702,39,15105,4262,2329,2784,554,59,18242,2822,2155,2872,657,5,7592,3129
5035,4527,702,81,35793,4840,3227,4221,296,55,54149,6915,3821,3403,248,50,17870,4211,3312,3159,329,51,19182,3357,1728,2591,56,2,4081,3145,3664,2418,668,48,18972,5103,2614,2695,55,51,35963,6820,3161,3310,1125,55,20382,4801,2830,3396,416,70,23606,3036,2382,3182,317,5,8689,3509
5738,5616,1791,94,46388,6568,3667,5126,901,62,60379,7843,4284,3787,632,60,21119,4275,3745,3466,636,55,20272,3679,2112,2916,381,3,4592,3491,4188,2770,320,58,23958,6556,3213,2984,344,59,42110,7565,3562,3606,136,62,22492,4801,3088,3870,590,82,27790,3036,2640,3435,570,5,9190,3788
5989,5976,351,96,47766,6591,4489,5716,1491,76,75655,8912,4581,4409,104,60,22908,5851,4453,4356,225,66,26591,4478,2650,3472,932,4,6585,3586,4483,2983,533,63,26611,8116,3328,3182,67,60,43045,8607,4042,3873,403,71,26693,4987,3424,4419,339,86,30028,4440,2894,3710,446,5,9797,5285
6376,6526,901,104,51726,6925,4863,6003,403,86,82696,9669,4733,4615,305,61,23783,7158,5006,4875,745,78,33466,4505,2772,3756,1216,4,7543,4465,5035,3285,435,74,34365,8212,3328,3304,189,60,43997,9961,4330,4171,701,78,29869,5508,4098,4768,688,100,35162,4440,3025,3951,686,5,11435,5613
6545,7194,78,108,54079,8056,5628,6599,999,96,93831,11576,5091,4836,526,67,27714,7242,5655,5505,1375,86,40054,4870,3150,4489,1944,5,8293,4566,5345,3454,604,76,39875,8593,3916,3663,548,68,58458,11155,4479,4373,288,83,30993,5573,4488,5070,990,107,39697,5725,3603,4229,449,12,16281,7133
7192,7590,475,117,61673,8529,6607,7190,1590,116,118429,12693,5739,5276,966,79,34591,7316,6124,5989,179,96,47581,4870,3462,4804,384,5,8668,4566,5936,3807,952,88,46557,8769,4645,4028,113,80,70453,11870,5007,4636,551,91,35578,5655,5105,5444,374,118,45533,5725,3830,4531,746,17,18071,7133
7946,8157,1042,126,72870,9182,7247,7738,2138,124,129641,13616,6286,5789,1479,89,40879,7645,6484,6821,1011,107,53403,5706,3736,5150,720,7,8741,5328,6457,4234,179,98,50979,9478,5202,4343,428,87,73915,11895,5312,4843,758,96,36996,5695,5403,5666,591,124,50136,6878,3925,4671,136,17,19415,8140
8122,8401,1286,127,76998,10785,7439,8216,2616,126,132537,14530,6498,6374,2064,89,42923,7757,6694,7472,1662,110,57591,6000,3975,5493,1063,8,9762,5503,6570,4428,373,98,51184,9478,5850,5047,1132,98,83137,11992,5425,5053,968,97,38159,6122,5403,5855,30,124,50486,7302,3925,4872,337,17,19771,9202
