blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,1,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,500,0,0,0
122,542,42,1,1071,127,410,627,127,6,3797,704,185,581,81,3,369,0,113,542,42,1,146,752,113,528,28,0,0,0,215,598,98,4,1029,156,397,762,262,6,6157,959,253,1012,512,5,676,0,135,617,117,3,1201,0,135,569,564,1,435,0
646,767,267,5,2824,144,622,1219,719,10,7862,1699,626,924,424,7,2863,805,450,839,339,11,2224,1304,450,704,204,2,645,82,893,975,475,15,2783,623,547,969,394,10,11428,1879,1045,1664,764,17,3304,691,396,845,345,9,2568,579,304,696,216,1,655,122
1292,1156,656,18,5036,438,926,1498,998,18,9523,1737,1055,1192,92,16,5481,1667,733,1127,227,18,3627,1304,733,920,120,4,1192,149,1232,1294,794,21,5185,1555,997,1627,1052,18,15905,2438,1471,1927,302,22,4577,830,853,1163,663,20,3751,579,699,914,434,5,1427,247
2237,1864,1364,31,8083,1563,1113,1725,280,21,12700,2652,1794,1580,480,30,9680,2608,1015,1417,167,25,5773,2262,1077,1187,87,9,3424,1078,1738,2082,1582,23,8278,2638,1403,2078,1503,25,22638,2932,2095,2297,672,34,9463,957,1325,1764,1264,33,7257,1368,1171,1686,1206,6,2378,517
2453,2057,257,34,9991,1563,1279,1944,199,25,16886,3645,2442,1894,794,38,11712,2986,1475,1774,149,36,8714,2282,1322,1409,309,11,4411,1078,2140,2375,275,30,9379,2655,1629,2482,-43,31,26634,3460,2742,2837,1212,46,14612,1004,1469,2302,52,35,9157,1378,1315,2025,145,8,3309,835
2850,2382,232,41,15212,3028,1639,2157,62,30,20153,4830,2995,2194,94,49,16197,3227,1612,1938,313,38,9061,2324,1436,1599,494,13,4538,1095,2764,3059,959,42,15426,4195,1867,2943,68,32,27734,4276,3102,3633,58,52,18463,1692,1938,2669,419,49,11069,1378,1879,2288,408,12,4095,844
3670,3181,1031,48,20739,4178,2289,2939,844,44,31997,6436,3674,3203,153,56,21413,4618,1818,2179,254,45,11569,3423,2188,2041,936,18,7722,1250,2826,3203,53,43,17942,5881,2070,3165,290,36,30147,5030,3905,4242,667,60,22126,3045,2244,3040,490,54,14308,2620,2192,2663,783,13,5098,1414
4041,3866,141,55,25877,4311,2759,3258,313,52,40437,7277,4137,3535,485,66,25481,4848,1931,2365,440,48,13153,3433,2301,2197,117,19,8070,1271,3350,3729,579,53,23864,6116,2452,3687,807,43,36198,6192,4398,4547,972,69,27585,3205,2846,3424,524,66,18806,2620,2592,2902,1022,19,9108,1693
5098,4688,963,70,35169,5323,3203,3547,602,60,46424,7770,4690,3822,772,76,31108,6402,2592,2797,872,63,19782,3714,2471,2331,251,19,8543,2342,3442,3875,905,54,25333,7687,2726,3936,176,49,38527,6883,5081,4989,1414,79,33175,4353,3114,3623,183,70,21441,3601,2813,3342,587,19,9821,2204
5571,5228,1503,77,42551,6465,3327,3688,128,61,51093,9148,4935,4024,374,81,34217,6421,3138,3478,78,72,25009,4457,2903,2718,158,23,10027,2415,4598,4664,794,67,32785,9452,2737,4063,228,49,42593,8973,5434,5591,116,87,36376,4732,3547,4128,63,79,27922,4762,3228,3760,700,22,11093,2680
5819,5499,259,81,45330,6465,4276,4371,811,76,67082,9622,5150,4205,205,85,36111,7934,3138,3600,200,72,25950,5405,2903,2858,298,23,10906,3555,5246,5424,104,80,42460,9972,3575,4391,556,57,59146,10213,6325,6397,922,98,45311,5514,3972,4399,334,85,31790,5596,3286,3900,840,22,11842,3666
6581,6716,1476,93,56126,6598,4699,5429,1869,80,70073,10066,5793,4462,461,90,40359,9583,3454,3931,531,73,26905,6720,2903,3054,194,23,11364,4963,5600,5610,290,84,44577,10185,3711,4769,934,57,61142,11114,6939,7298,1823,109,54773,7444,4141,4801,86,91,35034,5672,3629,4357,1292,25,13179,4199
6857,6992,527,100,62200,6612,5191,5771,466,89,79286,10755,6342,4758,203,99,44023,9760,3718,4268,568,82,29924,6720,3248,3296,436,25,12047,4984,6556,6107,787,101,54011,10668,4359,5107,-178,67,69613,11906,7031,7433,708,110,55030,7444,4934,5281,556,108,42666,5876,3675,4533,488,26,13182,4199
7535,7516,1051,113,74354,6693,5919,6156,851,103,96499,13001,6783,5072,517,106,48528,11097,4027,4530,205,90,34624,7396,3342,3456,146,26,12736,5600,7137,6471,1151,108,60420,11201,5435,5715,425,79,78394,12831,7942,8104,1379,122,64531,8144,5649,5976,1251,120,54106,6386,3788,4773,718,28,14332,4482
7873,7764,99,119,78177,6807,6164,6396,341,107,102974,13290,6783,5195,100,106,48528,11977,4918,5378,353,108,46223,7484,4327,3775,465,28,14440,5698,7823,7271,1946,122,68898,11454,5826,6118,-122,81,86122,13033,8627,8876,401,130,72394,8927,5710,6219,119,121,55461,7350,3788,5028,398,28,14380,4482
8976,8522,857,127,87878,8511,6421,7478,523,107,104675,15255,8482,6443,1348,123,64335,13910,5259,5974,149,109,47881,9243,4779,4020,185,30,14838,6868,8463,7718,2393,122,70605,13836,7367,7499,1259,94,99663,13610,9259,9273,798,134,79251,11328,6134,6481,381,126,58693,8806,4185,5309,274,29,14850,6048
9408,8903,888,135,96698,8511,7131,7886,931,119,117374,15321,8482,6566,170,123,64335,13910,5774,6470,640,126,63275,9900,5245,4325,490,33,17390,6879,8711,7973,523,126,72698,13836,8159,7867,1627,106,112976,14681,9259,9395,370,134,79251,11328,6731,6945,845,142,69665,9378,4603,5574,534,31,15816,6097
9470,9025,260,135,99111,10352,7544,8169,1349,126,132392,17314,9286,7071,676,137,72201,13947,6181,6733,303,134,69308,11511,5245,4465,130,33,18852,8737,9083,8453,993,129,74945,15281,8978,8467,-73,111,118076,18186,10549,10944,1919,152,94117,12052,7769,7697,1597,151,77211,9707,5420,6149,1109,33,16625,7348
10118,9510,746,148,115622,12579,7958,8467,297,134,143537,17314,10087,7500,505,151,82667,14051,6355,6925,495,138,73108,11511,5398,4621,286,33,18859,8737,10471,9126,716,139,82978,17000,9123,8635,-105,115,128163,18997,11085,11356,576,163,101294,12068,8205,8014,314,158,84831,9742,5508,6289,549,33,17744,7752
10580,9912,1147,157,126538,12710,8748,9159,154,140,157457,18217,10216,7680,680,155,85891,16070,6533,7377,492,139,75352,13340,5986,4986,651,33,19848,10665,11138,10128,1718,151,95610,17717,10041,9500,751,117,129911,19977,12331,12606,1826,178,115887,13622,8458,8292,592,164,90054,12039,5556,6480,140,33,18149,9503
11228,10345,1580,161,136179,12710,9378,9625,405,146,166856,20836,10443,7837,142,157,86612,17862,7048,7985,250,139,79095,15075,6524,6136,1347,34,20645,12599,11463,10280,1866,152,95612,19454,10619,10148,1398,117,134651,23588,12968,13113,2334,183,122208,15725,9203,9145,1445,172,96032,12039,6389,6995,655,33,18813,11420
12049,10917,152,161,137930,14730,9440,9747,528,146,168202,22303,11738,8605,909,168,96416,19376,7165,8263,518,143,80937,15130,6648,6292,177,34,20646,14018,11463,10403,138,152,97633,21204,10820,10375,225,121,142690,23723,13529,13530,500,196,134053,16260,9541,9382,857,179,104721,14180,6434,7161,122,34,19723,12258
12490,11189,425,161,143902,17179,9965,10030,810,152,171688,23050,12191,8897,227,168,97510,20684,7856,9586,541,143,82399,16843,6906,6432,242,34,20756,14833,11737,10610,335,155,102928,23704,11654,11012,863,123,145614,26013,14344,15152,2122,196,138941,19011,9541,9504,79,179,108189,15322,8170,7487,442,35,23358,13481
13076,11786,1021,173,161573,17179,10406,10357,1137,160,185876,25553,12733,9311,41,177,104279,22830,8552,9932,887,156,100729,17128,6944,6603,408,35,21428,16897,13094,11774,1210,160,112241,26135,12768,11825,1675,123,150331,26382,15269,15964,1339,201,144943,19647,11095,10155,725,190,116969,15759,9722,8117,667,36,25012,15335
13076,12056,1291,173,163976,19743,10715,10515,1296,162,189808,25553,12733,9435,165,177,104279,24829,8598,10055,135,156,101921,19087,7016,6744,549,35,21869,19162,14064,12740,2170,169,126484,28197,13660,12445,2296,126,160450,28789,16020,17200,2576,206,156348,20132,12124,11254,1824,205,130256,17170,10545,8552,1102,37,26067,16709
13076,12096,831,173,163976,19743,10715,10555,1336,162,189808,28031,12733,9474,204,177,104279,24829,8598,10095,175,156,101921,19087,7016,6790,595,35,21869,19162,14179,12880,60,169,126679,28197,14056,12868,2719,133,166064,28838,16376,17465,2841,210,167359,20142,12546,11444,2014,205,131960,17240,10967,9042,1592,40,30456,17271
