blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,584,84,3,813,71,325,601,151,4,3673,779,246,594,94,4,696,4,155,598,98,4,645,96,93,583,83,0,545,130,185,563,63,2,244,54,325,606,106,4,3291,934,276,620,120,6,944,173,37,521,21,0,275,332,37,563,63,0,367,159
585,776,276,7,2766,264,873,982,532,17,9606,1601,787,861,361,13,5374,502,551,941,441,14,2289,200,489,737,237,0,1550,409,924,927,427,14,2630,566,860,974,474,16,9174,2134,893,953,453,16,3191,1032,508,790,290,8,1850,474,508,777,277,0,950,350
1386,1218,718,23,6898,320,1095,1190,740,21,16980,2399,1272,1509,89,18,6747,1339,851,1246,746,24,6656,298,789,937,437,0,1888,771,924,1050,100,14,2630,566,1212,1547,1047,23,13782,2536,1198,1241,341,17,3679,1421,733,983,483,12,2165,723,733,992,492,0,1297,534
1787,1494,84,29,8093,358,1628,1561,1111,33,22747,2908,1920,1851,431,29,9794,1440,1440,1606,1106,36,10949,518,1041,1131,56,0,2067,1196,1739,1452,502,28,6320,977,1526,1823,1323,29,17430,2891,1998,1676,776,34,8484,1839,1153,1280,780,19,5041,900,1092,1166,666,0,1603,1020
1948,1667,102,32,10874,1853,1869,1799,274,39,28723,3752,2568,2224,24,41,14950,1453,1775,1869,269,44,12643,533,1283,1308,233,2,2935,1285,2558,2042,1092,38,9946,2054,1526,1950,275,29,21564,3833,2646,2061,1161,47,13299,2296,1434,1466,231,23,7006,910,1372,1315,40,1,2134,1135
2653,1999,434,45,14053,1853,2164,2036,211,45,34528,4942,3059,2484,284,50,18670,1468,2038,2210,610,51,15449,1302,1528,1630,555,2,4194,1452,2744,2227,177,41,10461,2073,1972,2593,918,36,26363,5111,3199,2341,391,57,17253,2322,2142,1836,601,35,10555,943,1443,1699,424,1,2800,1482
3301,2337,772,55,17944,2166,2542,2303,463,52,41365,5289,3452,2766,566,57,22223,1698,2268,2410,160,56,16606,1589,2053,1934,859,6,5353,1622,3543,2670,620,57,15767,2630,2493,3158,1483,44,32916,5824,3764,2692,742,64,20903,3017,2504,2063,823,38,13040,1003,1624,1908,633,1,3931,1805
3777,3372,1807,58,23215,3452,2912,3040,25,56,47900,6909,3770,3072,22,59,24685,3267,2682,2814,564,69,19563,2038,2467,2148,1073,6,6631,1959,3595,2868,68,57,16857,3927,2682,3700,125,44,34428,7609,4307,3343,1393,69,25354,4459,2842,2375,1135,49,20226,1411,1962,2143,868,1,4623,2159
