tier,division,match_id
GRANDMASTERS,GR,NA1_4585533318
GRANDMASTERS,GR,NA1_4585499931
GRANDMASTERS,GR,NA1_4585458124
GRANDMASTERS,GR,NA1_4585345175
GRANDMASTERS,GR,NA1_4585020153
GRANDMASTERS,GR,NA1_4589729255
GRANDMASTERS,GR,NA1_4589670758
GRANDMASTERS,GR,NA1_4589338789
GRANDMASTERS,GR,NA1_4589306460
GRANDMASTERS,GR,NA1_4589279362
GRANDMASTERS,GR,NA1_4589251418
GRANDMASTERS,GR,NA1_4589208958
GRANDMASTERS,GR,NA1_4589163988
GRANDMASTERS,GR,NA1_4589130311
GRANDMASTERS,GR,NA1_4589101743
GRANDMASTERS,GR,NA1_4589061785
GRANDMASTERS,GR,NA1_4588995304
GRANDMASTERS,GR,NA1_4588960073
GRANDMASTERS,GR,NA1_4588928778
GRANDMASTERS,GR,NA1_4588889057
GRANDMASTERS,GR,NA1_4588828571
GRANDMASTERS,GR,NA1_4588822323
GRANDMASTERS,GR,NA1_4588799700
GRANDMASTERS,GR,NA1_4588787555
GRANDMASTERS,GR,NA1_4588564969
GRANDMASTERS,GR,NA1_4588546759
GRANDMASTERS,GR,NA1_4588521431
GRANDMASTERS,GR,NA1_4588489423
GRANDMASTERS,GR,NA1_4588460400
GRANDMASTERS,GR,NA1_4588423640
GRANDMASTERS,GR,NA1_4588174865
GRANDMASTERS,GR,NA1_4588134668
GRANDMASTERS,GR,NA1_4588099743
GRANDMASTERS,GR,NA1_4588015787
GRANDMASTERS,GR,NA1_4587986993
GRANDMASTERS,GR,NA1_4587967921
GRANDMASTERS,GR,NA1_4587940050
GRANDMASTERS,GR,NA1_4587250877
GRANDMASTERS,GR,NA1_4587220853
GRANDMASTERS,GR,NA1_4587183649
GRANDMASTERS,GR,NA1_4587167089
GRANDMASTERS,GR,NA1_4587015749
GRANDMASTERS,GR,NA1_4586979846
GRANDMASTERS,GR,NA1_4586950460
GRANDMASTERS,GR,NA1_4586932373
GRANDMASTERS,GR,NA1_4586574837
GRANDMASTERS,GR,NA1_4586525510
GRANDMASTERS,GR,NA1_4586280908
GRANDMASTERS,GR,NA1_4586241122
GRANDMASTERS,GR,NA1_4586129077
GRANDMASTERS,GR,NA1_4586088948
GRANDMASTERS,GR,NA1_4586072922
GRANDMASTERS,GR,NA1_4586047624
GRANDMASTERS,GR,NA1_4585368236
GRANDMASTERS,GR,NA1_4585341161
GRANDMASTERS,GR,NA1_4585483081
GRANDMASTERS,GR,NA1_4585460269
GRANDMASTERS,GR,NA1_4585432807
GRANDMASTERS,GR,NA1_4584579638
GRANDMASTERS,GR,NA1_4583947688
GRANDMASTERS,GR,NA1_4583147089
GRANDMASTERS,GR,NA1_4583116758
GRANDMASTERS,GR,NA1_4582972891
GRANDMASTERS,GR,NA1_4582902943
GRANDMASTERS,GR,NA1_4582844329
GRANDMASTERS,GR,NA1_4582154574
GRANDMASTERS,GR,NA1_4582106180
GRANDMASTERS,GR,NA1_4582045926
GRANDMASTERS,GR,NA1_4582015558
GRANDMASTERS,GR,NA1_4581991878
GRANDMASTERS,GR,NA1_4580868267
GRANDMASTERS,GR,NA1_4580422205
GRANDMASTERS,GR,NA1_4580384565
